Action,Source,Destination,File_Type,Count,Size_Estimate,Priority,Status
REMOVE_DUPLICATES,Both Drives,Keep 2T-Xx versions,DS_Store,134,0.5MB,High,Completed
CONSOLIDATE_ARCHIVES,DeVonDaTa,2T-Xx/Organized/Archives/,ZIP,165,~2GB,High,Pending
CONSOLIDATE_ARCHIVES,2T-Xx,2T-Xx/Organized/Archives/,ZIP,394,~15GB,High,Pending
ORGANIZE_IMAGES,2T-Xx,2T-Xx/Organized/Images/,Images,81516,~25GB,Medium,Pending
ORGANIZE_IMAGES,DeVonDaTa,2T-Xx/Organized/Images/,Images,6477,~2GB,Medium,Pending
ORGANIZE_VIDEOS,2T-Xx,2T-Xx/Organized/Videos/,MP4,792,~8GB,Medium,Pending
ORGANIZE_VIDEOS,DeVonDaTa,2T-Xx/Organized/Videos/,MP4,221,~1GB,Medium,Pending
ORGANIZE_AUDIO,2T-Xx,2T-Xx/Organized/Music/,Audio,1920,~3GB,Medium,Pending
ORGANIZE_AUDIO,DeVonDaTa,2T-Xx/Organized/Music/,Audio,467,~1GB,Medium,Pending
ORGANIZE_DOCUMENTS,2T-Xx,2T-Xx/Organized/Documents/,PDF,51765,~5GB,Low,Pending
ORGANIZE_DOCUMENTS,DeVonDaTa,2T-Xx/Organized/Documents/,PDF,125,~0.1GB,Low,Pending
ORGANIZE_DESIGN,DeVonDaTa,2T-Xx/Organized/Design_Files/,PSD,238,~2GB,Medium,Pending
CREATE_STRUCTURE,2T-Xx,2T-Xx/Organized/,Directory,New,0MB,High,Pending
VERIFY_INTEGRITY,Both Drives,2T-Xx/Organized/,All,All,~440GB,High,Pending
BACKUP_ORIGINAL,Both Drives,Backup Location,All,All,~440GB,High,Pending
