Filename,File Size,Creation Date,Original Path
CLIENT_PROJECT_DASHBOARD.html,21.44 KB,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/05_Reports_Documentation
COMPREHENSIVE_SKILLS_SERVICES_REPORT.html,98.89 KB,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/05_Reports_Documentation
setup_gainesville_site.sh,5.71 KB,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/06_Tools_Scripts
_downloads.html,357.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/dr
LIVE_WEBPAGE_COMPARISON.html,22.24 KB,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/02_Analysis_Research/04_Technical_Analysis
COMPLETE_HTML_COMPARISON.html,21.38 KB,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/02_Analysis_Research/04_Technical_Analysis
mental-health-services.html,753.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/03_Content_Development/01_Original_Content
forensic.html,720.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/03_Content_Development/01_Original_Content
index.html,782.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/03_Content_Development/01_Original_Content
about.html,721.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/03_Content_Development/01_Original_Content
contact.html,682.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/03_Content_Development/01_Original_Content
neurostar-tms.html,699.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/03_Content_Development/01_Original_Content
main.js,145.00 B,10-28-25,/Users/steven/Downloads/Dr_Adu_GainesvillePFS_SEO_Project/03_Content_Development/01_Original_Content
