original_path,new_path,category,status
merging.html,organized/ai-prompts/merging.html,ai-prompts,moved
voyager_2025.html,organized/other/voyager_2025.html,other,moved
Automated_Python_Script_Classi_2025-03-29_10_03_56_1.html,organized/exports/Automated_Python_Script_Classi_2025-03-29_10_03_56_1.html,exports,moved
removing_quicklook.html,organized/exports/removing_quicklook.html,exports,moved
search_bar.html,organized/galleries/search_bar.html,galleries,moved
Instagram_Bot_with_InstaPy.html,organized/galleries/Instagram_Bot_with_InstaPy.html,galleries,moved
order_in_chaos.html,organized/ai-prompts/order_in_chaos.html,ai-prompts,moved
unveiling_the.html,organized/other/unveiling_the.html,other,moved
AlchemyAPI-audio-showcase.html,organized/other/AlchemyAPI-audio-showcase.html,other,moved
3_20241205140221.html,organized/projects/3_20241205140221.html,projects,moved
user-2116f332.html,organized/exports/user-2116f332.html,exports,moved
seo_optimized.html,organized/other/seo_optimized.html,other,moved
call_this.html,organized/exports/call_this.html,exports,moved
legacy_categories.html,organized/exports/legacy_categories.html,exports,moved
up-down_1.html,organized/other/up-down_1.html,other,moved
disable_macos.html,organized/other/disable_macos.html,other,moved
dominion_villains.html,organized/articles/dominion_villains.html,articles,moved
creating_shortcut.html,organized/exports/creating_shortcut.html,exports,moved
etsy-csv-file-analysis-and-recommendations.html,organized/other/etsy-csv-file-analysis-and-recommendations.html,other,moved
Mandate_for_Leadership_The_Conservative_Promise_-_Table_of_Contents2_2.html,organized/exports/Mandate_for_Leadership_The_Conservative_Promise_-_Table_of_Contents2_2.html,exports,moved
mainline_this.html,organized/galleries/mainline_this.html,galleries,moved
einsumfunc.html,organized/other/einsumfunc.html,other,moved
Fantasy_Graphics_Analysis.html,organized/ai-prompts/Fantasy_Graphics_Analysis.html,ai-prompts,moved
abc.html,organized/templates/abc.html,templates,moved
direct_content_analyzer.html,organized/other/direct_content_analyzer.html,other,moved
dataframe_protocol.html,organized/other/dataframe_protocol.html,other,moved
video_editing.html,organized/other/video_editing.html,other,moved
AutomatedPythonScriptClassificationSystem_2.html,organized/exports/AutomatedPythonScriptClassificationSystem_2.html,exports,moved
step_create.html,organized/exports/step_create.html,exports,moved
contacts.html,organized/other/contacts.html,other,moved
