old_path,new_path,action,category,size_mb,file_count
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts.org,,REMOVE_DUPLICATE,,18.765625,1
ai-sites/AvaTarArTs/avatararts.org,,REMOVE_DUPLICATE,,18.765625,1
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts.org,,REMOVE_DUPLICATE,,18.18359375,0
DEVELOPMENT/code-projects/CODE_PROJECTS,,REMOVE_DUPLICATE,,13.015625,1
ai-sites/disco/mp3/Rockin_Raccoon_Rebellion--K-ZuuxM76,,REMOVE_DUPLICATE,,12.40625,1
BUSINESS/monetization/monetization/ai-voice-agents/analysis_visualizations,,REMOVE_DUPLICATE,,9.234375,2
CONTENT_ASSETS/ai-sites/ai-sites/monetization/ai-voice-agents/analysis_visualizations,,REMOVE_DUPLICATE,,9.234375,2
DEVELOPMENT/ai-tools/AI_TOOLS/ai-voice-agents/analysis_visualizations,,REMOVE_DUPLICATE,,9.234375,2
ai-sites/monetization/ai-voice-agents/analysis_visualizations,,REMOVE_DUPLICATE,,9.234375,2
ai-sites/disco/mp3/Willow_whispers-v4-2,,REMOVE_DUPLICATE,,8.55078125,1
ai-sites/disco/mp3/Willow_whispers-feelers-chill (Remastered x2),,REMOVE_DUPLICATE,,8.5390625,3
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts-portfolio,,REMOVE_DUPLICATE,,7.703125,0
ai-sites/AvaTarArTs/avatararts-portfolio,,REMOVE_DUPLICATE,,7.703125,0
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-portfolio,,REMOVE_DUPLICATE,,7.4296875,0
ai-sites/disco/mp3/neon_night_melody-L6V0QvcfGl,,REMOVE_DUPLICATE,,7.34765625,1
ai-sites/disco/mp3/urban_melody_night_vibes,,REMOVE_DUPLICATE,,7.34375,1
ai-sites/disco/mp3/urban_melody_night,,REMOVE_DUPLICATE,,7.23046875,1
ai-sites/disco/mp3/urban_melody_night-4SeRpmCyQB,,REMOVE_DUPLICATE,,7.23046875,1
ai-sites/disco/mp3/rockin_raccoon_rebellion,,REMOVE_DUPLICATE,,7.109375,1
