old_path,action,reason,size_mb,similarity
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts.org,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts.org (96.9% similar),18.765625,96.9%
ai-sites/AvaTarArTs/avatararts.org,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts.org (96.9% similar),18.765625,96.9%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts.org,REMOVE,Duplicate of ai-sites/AvaTarArTs/avatararts.org,18.18359375,96.9%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts.org,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts.org (96.9% similar),18.18359375,96.9%
DEVELOPMENT/code-projects/CODE_PROJECTS,REMOVE,Duplicate of DEVELOPMENT/code-projects,13.015625,100.0%
DEVELOPMENT/code-projects/CODE_PROJECTS,MERGE_REMOVE,Similar to DEVELOPMENT/code-projects (100.0% similar),13.015625,100.0%
ai-sites/disco/mp3/Rockin_Raccoon_Rebellion--K-ZuuxM76,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Rockin_Raccoon_Rebellion--K-ZuuxM76 (100.0% similar),12.40625,100.0%
DEVELOPMENT/ai-tools/AI_TOOLS/ai-voice-agents/analysis_visualizations,REMOVE,Duplicate of ai-sites/monetization/ai-voice-agents/analysis_visualizations,9.234375,100.0%
BUSINESS/monetization/monetization/ai-voice-agents/analysis_visualizations,REMOVE,Duplicate of ai-sites/monetization/ai-voice-agents/analysis_visualizations,9.234375,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/monetization/ai-voice-agents/analysis_visualizations,MERGE_REMOVE,Similar to BUSINESS/monetization/monetization/ai-voice-agents/analysis_visualizations (100.0% similar),9.234375,100.0%
