path,type,name,size_bytes,modified_date,description
/Volumes/2T-Xx/,directory,Adobe-Organized,,,"Organized Adobe-related files"
/Volumes/2T-Xx/,directory,ai-sites,,,"Multiple AI-powered website projects"
/Volumes/2T-Xx/ai-sites/,directory,AvaTarArTs,,,"Avatar arts project"
/Volumes/2T-Xx/ai-sites/,directory,avatararts-deployment,,,"Deployment configurations"
/Volumes/2T-Xx/ai-sites/,directory,creative-ai-agency,,,"Creative AI agency site"
/Volumes/2T-Xx/ai-sites/,directory,creative-ai-education,,,"Educational content"
/Volumes/2T-Xx/ai-sites/,directory,creative-ai-marketplace,,,"Marketplace platform"
/Volumes/2T-Xx/ai-sites/,directory,Dr_Adu_GainesvillePFS_SEO_Project,,,"Medical practice SEO"
/Volumes/2T-Xx/ai-sites/,directory,heavenlyHands,,,"Cleaning service automation"
/Volumes/2T-Xx/ai-sites/,directory,passive-income-empire,,,"Monetization projects"
/Volumes/2T-Xx/ai-sites/,directory,quantumforgelabs,,,"Portfolio system"
/Volumes/2T-Xx/ai-sites/,directory,retention-products-suite,,,"Product suite"
/Volumes/2T-Xx/ai-sites/,directory,seo-optimized-content,,,"SEO content system"
/Volumes/2T-Xx/ai-sites/,directory,steven-chaplinski-website,,,"Personal portfolio"
/Volumes/2T-Xx/,directory,analyze-scripts,,,"Scripts for analysis and automation"
/Volumes/2T-Xx/,directory,archives,,,"Main archive storage"
/Volumes/2T-Xx/archives/,directory,html,,,"HTML files"
/Volumes/2T-Xx/archives/html/,directory,backups,,,"HTML backups"
/Volumes/2T-Xx/archives/,directory,media,,,"Media files"
/Volumes/2T-Xx/archives/media/,directory,video,,,"Video bundles"
/Volumes/2T-Xx/,directory,AvaTarArTs,,,"Avatar arts project with Canva processing tools"
/Volumes/2T-Xx/,directory,avatararts-deployment,,,"Deployment configurations for AvatarArts"
/Volumes/2T-Xx/,directory,backup,,,"Backup files"
/Volumes/2T-Xx/,directory,clean,,,"Cleaned/organized files"
/Volumes/2T-Xx/,directory,clean-organizer,,,"Organization tools"
/Volumes/2T-Xx/,directory,Compressed,,,"Compressed media files"
/Volumes/2T-Xx/,directory,csv,,,"CSV data files"
/Volumes/2T-Xx/,directory,Documents,,,"Document storage"
/Volumes/2T-Xx/,directory,etsy,,,"Etsy-related files"
/Volumes/2T-Xx/,directory,Funny Animals PNG Bundle,,,"Image bundle"
/Volumes/2T-Xx/,directory,gol-ia-newq,,,"Project directory"
/Volumes/2T-Xx/,directory,mp3,,,"Audio files"
/Volumes/2T-Xx/,directory,mp32,,,"Additional audio archive"
/Volumes/2T-Xx/,directory,pics,,,"Image collections"
/Volumes/2T-Xx/,directory,PROJECt2025-DoMinIon,,,"2025 project initiative"
/Volumes/2T-Xx/,directory,python,,,"Python-related files"
/Volumes/2T-Xx/,directory,reports,,,"Analysis reports and logs"
/Volumes/2T-Xx/reports/,directory,logs,,,"Log files"
/Volumes/2T-Xx/reports/logs/,directory,misc,,,"Various analysis logs"
/Volumes/2T-Xx/,directory,rhonda,,,"Personal content"
/Volumes/2T-Xx/,directory,scripts,,,"Automation scripts"
/Volumes/2T-Xx/,directory,simplegallery,,,"Image gallery system"
/Volumes/2T-Xx/,directory,Site-analysis,,,"Website analysis and optimization tools"
/Volumes/2T-Xx/,directory,steven,,,"Steven's personal files"
/Volumes/2T-Xx/,directory,us.sitesucker.mac.sitesucker-pro,,,"SiteSucker archives"
/Volumes/2T-Xx/,directory,www.superpowerdaily.com,,,"Website archive"
/Volumes/2T-Xx/,directory,zip,,,"Archive files"
/Volumes/2T-Xx/,file,2T-Xx_inventory.csv,,,"Complete file inventory"
/Volumes/2T-Xx/,file,3d Breakout.pdf,,,"PDF document"
/Volumes/2T-Xx/,file,ai_agent_server.py,,,"AI content generation orchestrator"
/Volumes/2T-Xx/,file,ai_webhook_server.py,,,"Webhook integration server"
/Volumes/2T-Xx/,file,alfred-workflow.json,,,"Alfred workflow configuration"
/Volumes/2T-Xx/,file,audio-12-03-02:59.csv,,,"Audio data CSV"
/Volumes/2T-Xx/,file,audio.txt,,,"Audio data text file"
/Volumes/2T-Xx/,file,avatararts-profile.html,,,"Avatar arts profile page"
/Volumes/2T-Xx/,file,canva_batch_processor.py,,,"Batch processing with deduplication"
/Volumes/2T-Xx/,file,canva_dedup_compress_organize.py,,,"Deduplication and compression"
/Volumes/2T-Xx/,file,canva_single_zip_processor.py,,,"Single archive processing"
/Volumes/2T-Xx/,file,CATALOG_ANALYSIS_SUGGESTIONS.md,,,"Content analysis suggestions"
/Volumes/2T-Xx/,file,CATALOG_ANALYSIS.md,,,"Comprehensive content analysis report"
/Volumes/2T-Xx/,file,cleanup_external_drive.sh,,,"Cleanup script for external drive"
/Volumes/2T-Xx/,file,content_research_agent.py,,,"Content analysis and framework builder"
/Volumes/2T-Xx/,file,conversations.json,,,"Conversation data"
/Volumes/2T-Xx/,file,csv.txt,,,"CSV data text file"
/Volumes/2T-Xx/,file,DeepSeek---Into-the-Unknown-2025-10-24.rtf,,,"RTF document"
/Volumes/2T-Xx/,file,docker-compose.yml,,,"Docker configuration"
/Volumes/2T-Xx/,file,docs-2025-12-03.csv,,,"Documentation CSV"
/Volumes/2T-Xx/,file,docs.txt,,,"Documentation text file"
/Volumes/2T-Xx/,file,duplicates.csv,,,"Duplicate file tracking"
