original_path,new_path,category,size_bytes,is_duplicate
/Users/steven/Documents/HTML/misc/Prompt 39 70dc12ff6651426da141a609f6d4a9ca.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 39 70dc12ff6651426da141a609f6d4a9ca.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 20 82fb860cf2f447a48bbf69cad4c2cf3d.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 20 82fb860cf2f447a48bbf69cad4c2cf3d.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 54 d8ce584110954b7ea396e6c1bd90a0ad.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 54 d8ce584110954b7ea396e6c1bd90a0ad.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 36 7f1b635621c740a2ae9d3dbc9974c590.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 36 7f1b635621c740a2ae9d3dbc9974c590.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 16 2cffa78f954d467fa90c14b6df3077e1.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 16 2cffa78f954d467fa90c14b6df3077e1.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 55 bf0bd1c4e1d543849b4d7fe31aee469d.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 55 bf0bd1c4e1d543849b4d7fe31aee469d.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 14 9a854d0a7575499cb082760a3cb17108.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 14 9a854d0a7575499cb082760a3cb17108.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 6 d79fa51d0cf144eab3ce60a0437ce1a9.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 6 d79fa51d0cf144eab3ce60a0437ce1a9.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 34 e325618730614610ab707ce14c651b85.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 34 e325618730614610ab707ce14c651b85.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 39 781e874a29974f9ca733642268e58cb5.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 39 781e874a29974f9ca733642268e58cb5.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 36 68f52fd46bed43cb96de81ac793420da.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 36 68f52fd46bed43cb96de81ac793420da.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/[🔗 link] — Leonardo ai1 b2ee256f071f41988d9f73e0d0434377.html,/Users/steven/Documents/HTML/organized/ai-prompts/[🔗 link] — Leonardo ai1 b2ee256f071f41988d9f73e0d0434377.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 23 742cff15869a4ac2ac1f850b0fcb4dfd.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 23 742cff15869a4ac2ac1f850b0fcb4dfd.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Batch 1 Original Prompt + Variation Image.html,/Users/steven/Documents/HTML/organized/ai-prompts/Batch 1 Original Prompt + Variation Image.html,ai-prompts,0,False
