Key_Name,Service,Status,Preview,Found_In_File,Category
ADOBE_PDF_SERVICES_CLIENT_ID,Custom/Other,CONFIGURED,✅ Active (32 chars),other-tools.env,Other
ADOBE_PDF_SERVICES_CLIENT_SECRET,Custom/Other,CONFIGURED,✅ Active (36 chars),other-tools.env,Other
ANTHROPIC_API_KEY,Anthropic (Claude),CONFIGURED,✅ Active (108 chars),llm-apis.env,AI/LLM
ASSEMBLYAI_API_KEY,Custom/Other,CONFIGURED,✅ Active (32 chars),audio-music.env,Other
AWS_REGION,Custom/Other,CONFIGURED,✅ Active (9 chars),cloud-infrastructure.env,Other
AZURE_OPENAI_KEY,Custom/Other,CONFIGURED,✅ Active (84 chars),cloud-infrastructure.env,Other
BETTERUPTIME_API_KEY,Custom/Other,CONFIGURED,✅ Active (24 chars),monitoring.env,Other
CACHE_TTL_HOURS,Custom/Other,INVALID,⚠️ Too short - check value,enhanced-video-generator.env,Other
CEREBRAS_API_KEY,Custom/Other,CONFIGURED,✅ Active (52 chars),llm-apis.env,Other
CHROMADB_API_KEY,Custom/Other,CONFIGURED,✅ Active (47 chars),vector-memory.env,Other
CHROMADB_DATABASE,Custom/Other,CONFIGURED,✅ Active (10 chars),vector-memory.env,Other
CHROMADB_TENANT,Custom/Other,CONFIGURED,✅ Active (36 chars),vector-memory.env,Other
CLOUDFLARE_ACCOUNT_ID,Custom/Other,CONFIGURED,✅ Active (40 chars),storage.env,Other
CLOUDFLARE_R2_ACCESS_KEY_ID,Custom/Other,CONFIGURED,✅ Active (40 chars),storage.env,Other
CLOUDFLARE_R2_BUCKET,Custom/Other,CONFIGURED,✅ Active (10 chars),storage.env,Other
CLOUDFLARE_R2_SECRET_ACCESS_KEY,Custom/Other,CONFIGURED,✅ Active (64 chars),storage.env,Other
COHERE_API_KEY,Cohere,CONFIGURED,✅ Active (83 chars),llm-apis.env,Other
DEEPGRAM_API_KEY,Custom/Other,CONFIGURED,✅ Active (40 chars),audio-music.env,Other
DEEPSEEK_API_KEY,DeepSeek,CONFIGURED,✅ Active (69 chars),llm-apis.env,Other
DEFAULT_VIDEO_DURATION,Custom/Other,INVALID,⚠️ Too short - check value,enhanced-video-generator.env,Other
DEFAULT_VIDEO_FPS,Custom/Other,INVALID,⚠️ Too short - check value,enhanced-video-generator.env,Other
DEFAULT_VIDEO_QUALITY,Custom/Other,INVALID,⚠️ Too short - check value,enhanced-video-generator.env,Other
DEFAULT_VIDEO_RESOLUTION,Custom/Other,INVALID,⚠️ Too short - check value,enhanced-video-generator.env,Other
DESCRIPT_API_KEY,Custom/Other,CONFIGURED,✅ Active (217 chars),other-tools.env,Other
E2B_API_KEY,Custom/Other,CONFIGURED,✅ Active (44 chars),automation-agents.env,Other
ELEVENLABS_API_KEY,ElevenLabs (TTS),CONFIGURED,✅ Active (64 chars),audio-music.env,Audio/Music
