Key_Name,Category,Status,Signifier,Found_In,Key_Length
ADOBE_PDF_SERVICES_CLIENT_ID,📦 Other/Config,ACTIVE,✅ Active (32 chars),other-tools.env,32
ADOBE_PDF_SERVICES_CLIENT_SECRET,📦 Other/Config,ACTIVE,✅ Active (36 chars),other-tools.env,36
ANTHROPIC_API_KEY,🤖 AI/LLM,ACTIVE,✅ Active (108 chars),llm-apis.env,108
ASSEMBLYAI_API_KEY,🎵 Audio/Music,ACTIVE,✅ Active (32 chars),audio-music.env,32
AWS_REGION,☁️ Cloud/Storage,ACTIVE,✅ Active (9 chars),cloud-infrastructure.env,9
AZURE_OPENAI_KEY,🤖 AI/LLM,ACTIVE,✅ Active (84 chars),cloud-infrastructure.env,84
BETTERUPTIME_API_KEY,📦 Other/Config,ACTIVE,✅ Active (24 chars),monitoring.env,24
CACHE_TTL_HOURS,📦 Other/Config,CONFIG,⚙️ Config (2 chars),enhanced-video-generator.env,2
CEREBRAS_API_KEY,🤖 AI/LLM,ACTIVE,✅ Active (52 chars),llm-apis.env,52
CHROMADB_API_KEY,🗄️ Database/Vector,ACTIVE,✅ Active (47 chars),vector-memory.env,47
CHROMADB_DATABASE,🗄️ Database/Vector,ACTIVE,✅ Active (10 chars),vector-memory.env,10
CHROMADB_TENANT,🗄️ Database/Vector,ACTIVE,✅ Active (36 chars),vector-memory.env,36
CLOUDFLARE_ACCOUNT_ID,☁️ Cloud/Storage,ACTIVE,✅ Active (40 chars),storage.env,40
CLOUDFLARE_R2_ACCESS_KEY_ID,☁️ Cloud/Storage,ACTIVE,✅ Active (40 chars),storage.env,40
CLOUDFLARE_R2_BUCKET,☁️ Cloud/Storage,ACTIVE,✅ Active (10 chars),storage.env,10
CLOUDFLARE_R2_SECRET_ACCESS_KEY,☁️ Cloud/Storage,ACTIVE,✅ Active (64 chars),storage.env,64
COHERE_API_KEY,🤖 AI/LLM,ACTIVE,✅ Active (83 chars),llm-apis.env,83
