path,size_kb,rows,cols
/Users/steven/Documents/CsV/Category of AI 09a1f08e57c1444c91a9f3c82b8a8023.csv,156,47,0
/Users/steven/Documents/CsV/Disco-Content-4-8-25 - combined_output_04-08-25.csv,3604,36651,0
/Users/steven/Documents/CsV/Discography ALL - Shorts -  2024 _9bc187fa-6024-43dd-b80c-8503abd80dac.csv,1860,3153,0
/Users/steven/Documents/CsV/ESO_Keywords_SEO_Analysis.csv,4,100,5
/Users/steven/Documents/CsV/Etsy-12-2-2024.csv,1748,8067,0
/Users/steven/Documents/CsV/Etsy_Product_Listings_Database.csv,4,11,0
/Users/steven/Documents/CsV/Movies_2025-03-09_1150.csv,1452,9830,0
/Users/steven/Documents/CsV/Mythic-legendary-places.csv,1128,13937,9
/Users/steven/Documents/CsV/Pictures_2025-02-01_2128.csv,1800,10363,0
/Users/steven/Documents/CsV/Progress bar 15936221d8b281bd9348f9a28797e32f.csv,20,1,0
/Users/steven/Documents/CsV/Python_Projects_Directory_Index.csv,8,96,5
/Users/steven/Documents/CsV/Python_Scripts_Classification_Database.csv,68,2915,2
/Users/steven/Documents/CsV/Redbubble_Product_Trends_Analysis.csv,4,6,5
/Users/steven/Documents/CsV/Sample_Quiz_Questions_Database.csv,4,10,6
/Users/steven/Documents/CsV/Song_Lyrics_Visual_Storytelling_Framework.csv,8,8,20
/Users/steven/Documents/CsV/TrashCats_Image_Generation_Prompts.csv,340,745,2
/Users/steven/Documents/CsV/Untitled 15936221d8b281f3bbd8f72297986ff2.csv,4,3,0
/Users/steven/Documents/CsV/WhisperTextOutput44.csv,3544,42978,15
/Users/steven/Documents/CsV/add - example1 15936221d8b2819fa701d5b0e9ff07d6.csv,4,3,0
/Users/steven/Documents/CsV/add - example2 15936221d8b281e09c52c1a722aab38c.csv,4,3,0
/Users/steven/Documents/CsV/add - question1 15936221d8b281cc86f4fbaa7de8a6e5.csv,4,3,0
/Users/steven/Documents/CsV/add - question2 15936221d8b2810ea735c9b6566c3031.csv,4,6,0
/Users/steven/Documents/CsV/combined_output - combined_output.csv.csv,2244,16946,0
/Users/steven/Documents/CsV/combined_output-4-4.csv,3156,38627,15
/Users/steven/Documents/CsV/combined_output_04-07-25.csv,5840,74457,19
/Users/steven/Documents/CsV/combined_output_04-08-25.csv,5872,74519,19
/Users/steven/Documents/CsV/fragments_summary.csv,5548,98686,0
/Users/steven/Documents/CsV/image_data-01-07-15-06.csv,992,4612,0
/Users/steven/Documents/CsV/image_data-01-07-17-36.csv,1004,4653,0
/Users/steven/Documents/CsV/leonardo.csv,5552,13804,0
/Users/steven/Documents/CsV/leonardo_urls.csv,3548,5244,0
/Users/steven/Documents/CsV/mythic-riddles.csv,1876,155,10
/Users/steven/Documents/CsV/results.csv,1964,16068,3
/Users/steven/Documents/CsV/trending-designs.csv,112,1125,0
/Users/steven/Documents/CsV/vidIQ CSV export for I've Had It 2025-05-10.csv,8,10,15
/Users/steven/Documents/CsV/vidIQ CSV export for undefined Top Keywords copy.csv,4,41,5
/Users/steven/Documents/CsV/whisper-3-8.csv,1688,17507,0
/Users/steven/Documents/CsV/zip_contents_inventory.csv,12900,93033,0
