Title,Artist,MP3 Path,Analysis Path,Transcript Path,Image Path,Description
junkyard-symphony-scraps,Unknown Artist,/Users/steven/Music/suno/mp3/junkyard-symphony-scraps.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
The Raccoon's Revelry,Unknown Artist,/Users/steven/Music/suno/mp3/The Raccoon's Revelry.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Royalty of Refuse,Unknown Artist,/Users/steven/Music/suno/mp3/Royalty of Refuse.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Moonly Alley by _avatararts _ Suno,Unknown Artist,/Users/steven/Music/suno/mp3/Moonly Alley by _avatararts _ Suno.mp3,/Users/steven/Music/suno/txt/Moonly Alley by _avatararts _ Suno_analysis.txt,/Users/steven/Music/suno/txt/Moonly Alley by _avatararts _ Suno_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Junky Symphony,Unknown Artist,/Users/steven/Music/suno/mp3/Junky Symphony.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Marching Shadows (Cover),Unknown Artist,/Users/steven/Music/suno/mp3/Marching Shadows (Cover).mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Dance Like Nobody's Watching,Unknown Artist,/Users/steven/Music/suno/mp3/Dance Like Nobody's Watching.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Moonly Alley4,Unknown Artist,/Users/steven/Music/suno/mp3/Moonly Alley4.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Blues in the Alley Haunted Strings Nocturnal Notes2,Unknown Artist,/Users/steven/Music/suno/mp3/Blues in the Alley Haunted Strings Nocturnal Notes2.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Shadow Messages,Unknown Artist,/Users/steven/Music/suno/mp3/Shadow Messages.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Recycled Symphony2,Unknown Artist,/Users/steven/Music/suno/mp3/Recycled Symphony2.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Moonly Alley2,Unknown Artist,/Users/steven/Music/suno/mp3/Moonly Alley2.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Heartbeats in the Dark,Unknown Artist,/Users/steven/Music/suno/mp3/Heartbeats in the Dark.mp3,/Users/steven/Music/suno/txt/Heartbeats in the Dark_analysis.txt,/Users/steven/Music/suno/txt/Heartbeats in the Dark_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Howligritty Nights,Unknown Artist,/Users/steven/Music/suno/mp3/Howligritty Nights.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Junkyard Moon Symphony4,Unknown Artist,/Users/steven/Music/suno/mp3/Junkyard Moon Symphony4.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Blues in the Moonlit Nights,Unknown Artist,/Users/steven/Music/suno/mp3/Blues in the Moonlit Nights.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Marching ever forward neath the wooded s,Unknown Artist,/Users/steven/Music/suno/mp3/Marching ever forward neath the wooded s.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
No More Love Songs,Unknown Artist,/Users/steven/Music/suno/mp3/No More Love Songs.mp3,/Users/steven/Music/suno/txt/No More Love Songs_analysis.txt,/Users/steven/Music/suno/txt/No More Love Songs_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
