mapping_id,image_file_path,image_file_name,image_id,directory,depth,file_size_mb,modified_date,image_width,image_height,aspect_ratio,image_format,has_transparency,dominant_colors,brightness,contrast,quality_score,visual_complexity,product_id,sku,usage_type,platform,listing_status,primary_image,gallery_position,mockup_type,category_tag,style_tag,color_palette,season_relevance,trend_alignment,image_processing_status,needs_resize,needs_color_correction,needs_background_removal,needs_upscale,optimization_priority,last_used_date,usage_count,performance_ctr,performance_conversion,a_b_test_variant,competitor_similarity_score,duplicate_group_id,alternative_images,seo_alt_text,seo_filename_suggested,ai_description,ai_generated_tags,batch_upload_group,automation_tagged,copyright_status,watermark_applied,license_type,stock_photo_source,attribution_required,internal_notes
MAP001,images/retro_gaming_pixel_hoodie.png,retro_gaming_pixel_hoodie.png,IMG_001,images,1,2.34,2025-11-15,4500,5400,0.83,PNG,yes,"rgb(96,32,192), rgb(128,64,192), rgb(224,224,224)",41.2,12.4,88,72.3,PROD001,RGH-001,primary_listing,TikTok Shop,active,yes,1,product_flat,Apparel,Pixel Art,"purple,neon,black","Q4,Q1",gaming_retro,ready,no,no,no,no,high,2026-01-04,247,8.9%,7.2%,A,12,,images/retro_gaming_alt1.png|images/retro_gaming_alt2.png,"Retro 8-bit pixel art gaming hoodie with neon ghosts and arcade vibes on purple background",retro_gaming_pixel_art_hoodie_neon.png,"Retro gaming hoodie featuring glowing 8-bit pixel art with neon ghost characters arcade joystick graphics and 'Game Over' text on vibrant purple gradient background","gaming,retro,pixel art,neon,hoodie,arcade,8-bit,geek fashion",BATCH_2025_11_A,yes,original,no,owned,N/A,no,Top performer - tested A variant
MAP002,etsy/coffee_mug_sarcastic_heat.png,coffee_mug_sarcastic_heat.png,IMG_ETY_045,etsy,1,0.89,2025-10-20,2700,1200,2.25,PNG,yes,"rgb(0,0,0), rgb(224,224,224), rgb(255,0,128)",28.5,35.2,91,45.8,PROD002,SCM-002,primary_listing,Etsy,active,yes,1,product_mockup,Drinkware,Minimalist,"black,white,neon pink",all_year,office_humor,ready,no,no,no,no,high,2026-01-05,412,9.8%,8.5%,control,8,,etsy/mug_lifestyle1.jpg|etsy/mug_lifestyle2.jpg,"Sarcastic black coffee mug with heat-activated neon pink text reveal saying This might be coffee or stronger",sarcastic_heat_reactive_coffee_mug_office.png,"Black ceramic coffee mug featuring hidden sarcastic message that reveals in bright neon pink when hot liquid is added perfect for office humor","coffee,mug,sarcastic,heat reactive,office,humor,gift,funny",BATCH_2025_10_C,yes,original,no,owned,N/A,no,Bestseller - evergreen
MAP003,ideo-ALL/kawaii_cat_sushi_stickers.png,kawaii_cat_sushi_stickers.png,IMG_IDEO_278,ideo-ALL,1,1.45,2025-09-08,2000,2000,1.0,PNG,yes,"rgb(255,192,224), rgb(255,224,192), rgb(192,224,255), rgb(255,255,224)",72.8,8.9,96,89.5,PROD003,AKS-003,primary_listing,Redbubble,active,yes,1,sticker_sheet,Stationery,Kawaii Chibi,"pastel pink,pastel blue,pastel yellow","Q3,Q4",kawaii_anime,ready,no,no,no,no,very high,2026-01-05,1247,11.2%,9.2%,B,6,,ideo-ALL/sticker_closeup1.png|ideo-ALL/sticker_closeup2.png,"Kawaii anime chibi cat stickers eating sushi with sparkles and pastel colors cute aesthetic sticker pack",kawaii_anime_cat_sushi_sticker_pack_chibi.png,"Adorable kawaii-style chibi cat characters enjoying various sushi dishes surrounded by sparkles and hearts rendered in soft pastel pink blue and yellow color palette with anime blush details","kawaii,anime,stickers,chibi,cats,sushi,cute,pastel,aesthetic",BATCH_2025_09_B,yes,original,no,owned,N/A,no,Viral performer - B variant testing 50-pack
MAP004,DaLLe/cyberpunk_neon_city_portrait.png,cyberpunk_neon_city_portrait.png,IMG_DALL_112,DaLLe,1,3.67,2025-08-22,3000,3000,1.0,PNG,no,"rgb(0,32,64), rgb(255,0,128), rgb(0,255,224), rgb(128,0,255)",32.4,45.6,87,92.1,PROD005,CPA-005,primary_listing,Etsy,active,yes,1,digital_download,Digital Art,Cyberpunk Futuristic,"neon pink,cyan,purple,dark blue","Q4,Q1",cyberpunk_aesthetic,needs_upscale,no,no,no,yes,high,2026-01-03,89,7.8%,7.8%,A,15,,DaLLe/cyberpunk_portrait_alt1.png|DaLLe/cyberpunk_portrait_alt2.png,"Custom AI-generated cyberpunk portrait with neon cityscape background and holographic effects futuristic digital avatar art",ai_cyberpunk_custom_portrait_neon_city.png,"Futuristic cyberpunk-style portrait featuring a figure against a glowing neon cityscape with holographic overlays bright pink and cyan lighting and urban tech aesthetic","cyberpunk,AI art,portrait,neon,futuristic,digital,custom,cityscape,holographic",BATCH_2025_08_A,yes,ai_generated,no,owned,DALL-E 3,no,Needs 4K upscale - strong Q4 performer
MAP005,leodowns/vaporwave_sunset_palm_grid.png,vaporwave_sunset_palm_grid.png,IMG_LEO_445,leodowns,1,2.12,2025-07-14,6000,6000,1.0,PNG,no,"rgb(255,96,192), rgb(192,96,255), rgb(255,192,128), rgb(96,224,255)",58.9,28.3,93,68.4,PROD006,VSB-006,primary_listing,Redbubble,active,yes,1,product_flat,Home & Living,Vaporwave Retro,"pink,purple,orange,cyan","Q2,Q3",vaporwave_aesthetic,ready,no,no,no,no,medium,2025-12-20,156,7.1%,6.8%,control,9,,leodowns/vaporwave_alt1.png,"Retro vaporwave aesthetic blanket featuring 80s sunset grid with palm tree silhouettes and pink purple gradient",vaporwave_retro_80s_sunset_blanket_aesthetic.png,"Classic vaporwave aesthetic featuring geometric sunset grid palm tree silhouettes and vibrant pink-to-purple gradient reminiscent of 1980s digital culture","vaporwave,retro,80s,aesthetic,sunset,palm trees,grid,nostalgia",BATCH_2025_07_B,yes,original,no,owned,N/A,no,Summer seasonal - Q2/Q3 focus
MAP006,images/glitch_cat_phone_case.png,glitch_cat_phone_case.png,IMG_002,images,1,1.12,2025-09-18,2000,3000,0.67,PNG,yes,"rgb(255,0,128), rgb(0,255,224), rgb(128,0,255), rgb(0,0,0)",35.8,42.1,85,78.2,PROD007,GCP-007,primary_listing,TikTok Shop,active,yes,1,product_mockup,Accessories,Digital Glitch,"neon pink,cyan,purple,black","Q3,Q4",glitch_aesthetic,ready,no,no,no,no,medium,2026-01-02,68,6.5%,6.2%,A,11,,images/glitch_cat_alt1.png,"Digital glitch art featuring cyberpunk cat with RGB split effect neon outlines tech aesthetic phone case",glitch_art_cyberpunk_cat_phone_case.png,"Glitchy cat portrait with digital distortion effects neon RGB color split and tech-inspired aesthetic perfect for phone protection","glitch art,cat,phone case,digital art,cyberpunk,neon,tech aesthetic",BATCH_2025_09_C,yes,original,no,owned,N/A,no,Medium performer - test video content
MAP007,carbons/analyze_prompts_dashboard.png,analyze_prompts_dashboard.png,IMG_CARB_015,carbons,1,1.74,2025-10-19,2048,6452,0.32,PNG,no,"rgb(0,0,0), rgb(96,32,96), rgb(32,64,96), rgb(64,32,64), rgb(224,224,224)",1.4,8.5,70,7.1,UNMAPPED,,available,,,no,,,,Mockup,Dashboard UI,"dark,purple,minimalist",all_year,tech_minimal,ready,no,no,yes,no,low,,,,,,,,"Tech dashboard mockup with dark theme and purple accents minimal design aesthetic",tech_dashboard_mockup_dark_purple.png,"Vertical tech dashboard mockup featuring dark theme with subtle purple and blue accents minimalist data visualization interface","dashboard,mockup,tech,UI,dark theme,purple,minimal,data viz",,yes,screenshot,no,owned,N/A,no,Unmapped - potential tech product
MAP008,DaLLe/fantasy_dragon_landscape.png,fantasy_dragon_landscape.png,IMG_DALL_225,DaLLe,1,4.21,2025-06-10,3840,2160,1.78,PNG,no,"rgb(255,128,0), rgb(64,0,128), rgb(224,160,0), rgb(0,64,128)",45.2,38.7,92,85.6,UNMAPPED,,available,,,no,,,,Digital Download,Fantasy Epic,"orange,purple,gold,blue","Q3,Q4",fantasy_gaming,ready,no,no,no,no,high,,,,,,,,"Epic fantasy landscape with dragon silhouette golden sunset and mystical atmosphere digital art print",fantasy_dragon_epic_landscape_digital_art.png,"Epic fantasy landscape featuring majestic dragon silhouette against golden sunset with purple mountain ranges and mystical atmospheric lighting","fantasy,dragon,landscape,epic,digital art,gaming,mystical,sunset",,yes,ai_generated,no,owned,DALL-E 3,no,High quality - unmapped opportunity for gaming niche
MAP009,etsy/minimalist_geometric_tshirt.png,minimalist_geometric_tshirt.png,IMG_ETY_089,etsy,1,0.95,2025-08-15,4500,5400,0.83,PNG,yes,"rgb(0,0,0), rgb(224,224,224), rgb(128,128,128)",18.2,52.4,88,35.2,PROD009,MGT-009,primary_listing,Redbubble,active,yes,1,product_flat,Apparel,Minimalist Geometric,"black,white,gray",all_year,minimalist_fashion,ready,no,no,no,no,medium,2025-12-28,42,6.9%,6.5%,control,7,,,"Minimalist geometric pattern t-shirt with black and white modern design clean lines tech aesthetic",minimalist_geometric_tshirt_modern_design.png,"Modern minimalist t-shirt featuring clean geometric patterns in black and white with contemporary tech-inspired aesthetic","minimalist,geometric,t-shirt,modern,tech,black and white,fashion",BATCH_2025_08_D,yes,original,no,owned,N/A,no,Stable performer - minimal aesthetic
MAP010,leodowns/anime_girl_gamer_rgb.png,anime_girl_gamer_rgb.png,IMG_LEO_567,leodowns,1,2.88,2025-05-22,2700,3600,0.75,PNG,no,"rgb(255,0,128), rgb(0,255,128), rgb(128,0,255), rgb(224,224,224)",48.5,32.1,89,81.3,UNMAPPED,,available,,,no,,,,Wall Art,Anime Gaming,"neon pink,green,purple,white","Q3,Q4",anime_gaming,ready,no,no,no,no,very high,,,,,,,,"Anime gamer girl poster with RGB neon lighting cyberpunk aesthetic gaming room decor",anime_gamer_girl_rgb_neon_poster.png,"Anime-style gamer girl character with RGB neon lighting effects cyberpunk aesthetic perfect for gaming room wall art","anime,gamer girl,RGB,neon,gaming,poster,cyberpunk,wall art",,yes,original,no,owned,N/A,no,Unmapped - high potential anime + gaming crossover
