Path,Description,Action
~/Documents/CsV/AI-ML,AI/ML files (310 files),Create directory
~/Documents/CsV/Data-Analysis,Data Analysis files (85 files),Create directory
~/Documents/CsV/Media,Media Content files (66 files),Create directory
~/Documents/CsV/Automation,Automation Scripts (20 files),Create directory
~/Documents/CsV/Portfolio,Portfolio Work (11 files),Create directory
~/Documents/CsV/Web-Dev,Web Development files (3 files),Create directory
~/Documents/CsV/Docs,Documentation files (2 files),Create directory
~/Documents/CsV/Config,Configuration files (2 files),Create directory
~/Documents/CsV/Testing,Testing files (1 file),Create directory
~/Documents/CsV/Misc,Miscellaneous files,Create directory
