Old Path,New Path,Filename,Priority,Description,Status
/Users/steven/hahnclifford_gmail.com.txt,~/Documents/CsV/AI-ML/hahnclifford_gmail.com.txt,hahnclifford_gmail.com.txt,37.76,Medium file | Markdown content | AI/ML related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Heroes_Rise__-_Villains_Overthrow_(Remastered)2 2_analysis.txt,~/Documents/CsV/AI-ML/Heroes_Rise__-_Villains_Overthrow_(Remastered)2 2_analysis.txt,Heroes_Rise__-_Villains_Overthrow_(Remastered)2 2_analysis.txt,36.45,Medium file | Text content | AI/ML related | Part of 'Claude Courses' project,Pending
/Users/steven/cursor2.txt,~/Documents/CsV/AI-ML/cursor2.txt,cursor2.txt,31.63,Medium file | Markdown content | AI/ML related | Part of 'YouTube Content' project,Pending
/Users/steven/merge_pythons.py,~/Documents/CsV/AI-ML/merge_pythons.py,merge_pythons.py,30.47,Medium file | Python content | AI/ML related | Part of 'YouTube Content' project | 5 functions,Pending
/Users/steven/cleanup_home.sh,~/Documents/CsV/AI-ML/cleanup_home.sh,cleanup_home.sh,29.33,Medium file | Sh content | AI/ML related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/analysis/motivational.txt,~/Documents/CsV/AI-ML/motivational.txt,motivational.txt,29.04,Large file | Text content | AI/ML related | Part of 'As-a-Man-Thinketh' project,Pending
/Users/steven/Music/analysis/thinketh-1_analysis.txt,~/Documents/CsV/AI-ML/thinketh-1_analysis.txt,thinketh-1_analysis.txt,29.04,Small file | Text content | AI/ML related | Part of 'As-a-Man-Thinketh' project,Pending
/Users/steven/Music/analysis/in-this--aLLey-where-i-hiDe_analysis.txt,~/Documents/CsV/AI-ML/in-this--aLLey-where-i-hiDe_analysis.txt,in-this--aLLey-where-i-hiDe_analysis.txt,28.92,Medium file | Text content | AI/ML related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/Shuki_Levy_&_Haim_Saban_-_X_Men.ogg,~/Documents/CsV/AI-ML/Shuki_Levy_&_Haim_Saban_-_X_Men.ogg,Shuki_Levy_&_Haim_Saban_-_X_Men.ogg,28.40,Large file | Ogg content | AI/ML related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak_doesn’t_speak349_(remastered)_analysis.txt,~/Documents/CsV/AI-ML/The_Heartland_Doesnt_Speak_doesn’t_speak349_(remastered)_analysis.txt,The_Heartland_Doesnt_Speak_doesn’t_speak349_(remastered)_analysis.txt,27.84,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,Pending
