Old Path,New Path,Filename,Priority,Description,Status
/Users/steven/Music/organize_by_basename.py,~/Documents/CsV/Media/organize_by_basename.py,organize_by_basename.py,47.20,Medium file | Python content | Media Content related | 5 functions | 1 classes,Pending
/Users/steven/Music/Bad Poetry Ep (Behind the Scenes).mp3,~/Documents/CsV/Media/Bad Poetry Ep (Behind the Scenes).mp3,Bad Poetry Ep (Behind the Scenes).mp3,42.99,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/Stories - Still Got Time There_s Nothing Holdin.mp3,~/Documents/CsV/Media/Stories - Still Got Time There_s Nothing Holdin.mp3,Stories - Still Got Time There_s Nothing Holdin.mp3,42.96,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,Pending
/Users/steven/audio-all.m4a,~/Documents/CsV/Media/audio-all.m4a,audio-all.m4a,40.90,Large file | M4A content | Media Content related | Part of 'As-a-Man-Thinketh' project,Pending
/Users/steven/vids-all.txt,~/Documents/CsV/Media/vids-all.txt,vids-all.txt,38.96,Large file | Markdown content | Media Content related | Part of 'As-a-Man-Thinketh' project,Pending
/Users/steven/Music/analysis/Echoes_of_the_Junkyard-v4_analysis_1_1.txt,~/Documents/CsV/Media/Echoes_of_the_Junkyard-v4_analysis_1_1.txt,Echoes_of_the_Junkyard-v4_analysis_1_1.txt,37.78,Medium file | Markdown content | Media Content related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/Bad Poetry (Original Song).mp3,~/Documents/CsV/Media/Bad Poetry (Original Song).mp3,Bad Poetry (Original Song).mp3,36.88,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/Trevor & Nahko - Barcelona.mp3,~/Documents/CsV/Media/Trevor & Nahko - Barcelona.mp3,Trevor & Nahko - Barcelona.mp3,33.23,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/analysis/in_This_aLLey_Where_i_HiDe_Remastered.mp3315_analysis.txt,~/Documents/CsV/Media/in_This_aLLey_Where_i_HiDe_Remastered.mp3315_analysis.txt,in_This_aLLey_Where_i_HiDe_Remastered.mp3315_analysis.txt,31.76,Medium file | Text content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/in_This_aLLey_Where_i_HiDe_Remastered_x2.mp3315_analysis.txt,~/Documents/CsV/Media/in_This_aLLey_Where_i_HiDe_Remastered_x2.mp3315_analysis.txt,in_This_aLLey_Where_i_HiDe_Remastered_x2.mp3315_analysis.txt,31.76,Medium file | Text content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/in This aLLey Where i HiDe (Remastered x2)_analysis.txt,~/Documents/CsV/Media/in This aLLey Where i HiDe (Remastered x2)_analysis.txt,in This aLLey Where i HiDe (Remastered x2)_analysis.txt,30.75,Medium file | Text content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/Let Me Love You _ Don_t Wanna Know.mp3,~/Documents/CsV/Media/Let Me Love You _ Don_t Wanna Know.mp3,Let Me Love You _ Don_t Wanna Know.mp3,30.22,Large file | Mp3 content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Katheria_and_Salome_The_Daughters_of_Di_analysis.txt,~/Documents/CsV/Media/Katheria_and_Salome_The_Daughters_of_Di_analysis.txt,Katheria_and_Salome_The_Daughters_of_Di_analysis.txt,28.49,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_Edit_analysis.txt,~/Documents/CsV/Media/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_Edit_analysis.txt,Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_Edit_analysis.txt,28.49,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/The_Digital_Mirror_Your_Online_Reflecti_analysis.txt,~/Documents/CsV/Media/The_Digital_Mirror_Your_Online_Reflecti_analysis.txt,The_Digital_Mirror_Your_Online_Reflecti_analysis.txt,28.49,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/How_350_Years_of_Royal_Drama_Forged_Engl_analysis.txt,~/Documents/CsV/Media/How_350_Years_of_Royal_Drama_Forged_Engl_analysis.txt,How_350_Years_of_Royal_Drama_Forged_Engl_analysis.txt,28.49,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Dumpster_Fire_Happy_Hour_A_TrashCat_Tal_analysis.txt,~/Documents/CsV/Media/Dumpster_Fire_Happy_Hour_A_TrashCat_Tal_analysis.txt,Dumpster_Fire_Happy_Hour_A_TrashCat_Tal_analysis.txt,28.49,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/The_Chalice_of_Reflection_A_Tale_of_Des_analysis.txt,~/Documents/CsV/Media/The_Chalice_of_Reflection_A_Tale_of_Des_analysis.txt,The_Chalice_of_Reflection_A_Tale_of_Des_analysis.txt,28.49,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Phi_Fibonacchi_and_Love_of_Self_analysis.txt,~/Documents/CsV/Media/Phi_Fibonacchi_and_Love_of_Self_analysis.txt,Phi_Fibonacchi_and_Love_of_Self_analysis.txt,28.49,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/in This aLLey Where i HiDe-oG (Remix)322 (1)_analysis.txt,~/Documents/CsV/Media/in This aLLey Where i HiDe-oG (Remix)322 (1)_analysis.txt,in This aLLey Where i HiDe-oG (Remix)322 (1)_analysis.txt,28.33,Medium file | Text content | Media Content related | Part of 'Portfolio Projects' project,Pending
/Users/steven/Music/analysis/The_Shocking_Blueprint_to_End_Democracy_2_analysis.txt,~/Documents/CsV/Media/The_Shocking_Blueprint_to_End_Democracy_2_analysis.txt,The_Shocking_Blueprint_to_End_Democracy_2_analysis.txt,26.11,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Call_for_More_analysis.txt,~/Documents/CsV/Media/Call_for_More_analysis.txt,Call_for_More_analysis.txt,26.04,Medium file | Markdown content | Media Content related | Part of 'YouTube Content' project,Pending
