File Path,Category,Priority,Confidence,Complexity,Maturity,Description,Destinations
/Users/steven/ADVANCED_CONTENT_AWARE_ANALYZER.py,Data Analysis,48.57,21.25%,high,medium,Medium file | Python content | Data Analysis related | Part of 'As-a-Man-Thinketh' project | 22 functions | 5 classes,~/Documents/CsV/Data-Analysis/As-a-Man-Thinketh/Production | ~/Documents/CsV/Data-Analysis/As-a-Man-Thinketh/Experimental
/Users/steven/Music/organize_by_basename.py,Media Content,47.20,67.98%,medium,medium,Medium file | Python content | Media Content related | 5 functions | 1 classes,~/Documents/CsV/Media/Production | ~/Documents/CsV/Media/Experimental
/Users/steven/Music/Bad Poetry Ep (Behind the Scenes).mp3,Media Content,42.99,66.67%,unknown,unknown,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,~/Documents/CsV/Media/Portfolio/Production | ~/Documents/CsV/Media/Portfolio/Experimental
/Users/steven/Music/Stories - Still Got Time There_s Nothing Holdin.mp3,Media Content,42.96,66.67%,unknown,unknown,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,~/Documents/CsV/Media/Portfolio/Production | ~/Documents/CsV/Media/Portfolio/Experimental
/Users/steven/audio-all.m4a,Media Content,40.90,76.34%,unknown,unknown,Large file | M4A content | Media Content related | Part of 'As-a-Man-Thinketh' project,~/Documents/CsV/Media/As-a-Man-Thinketh/Production | ~/Documents/CsV/Media/As-a-Man-Thinketh/Experimental
/Users/steven/vids-all.txt,Media Content,38.96,71.79%,unknown,unknown,Large file | Markdown content | Media Content related | Part of 'As-a-Man-Thinketh' project,~/Documents/CsV/Media/As-a-Man-Thinketh/Production | ~/Documents/CsV/Media/As-a-Man-Thinketh/Experimental
/Users/steven/Music/analysis/Echoes_of_the_Junkyard-v4_analysis_1_1.txt,Media Content,37.78,69.44%,unknown,unknown,Medium file | Markdown content | Media Content related | Part of 'Portfolio Projects' project,~/Documents/CsV/Media/Portfolio/Production | ~/Documents/CsV/Media/Portfolio/Experimental
/Users/steven/hahnclifford_gmail.com.txt,AI/ML,37.76,69.38%,unknown,unknown,Medium file | Markdown content | AI/ML related | Part of 'YouTube Content' project,~/Documents/CsV/AI-ML/YouTube-Content/Production | ~/Documents/CsV/AI-ML/YouTube-Content/Experimental
/Users/steven/Music/Bad Poetry (Original Song).mp3,Media Content,36.88,49.46%,unknown,unknown,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,~/Documents/CsV/Media/Portfolio/Production | ~/Documents/CsV/Media/Portfolio/Experimental
/Users/steven/Music/analysis/Heroes_Rise__-_Villains_Overthrow_(Remastered)2 2_analysis.txt,AI/ML,36.45,66.11%,unknown,unknown,Medium file | Text content | AI/ML related | Part of 'Claude Courses' project,~/Documents/CsV/AI-ML/Claude-Courses/Production | ~/Documents/CsV/AI-ML/Claude-Courses/Experimental
/Users/steven/Music/Walk With You.mp3,Web Development,34.33,29.58%,unknown,unknown,Large file | Mp3 content | Web Development related | Part of 'YouTube Content' project,~/Documents/CsV/Web-Development/YouTube-Content/Production | ~/Documents/CsV/Web-Development/YouTube-Content/Experimental
/Users/steven/Music/Trevor & Nahko - Barcelona.mp3,Media Content,33.23,38.78%,unknown,unknown,Large file | Mp3 content | Media Content related | Part of 'Portfolio Projects' project,~/Documents/CsV/Media/Portfolio/Production | ~/Documents/CsV/Media/Portfolio/Experimental
/Users/steven/llm-env-temp.txt,Web Development,31.85,54.61%,unknown,unknown,Medium file | Markdown content | Web Development related | Part of 'YouTube Content' project,~/Documents/CsV/Web-Development/YouTube-Content/Production | ~/Documents/CsV/Web-Development/YouTube-Content/Experimental
/Users/steven/Music/analysis/in_This_aLLey_Where_i_HiDe_Remastered.mp3315_analysis.txt,Media Content,31.76,54.39%,unknown,unknown,Medium file | Text content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
