Filename,Category
4b845bbc-d25c-491a-9da6-c8de8cbcea43_Export-2db7bfbd-4211-4622-a422-fbd7c3588a8c.zip,ai-conversations
ChatGPT-youtube-48prompts.zip,ai-conversations
ai-conversations-archive-2025-11-01.tar.gz,ai-conversations
10d96bb3-ff37-4810-8fcd-29ee1a832ed7_Export-ef8d80f3-3f78-4315-8a51-944b6fb0f71e.zip,ai-conversations
ChatGPT-Automation-Sora-epic.html,ai-conversations
2e2b4dca-5501-404a-a4bd-1df078820e7a_Export-14b7f423-e48a-4e32-9ef7-8947a2f666d8.zip,ai-conversations
55bd00e2-8a4d-4a87-b01e-b57be4877252_Export-f0985f33-939d-4de2-808e-634f7b18e911.zip,ai-conversations
0f6cd00b-5047-4f4c-b931-55d43df73154_Export-fa7f1a77-5cba-47d3-a612-e68558a73440.zip,ai-conversations
5a1f7c16-9114-4665-90f5-4264f6b460c2_Export-1fbd1143-94cc-44a7-9293-da024a596a87.zip,ai-conversations
whisper.zip,code-repos
twitch_streamer.zip,code-repos
TrashCaT-notion.zip,code-repos
15day.zip,code-repos
TrashCat-Prompts-Epic.zip,code-repos
shorts-2024.zip,youtube-projects
shorts_service.zip,youtube-projects
youtube_audio.zip,youtube-projects
auto_youtube.zip,youtube-projects
simplegallery-FINAL.zip,gallery-projects
simplegallery_template.zip,gallery-projects
simplegallery-Perfect.zip,gallery-projects
d80a032d_cd5a.zip,misc-archives
Protrait-Ai-Offer.zip,misc-archives
opus_clip.zip,misc-archives
aiavatar_github.zip,misc-archives
ollama_menu_pack.zip,misc-archives
redbubble_bot.zip,misc-archives
pydocgenerator.zip,misc-archives
DighitalDiVe.zip,misc-archives
ollama-main-only.zip,misc-archives
mockup_automation.zip,misc-archives
SEO_Pricing_Guide-_What_s_The_Cost_of_SEO_Nutshell.zip,misc-archives
Peacock_Angel-Malek_taus.zip,misc-archives
e4a5b636_1b9a.zip,misc-archives
analysis-2025-10.tar.gz,misc-archives
cli.zip,misc-archives
ollama-menu-updated.zip,misc-archives
comment_bot.zip,misc-archives
ollama_cpu16gb_starter.zip,misc-archives
archives_zip.zip,misc-archives
scripts.zip,misc-archives
ollama-setup-kit-Intel-macOS.zip,misc-archives
archive.zip,misc-archives
auto-approve-sudo.zip,misc-archives
old-configs,misc-archives
site_pages_only_v2.zip,misc-archives
ollama_categories_pack.zip,misc-archives
