Group_ID,File_Name,Full_Path,Parent_Directory,Size_Bytes,Size_Human,File_Count_In_Group,Total_Group_Size_Bytes,Total_Group_Size_Human,Potential_Savings_Bytes,Potential_Savings_Human,Keep_File,Action
1,heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/ai-sites/heavenlyHands/heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/ai-sites/heavenlyHands,105820871,100.92MB,3,317462613,302.76MB,0,0B,YES,KEEP
1,heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/archive/LIVE-DEPLOYMENT/heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/archive/LIVE-DEPLOYMENT,105820871,100.92MB,3,317462613,302.76MB,211641742,201.84MB,NO,DELETE (if identical)
1,heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/avatararts-deployment/heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/avatararts-deployment,105820871,100.92MB,3,317462613,302.76MB,211641742,201.84MB,NO,DELETE (if identical)
2,copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV,/Users/steven/Downloads/04_Images/copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV,/Users/steven/Downloads/04_Images,70470713,67.21MB,2,140941426,134.41MB,0,0B,YES,KEEP
2,copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691.MOV,/Users/steven/Downloads/copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691.MOV,/Users/steven/Downloads,70470713,67.21MB,2,140941426,134.41MB,70470713,67.21MB,NO,DELETE (if identical)
3,Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/AVATARARTS/Ai-Empire/Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/AVATARARTS/Ai-Empire,64259574,61.28MB,2,128519148,122.57MB,0,0B,YES,KEEP
3,Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/Downloads/Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/Downloads,64259574,61.28MB,2,128519148,122.57MB,64259574,61.28MB,NO,DELETE (if identical)
4,copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV,/Users/steven/Downloads/04_Images/copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV,/Users/steven/Downloads/04_Images,58148737,55.45MB,2,116297474,110.91MB,0,0B,YES,KEEP
4,copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503.MOV,/Users/steven/Downloads/copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503.MOV,/Users/steven/Downloads,58148737,55.45MB,2,116297474,110.91MB,58148737,55.45MB,NO,DELETE (if identical)
5,Winning_the_SEO_Game_2025.mp4,/Users/steven/AVATARARTS/Ai-Empire/Winning_the_SEO_Game_2025.mp4,/Users/steven/AVATARARTS/Ai-Empire,47305975,45.11MB,2,94611950,90.23MB,0,0B,YES,KEEP
