Group_ID,File_Name,Full_Path,Parent_Directory,Size_Bytes,Size_Human,Content_Hash,File_Count_In_Group,Total_Group_Size_Bytes,Total_Group_Size_Human,Potential_Savings_Bytes,Potential_Savings_Human,Keep_File,Action,Note
1,heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/ai-sites/heavenlyHands/heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/ai-sites/heavenlyHands,105820871,100.92MB,8a6d50bcfedb8a62eef0295bf60b0aa4,3,317462613,302.76MB,0,0B,YES,KEEP,Content-identical
1,heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/archive/LIVE-DEPLOYMENT/heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/archive/LIVE-DEPLOYMENT,105820871,100.92MB,8a6d50bcfedb8a62eef0295bf60b0aa4,3,317462613,302.76MB,211641742,201.84MB,NO,DELETE (if identical),Content-identical
1,heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/avatararts-deployment/heavenly-hands-call-tracking.zip,/Users/steven/AVATARARTS/avatararts-deployment,105820871,100.92MB,8a6d50bcfedb8a62eef0295bf60b0aa4,3,317462613,302.76MB,211641742,201.84MB,NO,DELETE (if identical),Content-identical
2,copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV,/Users/steven/Downloads/04_Images/copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV,/Users/steven/Downloads/04_Images,70470713,67.21MB,66a63abcbef7c5c0e203e64842f557c7,2,140941426,134.41MB,0,0B,YES,KEEP,"Content-identical, different names"
2,copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691.MOV,/Users/steven/Downloads/copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691.MOV,/Users/steven/Downloads,70470713,67.21MB,66a63abcbef7c5c0e203e64842f557c7,2,140941426,134.41MB,70470713,67.21MB,NO,DELETE (if identical),"Content-identical, different names"
3,Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/AVATARARTS/Ai-Empire/Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/AVATARARTS/Ai-Empire,64259574,61.28MB,3b5cc0cbbdbfda332013f2b63d2423cf,2,128519148,122.57MB,0,0B,YES,KEEP,Content-identical
3,Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/Downloads/Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,/Users/steven/Downloads,64259574,61.28MB,3b5cc0cbbdbfda332013f2b63d2423cf,2,128519148,122.57MB,64259574,61.28MB,NO,DELETE (if identical),Content-identical
4,copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV,/Users/steven/Downloads/04_Images/copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV,/Users/steven/Downloads/04_Images,58148737,55.45MB,38b2e1c1a69b6699c500c01714f02055,2,116297474,110.91MB,0,0B,YES,KEEP,"Content-identical, different names"
4,copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503.MOV,/Users/steven/Downloads/copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503.MOV,/Users/steven/Downloads,58148737,55.45MB,38b2e1c1a69b6699c500c01714f02055,2,116297474,110.91MB,58148737,55.45MB,NO,DELETE (if identical),"Content-identical, different names"
5,Winning_the_SEO_Game_2025.mp4,/Users/steven/AVATARARTS/Ai-Empire/Winning_the_SEO_Game_2025.mp4,/Users/steven/AVATARARTS/Ai-Empire,47305975,45.11MB,31f3c496f0e914aed8fd8d1cb4c77ebf,2,94611950,90.23MB,0,0B,YES,KEEP,Content-identical
5,Winning_the_SEO_Game_2025.mp4,/Users/steven/Downloads/Winning_the_SEO_Game_2025.mp4,/Users/steven/Downloads,47305975,45.11MB,31f3c496f0e914aed8fd8d1cb4c77ebf,2,94611950,90.23MB,47305975,45.11MB,NO,DELETE (if identical),Content-identical
6,AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Downloads/02_Conversations/AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Downloads/02_Conversations,32118718,30.63MB,33447f0ce5c0aacbc02544f278e16b68,2,64237436,61.26MB,0,0B,YES,KEEP,Content-identical
6,AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Pictures/ideo-xmas-T/AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Pictures/ideo-xmas-T,32118718,30.63MB,33447f0ce5c0aacbc02544f278e16b68,2,64237436,61.26MB,32118718,30.63MB,NO,DELETE (if identical),Content-identical
7,AquaTouch v3.6.10.bttpresetzip,/Users/steven/Pictures/ideo-xmas-T/AquaTouch v3.6.10.bttpresetzip,/Users/steven/Pictures/ideo-xmas-T,31919721,30.44MB,bff6c0c479fce73b703fd1886688034f,2,63839442,60.88MB,0,0B,YES,KEEP,"Content-identical, different names"
7,AquaTouch v3.6.10.bttpresetzip 2,/Users/steven/Pictures/ideo-xmas-T/AquaTouch v3.6.10.bttpresetzip 2,/Users/steven/Pictures/ideo-xmas-T,31919721,30.44MB,bff6c0c479fce73b703fd1886688034f,2,63839442,60.88MB,31919721,30.44MB,NO,DELETE (if identical),"Content-identical, different names"
8,Bangkit2023-SunSavvy-master (1).zip,/Users/steven/Pictures/ideo-xmas-T/Bangkit2023-SunSavvy-master (1).zip,/Users/steven/Pictures/ideo-xmas-T,17930690,17.10MB,9ed7d5ea6025083a479a140329ed69ee,3,53792070,51.30MB,0,0B,YES,KEEP,"Content-identical, different names"
8,Bangkit2023-SunSavvy-master (2).zip,/Users/steven/Pictures/ideo-xmas-T/Bangkit2023-SunSavvy-master (2).zip,/Users/steven/Pictures/ideo-xmas-T,17930690,17.10MB,9ed7d5ea6025083a479a140329ed69ee,3,53792070,51.30MB,35861380,34.20MB,NO,DELETE (if identical),"Content-identical, different names"
