FINAL DUPLICATE REMOVAL REPORT
Generated from comprehensive multi-method analysis
""
SUMMARY STATISTICS
Total files to remove,33
Total space savings (KB),255
Largest file to remove,organize-files-intelligent.py (37937 bytes)
""
REMOVAL CATEGORIES
Category,Files,Space Saved (KB)
Safe High Confidence,15,0
Review Medium Confidence,18,0
Careful Low Confidence,0,0
Investigate High Impact,0,0
""
DETAILED REMOVAL RECOMMENDATIONS
Phase,File Path,Filename,Reason,Confidence,Size (KB),Duplicate Type,Analysis Source
PHASE 1: SAFE REMOVAL (High Confidence),,,,,,,
Phase 1 safe,/Users/steven/.harbor/boost/src/config.py,config.py,Functional duplicate of config.py (100.00% similar),High,16,Content Functional Duplicate,content_based
Phase 1 safe,/Users/steven/.harbor/boost/src/modules/mcts.py,mcts.py,Same filename as mcts.py - keep larger version,High,10,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/agent/src/llm.py,llm.py,Same filename as llm.py - keep larger version,High,8,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/boost/src/main.py,main.py,Same filename as main.py - keep larger version,High,5,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/agent/src/config.py,config.py,Same filename as config.py - keep larger version,High,5,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.claude-worktrees/pythons/busy-liskov/setuptools.py,setuptools.py,Identical content - exact duplicate,High,4,Identical Content,content_based
Phase 1 safe,/Users/steven/.harbor/boost/src/chat.py,chat.py,Functional duplicate of chat.py (100.00% similar),High,3,Content Functional Duplicate,content_based
Phase 1 safe,/Users/steven/.harbor/boost/src/chat_node.py,chat_node.py,Functional duplicate of chat_node.py (100.00% similar),High,3,Content Functional Duplicate,content_based
Phase 1 safe,/Users/steven/.harbor/agent/src/main.py,main.py,Same filename as main.py - keep larger version,High,2,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/agent/src/chat.py,chat.py,Same filename as chat.py - keep larger version,High,2,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/agent/src/chat_node.py,chat_node.py,Same filename as chat_node.py - keep larger version,High,1,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/ktransformers/chat.py,chat.py,Same filename as chat.py - keep larger version,High,1,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/agent/src/format.py,format.py,Same filename as format.py - keep larger version,High,0,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.harbor/agent/src/log.py,log.py,Same filename as log.py - keep larger version,High,0,Same Filename Duplicate,comprehensive
Phase 1 safe,/Users/steven/.claude-worktrees/pythons/busy-liskov/sound.py,sound.py,Near-empty file (2 non-empty lines),High,0,Minimal Content,content_based
""
PHASE 2: REVIEW REQUIRED (Medium Confidence),,,,,,,
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/organize-files-intelligent.py,organize-files-intelligent.py,Contains placeholder/stub content,Medium,37,Stub File,content_based
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/validate-json-reader.py,validate-json-reader.py,Contains placeholder/stub content,Medium,27,Stub File,content_based
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/html-keep.py,html-keep.py,Contains placeholder/stub content,Medium,18,Stub File,content_based
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/code-apply-improvements.py,code-apply-improvements.py,Contains placeholder/stub content,Medium,16,Stub File,content_based
Phase 2 review,/Users/steven/.harbor/open-webui/extras/mcts.py,mcts.py,Contains placeholder/stub content,Medium,16,Stub File,content_based
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/api-key-inventory.py,api-key-inventory.py,Contains placeholder/stub content,Medium,13,Stub File,content_based
Phase 2 review,/Users/steven/.harbor/open-webui/extras/artifact.py,artifact.py,Contains placeholder/stub content,Medium,10,Stub File,content_based
Phase 2 review,/Users/steven/.harbor/ol1/app.py,app.py,Contains placeholder/stub content,Medium,7,Stub File,content_based
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/category-readme-generator.py,category-readme-generator.py,Contains placeholder/stub content,Medium,6,Stub File,content_based
Phase 2 review,/Users/steven/.harbor/parler/main.py,main.py,Contains placeholder/stub content,Medium,6,Stub File,content_based
Phase 2 review,/Users/steven/.harbor/shared/json_config_merger.py,json_config_merger.py,Duplicate config file - keep config.py,Medium,4,Config Duplicate,comprehensive
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/setuptools-bootstrap.py,setuptools-bootstrap.py,Functional duplicate of setuptools.py (80.00% similar),Medium,4,Content Functional Duplicate,content_based
Phase 2 review,/Users/steven/.claude-worktrees/pythons/busy-liskov/upload-products.py,upload-products.py,Contains placeholder/stub content,Medium,3,Stub File,content_based
