directory,path,size_bytes,size_formatted,python_files,code,data,docs,media,config
Pictures,/Users/steven/Pictures,43554230272,40.6GB,477,532,388,1695,44192,3
Downloads,/Users/steven/Downloads,33150038016,30.9GB,16066,16504,4539,4149,458,4049
Movies,/Users/steven/Movies,27397357568,25.5GB,2,307,1020,248,2105,41
Library,/Users/steven/Library,27269853184,25.4GB,32961,52365,11036,7206,12427,357
Music,/Users/steven/Music,19927359488,18.6GB,905,938,332,3270,1613,8
AVATARARTS,/Users/steven/AVATARARTS,7578415104,7.1GB,457,913,866,5380,2537,65
GitHub,/Users/steven/GitHub,3253907456,3.0GB,1850,71174,4918,4578,531,666
Documents,/Users/steven/Documents,1534181376,1.4GB,14,97,1732,537,64,0
.config,/Users/steven/.config,1124470784,1.0GB,1,420,112,323,522,30
pythons,/Users/steven/pythons,382894080,365.2MB,713,910,180,660,85,163
claude-Convos,/Users/steven/claude-Convos,300462080,286.5MB,3,144,257,290,121,37
pythons-sort,/Users/steven/pythons-sort,168960000,161.1MB,25,25,117,18,0,1
.claude,/Users/steven/.claude,127823872,121.9MB,25,130,266,441,1,16
scripts,/Users/steven/scripts,62140416,59.3MB,5,336,6,10,0,7
analysis,/Users/steven/analysis,2617344,2.5MB,0,0,4,1,0,0
.env.d,/Users/steven/.env.d,1568768,1.5MB,5,15,8,33,0,78
Desktop,/Users/steven/Desktop,0,0.0B,0,0,0,0,0,0
