folder,file_count,total_size_kb,primary_purposes,ai_files,automation_files,top_imports,duplicate_risk
steven,1,2,unknown(1),1,0,"json(1), os(1), pathlib(1)",MEDIUM - Highly specialized folder
parler,1,6,unknown(1),1,0,"parler_tts_server(1), huggingface_hub(1), soundfile(1)",MEDIUM - Highly specialized folder
nexa,1,2,unknown(1),1,0,"fastapi(1), asyncio(1), datetime(1)",MEDIUM - Highly specialized folder
extras,2,27,unknown(2),2,2,"json(2), open_webui(2), logging(2)",MEDIUM - Highly specialized folder
harbor,1,0,unknown(1),1,0,"subprocess(1), os(1), sys(1)",MEDIUM - Highly specialized folder
src,22,85,unknown(22),19,0,"log(12), typing(9), config(8)",HIGH - Many similar files
middleware,2,0,unknown(2),2,0,"starlette(2), fastapi(2), state(1)",MEDIUM - Highly specialized folder
tools,1,2,unknown(1),1,0,"inspect(1), log(1), pydantic(1)",MEDIUM - Highly specialized folder
modules,15,89,unknown(15),15,2,"chat(15), llm(15), log(12)",HIGH - Many similar files
custom_modules,26,70,unknown(26),26,1,"chat(24), llm(24), log(12)",HIGH - Many similar files
txtairag,1,20,unknown(1),1,1,"streamlit(1), txtai(1), os(1)",MEDIUM - Highly specialized folder
tasks,5,4,unknown(5),5,0,"llm(4), pydantic(4), typing(2)",MEDIUM - Highly specialized folder
shared,2,7,unknown(2),2,0,"os(2), argparse(2), re(2)",MEDIUM - Highly specialized folder
ktransformers,1,1,unknown(1),1,0,"json(1), ktransformers(1), time(1)",MEDIUM - Highly specialized folder
airllm,1,5,unknown(1),1,0,"json(1), airllm(1), os(1)",MEDIUM - Highly specialized folder
ol1,1,7,unknown(1),1,0,"json(1), streamlit(1), requests(1)",MEDIUM - Highly specialized folder
busy-liskov,417,6437,unknown(417),359,143,"pathlib(260), os(218), logging(165)",HIGH - Many similar files
