Analysis Type,Folder,Image,Size (MB),Dimensions,Format,Modified Date,Camera,File Hash,Perceptual Hash,Notes
Image,.,lgbtq_heart.png,0.06,1024x1024,PNG,2025-05-01 17:30:32,,ce104dcfaa92bf17,00ffffff7e000000,
Image,.,flower_heart.png,0.12,1024x1024,PNG,2025-05-01 17:30:31,,20471a3d8cf44e3d,0000000000000000,
Image,.,blocks_heart.png,0.01,1024x1024,PNG,2025-05-01 17:30:32,,63ad903d87fd304b,0000000000000000,
Image,.,distressed_heart.png,0.21,1024x1024,PNG,2025-05-01 17:30:33,,abd2ae8975f48983,0000000000000000,
Image,.,wing_heart.png,0.03,720x246,PNG,2025-05-01 17:30:33,,390827344f155e62,003c3c3c1c181818,
Image,.,tiger_heart.png,0.2,1024x1024,PNG,2025-05-01 17:30:31,,3e9f569a8a156594,66ffffff7e343800,
Image,.,drip_heart_1.png,0.07,1024x1024,PNG,2025-05-01 17:30:40,,0ea60d5b07228444,66ffffff7e3c0000,
Image,.,cross_stitch_heart.png,0.21,1024x1024,PNG,2025-05-01 17:30:39,,4cc211bf50769ab6,0000000000000000,
Image,.,cracked_heart.png,0.2,1024x1024,PNG,2025-05-01 17:30:40,,0632d854f71aafc7,0000000000000000,
Image,.,hearty_heart.png,0.13,1024x1024,PNG,2025-05-01 17:30:40,,6de1b0e02ff44140,0000000000000000,
Image,.,dripping_heart.png,0.05,1024x1024,PNG,2025-05-01 17:30:40,,470c2f0211d4ab43,0000000000000000,
Image,.,dash_heart.png,0.11,1024x1024,PNG,2025-05-01 17:30:41,,22c8fa3e51e76344,e7bd998142663c18,
Image,.,cheetah_heart.png,0.33,1024x1024,PNG,2025-05-01 17:30:41,,7dbc5b2be1b5b788,66ffff7f7e3c3808,
Image,.,Anti-Love-Struck-6-16-2024.png,0.13,1024x217,PNG,2024-06-16 21:46:53,,dbe0352a4f31282c,0000fffffefe0000,
Image,.,heart_lock.png,0.13,1490x1920,PNG,2025-05-01 17:30:39,,4142357c6c171b1f,0000000000000000,
Image,.,heart_frame_2.png,0.06,1024x1024,PNG,2025-05-01 17:30:32,,a067595d5632f3cc,0000000000000000,
Image,.,heart_frame_3.png,0.08,1024x1024,PNG,2025-05-01 17:30:31,,d8714fc00e1c84ae,0000000000000000,
Image,.,heart_frame_1.png,0.07,1024x1024,PNG,2025-05-01 17:30:32,,be99efd3f670aa9b,0000000000000000,
Image,.,puzzle_heart.png,0.14,1024x1024,PNG,2025-05-01 17:30:33,,1f5ac4966fccf001,0000000000000000,
SIMILAR,.,12 similar images,,,,,,,0000000000000000,"Files: flower_heart.png, blocks_heart.png, distressed_heart.png"
Image,leodowns/photos/public/images/photos,247b42b9-37a2-46de-9440-18f1a6e1bc1d_856b77ca-dd49-43e0-9d1f-aa27b74a2e58.jpg,0.34,1530x2700,JPEG,2025-03-28 19:04:17,,043bdf67aece28d5,6eff7f8780000003,
Image,leodowns/photos/public/images/photos,f5f4e16a-1fc3-49b1-977c-6cfe5ad7a0dd_3d20ac74-d7f0-49af-a9cf-6e6e3bbd8c6c.jpg,0.25,1350x2700,JPEG,2025-03-28 19:04:17,,ae0603f35a2800be,fffb4f8900000000,
Image,leodowns/photos/public/images/photos,e0c31a43-5a70-4f88-a8ee-e80bbdf8931e_20561c7b-c130-447e-9e09-079203fc9d76.jpg,0.33,1800x2700,JPEG,2025-03-28 19:04:17,,a3d1fe90dd479fcb,00087c7e3c2c0e0e,
Image,leodowns/photos/public/images/photos,a11228b2-6bc1-44d0-b96b-22ba2e6b67dc_e2098a37-6f28-4d04-885b-7b9c7c67a147.jpg,0.33,1530x2700,JPEG,2025-03-28 19:04:17,,65defcb6e01eff36,045f5e8c801f1e00,
Image,leodowns/photos/public/images/photos,fb19d934-c080-4e70-bbe4-73aaeafb1822_5e2b10b5-052d-4f35-a378-0c49fe38843e.jpg,0.39,1532x2700,JPEG,2025-03-28 19:04:17,,aaf096efda1192e3,78203c3c1c00003c,
Image,leodowns/photos/public/images/photos,ecdd333f-0f1c-494d-8f66-9eea8781b72c_c213d63f-e2b9-4549-9756-fb5c202c5e10.jpg,0.05,720x402,JPEG,2025-03-28 19:04:24,,02de0a9a45926f68,1c3c3e34db424204,
Image,leodowns/photos/public/images/photos,58c6ae49-fcbe-4bd8-be3d-3784184892a1_ed14185e-93a2-43a1-a73b-bc5003be7474.jpg,0.37,1532x2700,JPEG,2025-03-28 19:04:26,,7db40c63065b0729,80fefedb83000000,
Image,leodowns/photos/public/images/photos,278c8c2b-160c-4ad4-86a9-537004c116c8_5cacd85d-a9cf-45f0-9278-e75df07d1bf6.jpg,0.05,720x480,JPEG,2025-03-28 19:04:26,,27a36b685734d9b3,183c47c3dfc01c00,
Image,leodowns/photos/public/images/photos,247b42b9-37a2-46de-9440-18f1a6e1bc1d_09e9a425-e78e-481e-aba8-31821f7f4912.jpg,0.34,1530x2700,JPEG,2025-03-28 19:04:32,,4010fa9e6e7edc8f,c8f8efbf01010183,
Image,leodowns/photos/public/images/photos,4942d706-67c8-47b3-b638-3805c9a5f2aa_9a676a09-5f99-437c-8914-0f700d9360cf.jpg,0.33,1530x2700,JPEG,2025-03-28 19:04:33,,0de623f428becc44,093f7e2125d0f060,
Image,leodowns/photos/public/images/photos,18b3077b-ffcb-47ee-9171-51b4f3f5aebd_6b603bd8-377d-4b83-b77e-5e916832e296.jpg,0.28,1518x2700,JPEG,2025-03-28 19:04:34,,e16cdb16710d2308,267e7f0f3d008383,
Image,leodowns/photos/public/images/photos,508c417b-352f-429f-8c0b-9d621001fee8_405e36d7-9970-426a-8516-3a51d78a525f.jpg,0.07,720x462,JPEG,2025-03-28 19:04:34,,030b83b6e8d20bc6,387c7b9d99081808,
Image,leodowns/photos/public/images/photos,6e5eabe1-378d-4a29-9a6b-089a8d62b5e9_32deecf4-e52a-42ee-af56-c5795aa0bcc4.jpg,0.25,1587x2700,JPEG,2025-03-28 19:04:34,,d9366cfed8017d7c,3c7c3c6440808080,
Image,leodowns/photos/public/images/photos,c36ffaac-d953-4bbd-989f-c94cf6aa7411_6102870c-159b-4dbc-ad93-c205d1e03e21.jpg,0.44,1537x2700,JPEG,2025-03-28 19:04:34,,a16acc80ed4efc72,00c35ecec7038300,
Image,leodowns/photos/public/images/photos,a57c9aa2-3f32-4749-9c22-367afb52d0be_1d2ef8ef-c9d2-4ec7-9f72-6ae78f197e71.jpg,0.38,1532x2700,JPEG,2025-03-28 19:04:42,,ee55858d30485d1c,407e7e1a03000000,
Image,leodowns/photos/public/images/photos,a80b05ec-d245-47a0-a971-7e25b943c605_506bfd51-f654-4ed5-a996-b663fc2c94fd.jpg,0.4,1518x2700,JPEG,2025-03-28 19:04:42,,469c1b0ef477e493,3f6febe32120c000,
Image,leodowns/photos/public/images/photos,f01f1dab-032a-4247-b82e-330196a66a49_142a1a17-9f9c-4b71-aab9-a825ca03fa49.jpg,0.34,1530x2700,JPEG,2025-03-28 19:04:43,,9797dcd7282088bd,013fffc3c6808000,
Image,leodowns/photos/public/images/photos,b50e5df3-70ca-4c8e-87dc-507e9bedece7_ff319560-c3e3-4be5-a97e-39449b476926.jpg,0.05,720x480,JPEG,2025-03-28 19:04:52,,d540f6c8fe2e7556,f0f07898823a78c0,
Image,leodowns/photos/public/images/photos,a8391363-8f87-4f67-9b55-7fcf322fbbd6_7caa9e60-3d5f-413a-90bc-a0c3f9ea9286.jpg,0.38,1530x2700,JPEG,2025-03-28 19:04:53,,e5cd9ab0e206bf72,001b3f7f38180000,
Image,leodowns/photos/public/images/photos,f01f1dab-032a-4247-b82e-330196a66a49_f08183b6-4e37-4e66-822f-a69ed4ded20e.jpg,0.35,1530x2700,JPEG,2025-03-28 19:04:59,,6fda6a305e8594f2,19cec78180818393,
Image,leodowns/photos/public/images/photos,06d5cbb7-6251-4949-b5e6-49a314182855_98eec417-f75e-411f-9d1f-b6d7b51d8d51.jpg,0.28,1587x2700,JPEG,2025-03-28 19:04:59,,ed0c36af80844125,3c7e3c2c4e0e0400,
Image,leodowns/photos/public/images/photos,862265eb-da45-4702-9d53-40e022fa3ca2_646b4a13-ae7d-4863-aeb7-c27c6d3d1c83.jpg,0.6,1800x2700,JPEG,2025-03-28 19:05:02,,87ebf76522bc83fb,003c3c1ecbd81800,
Image,leodowns/photos/public/images/photos,d0918db3-044b-494b-a905-002ed5b092b3_1d7e72dd-884b-4e41-a202-b5931461964a.jpg,0.35,1530x2700,JPEG,2025-03-28 19:05:07,,89b1e3ec640f28be,1dff6735010002a3,
Image,leodowns/photos/public/images/photos,187be2de-d3ff-4c4b-b073-e90b9105e64d_7c962c63-0d32-471d-824c-8eb2e5308442.jpg,0.29,1530x2700,JPEG,2025-03-28 19:05:08,,61f8f44e711d0db2,00203c3ce3e7f160,
