PICTURES DIRECTORY ANALYSIS,Generated: 2025-11-06 12:06:58

SUMMARY
Total Size,23.16 GB
Total Files,"21,910"
Total Directories,244
Archive Files (.zip),116

TOP DIRECTORIES BY SIZE
Directory,Size (GB),Percentage
Adobe,6.92,29.9%
etsy,5.64,24.4%
images,2.51,10.8%
cLeanShoT,2.34,10.1%
oct,0.95,4.1%
ideo-ALL,0.83,3.6%
DaLLe,0.73,3.1%
leodowns,0.66,2.9%
dead,0.62,2.7%
2025-simgall,0.34,1.5%
adobe_style_analysis,0.26,1.1%
eso-clockwork-magic,0.23,1.0%
mydesigns,0.16,0.7%
comic,0.15,0.7%
hogwarts,0.11,0.5%
9-16,0.07,0.3%
AwesomeArtUpscale,0.05,0.2%
Guilds-Glory,0.05,0.2%
ideo-notion,0.04,0.2%
sora,0.03,0.1%

FILE TYPES BY COUNT
Extension,Count,Total Size (MB)
jpg,15965,3676.9
png,1996,3857.1
txt,1612,2.4
mp4,615,4007.6
jpeg,448,293.0
svg,286,1076.4
psd,269,5507.7
zip,116,4758.1
html,110,84.7
py,77,0.6
json,48,22.4
md,42,1.9
js,42,3.2
psb,37,6.8
no_extension,32,0.1
rst,30,0.1
sample,28,0.0
css,27,0.3
dat,27,10.4
jinja,24,0.2
webp,9,5.1
gif,8,57.7
mp3,7,11.8
woff2,7,0.2
csv,7,0.1
asl,7,309.2
zxp,7,2.4
ccx,4,1.4
atn,2,0.0
sh,2,0.0

ALL ZIP ARCHIVES
Archive Path,Size (MB),Directory
Adobe/AutoMated-Mockups/280 ml can animated mockup.zip,665.0,Adobe/AutoMated-Mockups
Adobe/Resource-Boy/Resource-Boy-Gradient-Backgrounds-Vol-01.zip,660.7,Adobe/Resource-Boy
Adobe/magic mug animated mockup.zip,359.8,Adobe
etsy/01_ideogram_designs/-2- Ideogram-Tshirt - 8_11_2025 8-03-40 PM.zip,335.1,etsy/01_ideogram_designs
YThumbs.zip,289.7,root
Adobe/Styles-gradients.zip,269.8,Adobe
adobe_style_analysis/Archive.zip,209.8,adobe_style_analysis
etsy/05_raccoon_designs/Funny-Raccoon-Sublimation-Bundle-97017742-1.zip,196.3,etsy/05_raccoon_designs
Adobe/Resource-Boy/Resource-Boy-Gradient-Backgrounds-Vol-03.zip,153.6,Adobe/Resource-Boy
etsy/08_holiday_designs/AntiValentines-Day-x32-BUNDLE-Graphics-26574670.zip,150.0,etsy/08_holiday_designs
Adobe/Resource-Boy/Resource-Boy-Gradient-Backgrounds-Vol-02.zip,141.0,Adobe/Resource-Boy
etsy/08_holiday_designs/Valentines-Day-SVG-Bundle-Free-23557826.zip,131.1,etsy/08_holiday_designs
etsy/06_funny_quotes/Funny-Quotes-Stickers-Sublimation-Bundle-119977757.zip,129.3,etsy/06_funny_quotes
etsy/04_halloween_designs/Halloween-Raccoon-SVG-Bundle-106187547.zip,115.9,etsy/04_halloween_designs
etsy/04_halloween_designs/Halloween-Raccoon-SVG-Bundle-105988385.zip,78.7,etsy/04_halloween_designs
etsy/05_raccoon_designs/Funny-Raccoon-Sublimation-Bundle-97017742-2.zip,71.1,etsy/05_raccoon_designs
