file_to_remove,filename,reason,keep_file,similarity,duplicate_type,confidence,size_saved
/Users/steven/.claude-worktrees/pythons/busy-liskov/personal-ai-assistant.py,personal-ai-assistant.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/claude-chief.py,100%,Identical Content,High,31328
/Users/steven/.claude-worktrees/pythons/busy-liskov/personal-ai-assistant.py,personal-ai-assistant.py,"Similar functionality (imports: 12, functions: 0)",/Users/steven/.claude-worktrees/pythons/busy-liskov/claude-chief.py,85%,Functional Duplicate,Medium,31328
/Users/steven/.claude-worktrees/pythons/busy-liskov/smart.py,smart.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/smart-organization-planner.py,100%,Identical Content,High,18581
/Users/steven/.claude-worktrees/pythons/busy-liskov/smart-organization-planner.py,smart-organization-planner.py,"Similar functionality (imports: 4, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/smart.py,85%,Functional Duplicate,Medium,18581
/Users/steven/.claude-worktrees/pythons/busy-liskov/content-creation-pipeline.py,content-creation-pipeline.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/advanced-content-pipeline.py,100%,Identical Content,High,13632
/Users/steven/.claude-worktrees/pythons/busy-liskov/content-creation-pipeline.py,content-creation-pipeline.py,"Similar functionality (imports: 11, functions: 0)",/Users/steven/.claude-worktrees/pythons/busy-liskov/advanced-content-pipeline.py,85%,Functional Duplicate,Medium,13632
/Users/steven/.claude-worktrees/pythons/busy-liskov/smart-rename-suggester.py,smart-rename-suggester.py,"Similar functionality (imports: 4, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/smart.py,85%,Functional Duplicate,Medium,10572
/Users/steven/.claude-worktrees/pythons/busy-liskov/remove-duplicate-filenames.py,remove-duplicate-filenames.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/aggressive-filename-cleaner.py,100%,Identical Content,High,10452
/Users/steven/.claude-worktrees/pythons/busy-liskov/aggressive-filename-cleaner.py,aggressive-filename-cleaner.py,"Similar functionality (imports: 4, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/truly-intelligent-renamer.py,85%,Functional Duplicate,Medium,10452
/Users/steven/.claude-worktrees/pythons/busy-liskov/remove-duplicate-filenames.py,remove-duplicate-filenames.py,"Similar functionality (imports: 4, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/truly-intelligent-renamer.py,85%,Functional Duplicate,Medium,10452
