file_path,file_name,directory,depth,file_extension,file_size_bytes,file_size_mb,modified_date,created_date,is_image,has_gallery,gallery_files,image_width,image_height,aspect_ratio,image_mode,image_format,has_transparency,exif_available,camera_make,camera_model,date_taken,orientation,color_space,dominant_colors,brightness,contrast,is_duplicate,duplicate_group_id,duplicate_count,duplicate_keep
SpokYou.png,SpokYou.png,ROOT,0,.png,57595,0.05,2025-09-05T10:17:30.125422,2025-12-02T10:50:18.524869,True,False,,720,450,1.6,RGB,JPEG,False,False,,,,,,"rgb(32,32,32), rgb(32,32,0), rgb(0,0,0)",33.9,26.7,False,,0,
SantaOrnament.png,SantaOrnament.png,ROOT,0,.png,60694,0.06,2025-11-25T21:54:32.525965,2025-12-02T10:50:18.525888,True,False,,427,320,1.33,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(32,32,0), rgb(64,32,0)",28.8,25.8,False,,0,
RedKimonoArt.png,RedKimonoArt.png,ROOT,0,.png,70109,0.07,2025-09-05T10:26:16.946037,2025-12-02T10:50:18.528046,True,False,,720,450,1.6,RGB,JPEG,False,False,,,,,,"rgb(32,0,0), rgb(96,0,32), rgb(64,0,0)",29.7,21.4,False,,0,
QUICK_START_IMAGES.md,QUICK_START_IMAGES.md,ROOT,0,.md,4500,0.0,2025-11-03T12:11:42.226817,2025-12-02T10:50:19.063038,False,False,,,,,,,,,,,,,,,,,False,,0,
WARP.md,WARP.md,ROOT,0,.md,4748,0.0,2025-11-27T01:06:44.280372,2025-12-02T10:50:19.127577,False,False,,,,,,,,,,,,,,,,,False,,0,
CyberNinja.png,CyberNinja.png,ROOT,0,.png,5015393,4.78,2025-09-05T10:13:50.632965,2025-12-02T10:50:19.144292,True,False,,2250,1285,1.75,RGB,PNG,False,False,,,,,,"rgb(0,0,32), rgb(0,0,0), rgb(32,32,64)",29.7,23.9,False,,0,
NEXT_GALLERY_ANALYSIS.md,NEXT_GALLERY_ANALYSIS.md,ROOT,0,.md,3698,0.0,2025-11-25T23:07:51.752603,2025-12-02T10:50:19.147135,False,False,,,,,,,,,,,,,,,,,False,,0,
IMAGE_INTELLIGENCE_README.md,IMAGE_INTELLIGENCE_README.md,ROOT,0,.md,13591,0.01,2025-11-03T12:11:42.205532,2025-12-02T10:50:19.147225,False,False,,,,,,,,,,,,,,,,,False,,0,
ulguna.webp,ulguna.webp,ROOT,0,.webp,65208,0.06,2022-10-09T12:45:08,2025-12-02T10:50:19.147311,True,False,,1280,720,1.78,RGB,WEBP,False,False,,,,,,"rgb(0,0,0), rgb(32,0,0), rgb(0,0,32)",20.3,23.4,False,,0,
.DS_Store,.DS_Store,ROOT,0,(no ext),18436,0.02,2025-12-03T04:13:18.180646,2025-12-03T04:13:18.180646,False,False,,,,,,,,,,,,,,,,,False,,0,
YThumbs.zip,YThumbs.zip,ROOT,0,.zip,303809447,289.74,2025-10-09T06:01:23.383446,2025-12-02T10:50:19.147475,False,False,,,,,,,,,,,,,,,,,False,,0,
MoonlightHero.png,MoonlightHero.png,ROOT,0,.png,12360,0.01,2025-05-05T18:27:53,2025-12-02T10:50:19.147530,True,False,,181,320,0.57,RGB,JPEG,False,False,,,,,,"rgb(32,32,64), rgb(0,32,64), rgb(0,0,32)",36.0,21.7,True,1,2,False
FantasyHero.png,FantasyHero.png,ROOT,0,.png,12360,0.01,2025-05-05T18:27:53,2025-12-02T10:50:19.194364,True,False,,181,320,0.57,RGB,JPEG,False,False,,,,,,"rgb(32,32,64), rgb(0,32,64), rgb(0,0,32)",36.0,21.7,True,1,2,True
requirements.txt,requirements.txt,ROOT,0,.txt,427,0.0,2025-11-03T12:04:58.504241,2025-12-02T10:50:19.194462,False,False,,,,,,,,,,,,,,,,,False,,0,
CoH-ComicArt.zip,CoH-ComicArt.zip,ROOT,0,.zip,28461822,27.14,2024-03-28T19:39:43,2025-12-02T10:50:19.207961,False,False,,,,,,,,,,,,,,,,,False,,0,
Jupiter.jpg,Jupiter.jpg,ROOT,0,.jpg,100771,0.1,2024-10-07T09:24:57,2025-12-02T10:50:19.229498,True,False,,2880,1800,1.6,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(128,128,128), rgb(192,160,160)",3.6,14.7,False,,0,
.localized,.localized,ROOT,0,(no ext),0,0.0,2024-08-17T22:11:01.788081,2025-12-02T10:52:54.618757,False,False,,,,,,,,,,,,,,,,,False,,0,
resize-skip-8below.py,resize-skip-8below.py,ROOT,0,.py,4945,0.0,2025-12-03T03:56:48.298512,2025-12-03T03:56:48.298878,False,False,,,,,,,,,,,,,,,,,False,,0,
mushroom_desk.jpg,mushroom_desk.jpg,ROOT,0,.jpg,86273,0.08,2024-10-07T09:25:08,2025-12-02T10:50:20.526615,True,False,,2880,1800,1.6,RGB,JPEG,False,False,,,,,,"rgb(32,32,32), rgb(160,0,32), rgb(192,192,160)",22.1,2.5,False,,0,
CoolRaccoon.png,CoolRaccoon.png,ROOT,0,.png,703576,0.67,2025-09-03T01:23:08.000928,2025-12-02T10:50:20.526698,True,False,,1823,2700,0.68,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(32,0,0), rgb(32,32,32)",20.5,19.5,False,,0,
HeartWorker.png,HeartWorker.png,ROOT,0,.png,112004,0.11,2025-11-26T22:40:28.615462,2025-12-02T10:50:20.526784,True,False,,768,1232,0.62,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(224,128,128), rgb(224,224,224)",33.4,35.8,False,,0,
create a  vibrant and alive typography cover image.txt,create a  vibrant and alive typography cover image.txt,ROOT,0,.txt,1222,0.0,2025-01-07T11:20:06.933236,2025-12-02T10:50:20.526884,False,False,,,,,,,,,,,,,,,,,False,,0,
.aider.chat.history.md,.aider.chat.history.md,ROOT,0,.md,13983,0.01,2025-10-16T16:35:56.427132,2025-12-02T10:50:20.552842,False,False,,,,,,,,,,,,,,,,,False,,0,
image_data.txt,image_data.txt,ROOT,0,.txt,23,0.0,2025-08-10T23:29:13.256272,2025-12-02T10:50:20.553204,False,False,,,,,,,,,,,,,,,,,False,,0,
MushroomLand.png,MushroomLand.png,ROOT,0,.png,66467,0.06,2025-09-03T00:14:18.646357,2025-12-02T10:50:20.564324,True,False,,720,406,1.77,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(0,32,32), rgb(32,32,32)",24.5,17.4,False,,0,
optical.jpg,optical.jpg,ROOT,0,.jpg,136608,0.13,2024-10-07T09:25:36,2025-12-02T10:50:20.564411,True,False,,2880,1800,1.6,RGB,JPEG,False,False,,,,,,"rgb(224,224,224), rgb(0,0,0), rgb(32,32,32)",95.6,19.1,False,,0,
RichDadArt.png,RichDadArt.png,ROOT,0,.png,366208,0.35,2025-10-08T10:43:06.646693,2025-12-02T10:50:20.564495,True,False,,1024,1024,1.0,RGB,PNG,False,False,,,,,,"rgb(224,224,192), rgb(192,32,32), rgb(32,128,128)",76.1,23.0,True,2,2,True
FestiveHelm.png,FestiveHelm.png,ROOT,0,.png,585842,0.56,2025-09-03T00:47:42.308439,2025-12-02T10:50:20.564579,True,False,,2048,2048,1.0,RGB,JPEG,False,False,,,,,,"rgb(224,224,224), rgb(0,0,0), rgb(224,224,192)",55.0,34.2,True,3,2,False
grit-or-glam.jpeg,grit-or-glam.jpeg,ROOT,0,.jpeg,283871,0.27,2025-05-04T18:38:23.206016,2025-12-02T10:50:20.564666,True,False,,800,1200,0.67,RGB,JPEG,False,True,,,,1,1,"rgb(224,224,224), rgb(192,160,128), rgb(0,0,0)",59.3,33.1,False,,0,
steven chaplinski-xray.JPG,steven chaplinski-xray.JPG,ROOT,0,.jpg,1197822,1.14,2022-10-09T12:45:08,2025-12-02T10:50:21.294684,True,False,,3072,1536,2.0,L,JPEG,False,False,,,,,,"rgb(160,160,160), rgb(192,192,192), rgb(128,128,128)",60.1,25.1,False,,0,
heart.jpg,heart.jpg,ROOT,0,.jpg,124930,0.12,2024-10-07T09:25:58,2025-12-02T10:50:21.294769,True,False,,2880,1800,1.6,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(0,32,0), rgb(32,160,96)",12.1,3.3,False,,0,
CyborgWarrior.png,CyborgWarrior.png,ROOT,0,.png,531447,0.51,2025-09-03T01:23:49.597295,2025-12-02T10:50:21.334883,True,False,,1527,2700,0.57,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(32,32,32), rgb(0,32,32)",16.9,16.2,False,,0,
.aider.input.history,.aider.input.history,ROOT,0,.history,470,0.0,2025-10-16T16:35:42.761192,2025-12-02T10:50:21.334988,False,False,,,,,,,,,,,,,,,,,False,,0,
deepdive_analysis.py,deepdive_analysis.py,ROOT,0,.py,29039,0.03,2025-11-27T01:30:27.902450,2025-12-02T10:50:21.373434,False,False,,,,,,,,,,,,,,,,,False,,0,
BewareDog.png,BewareDog.png,ROOT,0,.png,82020,0.08,2025-10-15T08:00:45.878255,2025-12-02T10:50:21.373525,True,False,,896,1120,0.8,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(224,64,64), rgb(224,224,224)",18.5,26.7,False,,0,
ColorfulHouse.png,ColorfulHouse.png,ROOT,0,.png,767224,0.73,2025-09-03T01:05:26.926275,2025-12-02T10:50:22.060483,True,False,,1527,2700,0.57,RGB,JPEG,False,False,,,,,,"rgb(224,224,224), rgb(192,192,160), rgb(192,160,128)",66.7,20.9,False,,0,
Misfortune.png,Misfortune.png,ROOT,0,.png,73791,0.07,2025-11-25T22:59:17.846035,2025-12-02T10:50:22.063986,True,False,,720,407,1.77,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(32,32,32), rgb(32,0,0)",30.1,30.5,True,4,2,True
vaults.webp,vaults.webp,ROOT,0,.webp,58568,0.06,2022-10-09T12:45:08,2025-12-02T10:50:22.064075,True,False,,1280,720,1.78,RGB,WEBP,False,False,,,,,,"rgb(160,0,160), rgb(0,0,0), rgb(32,0,0)",27.5,26.0,False,,0,
SteampunkFrog.png,SteampunkFrog.png,ROOT,0,.png,776727,0.74,2025-09-03T01:11:17.461860,2025-12-02T10:50:22.423151,True,False,,2176,2176,1.0,RGB,JPEG,False,False,,,,,,"rgb(96,64,32), rgb(32,32,0), rgb(32,0,0)",43.3,23.3,False,,0,
HoeingEasy.png,HoeingEasy.png,ROOT,0,.png,1480417,1.41,2025-10-15T07:13:25.485945,2025-12-02T10:50:22.423240,True,False,,4500,4500,1.0,RGB,JPEG,False,False,,,,,,"rgb(224,224,224), rgb(0,0,0), rgb(32,32,32)",78.2,35.7,False,,0,
ForestQueen.png,ForestQueen.png,ROOT,0,.png,13631,0.01,2025-05-05T18:24:27,2025-12-02T10:50:22.423327,True,False,,181,320,0.57,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(32,32,32), rgb(32,64,64)",33.3,20.6,False,,0,
NEW.jpg,NEW.jpg,ROOT,0,.jpg,72711,0.07,2024-10-07T09:26:26,2025-12-02T10:50:22.455412,True,False,,2560,1600,1.6,RGB,JPEG,False,False,,,,,,"rgb(224,224,192), rgb(96,128,64), rgb(224,160,96)",87.9,5.0,False,,0,
CoH-ComicArt2.zip,CoH-ComicArt2.zip,ROOT,0,.zip,9671475,9.22,2024-02-19T18:07:55,2025-12-02T10:50:22.455510,False,False,,,,,,,,,,,,,,,,,False,,0,
tree_baks.jpg,tree_baks.jpg,ROOT,0,.jpg,427682,0.41,2022-10-09T12:45:08,2025-12-02T10:50:22.462070,True,False,,1215,1500,0.81,RGB,JPEG,False,False,,,,,,"rgb(0,0,64), rgb(0,0,96), rgb(0,32,128)",46.8,30.1,False,,0,
Anti-Love-Struck-6-16-2024.png,Anti-Love-Struck-6-16-2024.png,ROOT,0,.png,138327,0.13,2024-06-16T21:46:53,2025-12-02T10:50:22.462171,True,False,,1024,217,4.72,RGBA,PNG,False,False,,,,,,"rgb(32,0,32), rgb(224,224,224), rgb(0,0,0)",32.0,39.2,False,,0,
kitt_1.jpg,kitt_1.jpg,ROOT,0,.jpg,93207,0.09,2024-10-07T09:26:36,2025-12-02T10:50:22.462262,True,False,,2560,1600,1.6,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(224,0,0), rgb(32,0,0)",0.8,4.8,False,,0,
GriPPiNg.jpg,GriPPiNg.jpg,ROOT,0,.jpg,102337,0.1,2024-10-07T09:26:52,2025-12-02T10:50:22.462350,True,False,,2880,1800,1.6,RGB,JPEG,False,False,,,,,,"rgb(32,32,0), rgb(96,128,0), rgb(96,128,32)",20.3,10.3,False,,0,
MisfortuneArt.png,MisfortuneArt.png,ROOT,0,.png,73791,0.07,2025-11-25T22:59:17.846035,2025-12-02T10:50:22.462441,True,False,,720,407,1.77,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(32,32,32), rgb(32,0,0)",30.1,30.5,True,4,2,False
RichDadClub.png,RichDadClub.png,ROOT,0,.png,366208,0.35,2025-10-08T10:43:06.646693,2025-12-02T10:50:22.462522,True,False,,1024,1024,1.0,RGB,PNG,False,False,,,,,,"rgb(224,224,192), rgb(192,32,32), rgb(32,128,128)",76.1,23.0,True,2,2,False
SantaHelm.png,SantaHelm.png,ROOT,0,.png,585842,0.56,2025-09-03T00:47:42.308439,2025-12-02T10:50:22.463881,True,False,,2048,2048,1.0,RGB,JPEG,False,False,,,,,,"rgb(224,224,224), rgb(0,0,0), rgb(224,224,192)",55.0,34.2,True,3,2,True
