file_path,file_name,directory,depth,file_extension,file_size_bytes,file_size_mb,modified_date,created_date,is_image,has_gallery,gallery_files,image_width,image_height,aspect_ratio,image_mode,image_format,has_transparency,exif_available,camera_make,camera_model,date_taken,orientation,color_space,dominant_colors,brightness,contrast,sharpness_score,colorfulness,saturation,entropy,composition_type,is_portrait,is_landscape,is_square,color_count,visual_complexity,quality_score,is_duplicate,duplicate_group_id,duplicate_count,duplicate_keep
YouTube_Banner_Size-Banner_Areas-278602543.jpg,YouTube_Banner_Size-Banner_Areas-278602543.jpg,ROOT,0,.jpg,93479,0.09,2025-12-26T03:01:43.787986,2025-12-26T03:01:56.870013,True,False,,2560,1440,1.78,RGB,JPEG,False,False,,,,,,"rgb(128,64,192), rgb(96,32,192), rgb(96,32,160), rgb(160,128,192), rgb(224,224,224)",41.2,12.4,0.3,37.5,65.6,31.2,wide_panorama,False,True,,49,31.2,70,False,,0,
deepdive_analysis_20251203_043928.csv,deepdive_analysis_20251203_043928.csv,ROOT,0,.csv,10530,0.01,2025-12-03T04:39:28.348000,2025-12-25T23:22:41.832708,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
SpokYou.png,SpokYou.png,ROOT,0,.png,57595,0.05,2025-09-05T10:17:30.125422,2025-12-25T23:22:41.832770,True,False,,720,450,1.6,RGB,JPEG,False,False,,,,,,"rgb(32,32,32), rgb(32,32,0), rgb(0,0,0), rgb(224,192,160), rgb(192,160,128)",33.9,26.7,0.0,5.8,23.4,85.9,wide_panorama,False,True,,52,85.9,50,False,,0,
SantaOrnament.png,SantaOrnament.png,ROOT,0,.png,60694,0.06,2025-11-25T21:54:32.525965,2025-12-25T23:22:41.834279,True,False,,427,320,1.33,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(32,32,0), rgb(64,32,0), rgb(32,0,0), rgb(192,192,192)",28.8,25.8,2.4,10.6,59.1,92.6,landscape,False,True,,150,92.6,50,False,,0,
RedKimonoArt.png,RedKimonoArt.png,ROOT,0,.png,70109,0.07,2025-09-05T10:26:16.946037,2025-12-25T23:22:41.836473,True,False,,720,450,1.6,RGB,JPEG,False,False,,,,,,"rgb(32,0,0), rgb(96,0,32), rgb(64,0,0), rgb(0,0,0), rgb(32,0,32)",29.7,21.4,0.7,21.3,61.5,93.1,wide_panorama,False,True,,107,93.1,60,False,,0,
QUICK_START_IMAGES.md,QUICK_START_IMAGES.md,ROOT,0,.md,4500,0.0,2025-11-03T12:11:42.226817,2025-12-25T23:22:42.282875,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
WARP.md,WARP.md,ROOT,0,.md,4748,0.0,2025-11-27T01:06:44.280372,2025-12-25T23:22:42.372958,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
CyberNinja.png,CyberNinja.png,ROOT,0,.png,5015393,4.78,2025-09-05T10:13:50.632965,2025-12-25T23:22:42.386337,True,False,,2250,1285,1.75,RGB,PNG,False,False,,,,,,"rgb(0,0,32), rgb(0,0,0), rgb(32,32,64), rgb(0,32,32), rgb(0,32,64)",29.7,23.9,0.6,12.1,51.4,94.7,wide_panorama,False,True,,190,94.7,65,False,,0,
NEXT_GALLERY_ANALYSIS.md,NEXT_GALLERY_ANALYSIS.md,ROOT,0,.md,3698,0.0,2025-11-25T23:07:51.752603,2025-12-25T23:22:42.390179,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
IMAGE_INTELLIGENCE_README.md,IMAGE_INTELLIGENCE_README.md,ROOT,0,.md,13591,0.01,2025-11-03T12:11:42.205532,2025-12-25T23:22:42.390282,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
ulguna.webp,ulguna.webp,ROOT,0,.webp,65208,0.06,2022-10-09T12:45:08,2025-12-25T23:22:42.390446,True,False,,1280,720,1.78,RGB,WEBP,False,False,,,,,,"rgb(0,0,0), rgb(32,0,0), rgb(0,0,32), rgb(32,32,32), rgb(224,224,224)",20.3,23.4,0.1,11.4,53.4,86.1,wide_panorama,False,True,,258,86.1,55,False,,0,
.DS_Store,.DS_Store,ROOT,0,(no ext),26628,0.03,2026-01-04T17:07:38.867235,2026-01-04T17:07:38.867235,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
YThumbs.zip,YThumbs.zip,ROOT,0,.zip,303809447,289.74,2025-10-09T06:01:23.383446,2025-12-25T23:22:42.390665,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
MoonlightHero.png,MoonlightHero.png,ROOT,0,.png,12360,0.01,2025-05-05T18:27:53,2025-12-25T23:22:42.390736,True,False,,181,320,0.57,RGB,JPEG,False,False,,,,,,"rgb(32,32,64), rgb(0,32,64), rgb(0,0,32), rgb(0,32,32), rgb(64,96,160)",36.0,21.7,3.4,14.5,46.2,95.5,tall_portrait,True,False,,199,95.5,50,False,,0,
FantasyHero.png,FantasyHero.png,ROOT,0,.png,12360,0.01,2025-05-05T18:27:53,2025-12-25T23:22:42.437942,True,False,,181,320,0.57,RGB,JPEG,False,False,,,,,,"rgb(32,32,64), rgb(0,32,64), rgb(0,0,32), rgb(0,32,32), rgb(64,96,160)",36.0,21.7,3.4,14.5,46.2,95.5,tall_portrait,True,False,,199,95.5,50,False,,0,
requirements.txt,requirements.txt,ROOT,0,.txt,427,0.0,2025-11-03T12:04:58.504241,2025-12-25T23:22:42.437982,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
CoH-ComicArt.zip,CoH-ComicArt.zip,ROOT,0,.zip,28461822,27.14,2024-03-28T19:39:43,2025-12-25T23:22:42.446446,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,
Jupiter.jpg,Jupiter.jpg,ROOT,0,.jpg,100771,0.1,2024-10-07T09:24:57,2025-12-25T23:22:42.446486,True,False,,2880,1800,1.6,RGB,JPEG,False,False,,,,,,"rgb(0,0,0), rgb(128,128,128), rgb(192,160,160), rgb(192,192,160), rgb(160,32,32)",3.6,14.7,0.0,1.0,2.1,6.7,wide_panorama,False,True,,35,6.7,60,False,,0,
