Path,Type,Size,Modified,Category
/Users/steven/ai-sites,directory,160.00B,2026-01-12 16:20:24,directory
/Users/steven/.harbor,directory,14.09K,2026-01-12 16:04:18,directory
/Users/steven/.claude-worktrees,directory,96.00B,2026-01-12 16:04:18,directory
/Users/steven/.config,directory,1.03K,2026-01-12 16:04:18,directory
/Users/steven/Music,directory,832.00B,2026-01-12 16:04:19,directory
/Users/steven/.claude-code-router,directory,160.00B,2026-01-12 16:04:19,directory
/Users/steven/.qwen,directory,352.00B,2026-01-12 16:04:19,directory
/Users/steven/.cursor,directory,448.00B,2026-01-12 16:15:40,directory
/Users/steven/maigret,directory,1.12K,2026-01-12 16:04:20,directory
/Users/steven/.gemini,directory,352.00B,2026-01-12 16:04:20,directory
/Users/steven/.claude-server-commander,directory,192.00B,2025-11-06 14:17:46,directory
/Users/steven/.grok,directory,224.00B,2025-12-01 04:21:02,directory
/Users/steven/.apify,directory,160.00B,2025-04-04 21:46:58,directory
/Users/steven/.boltai,directory,96.00B,2025-12-25 23:00:42,directory
/Users/steven/.gnupg,directory,224.00B,2026-01-12 16:04:20,directory
/Users/steven/.pdf-filler-profiles,directory,64.00B,2025-12-29 08:21:48,directory
/Users/steven/analysis,directory,352.00B,2026-01-01 13:47:24,directory
/Users/steven/.pixi,directory,128.00B,2026-01-12 16:04:20,directory
/Users/steven/pythons-merged-backup,directory,960.00B,2026-01-12 16:04:20,directory
/Users/steven/zsh-autocomplete,directory,416.00B,2026-01-12 16:04:20,directory
/Users/steven/.ServiceHub,directory,96.00B,2025-04-04 15:38:58,directory
/Users/steven/.u2net,directory,96.00B,2024-08-22 10:23:44,directory
/Users/steven/.postman,directory,128.00B,2024-09-12 05:53:19,directory
/Users/steven/.streamlit,directory,128.00B,2025-06-07 04:28:37,directory
/Users/steven/.local,directory,288.00B,2026-01-12 16:04:20,directory
/Users/steven/Pictures,directory,4.38K,2026-01-12 16:04:20,directory
/Users/steven/.bun,directory,160.00B,2026-01-12 16:04:22,directory
/Users/steven/zsh-completions,directory,384.00B,2026-01-12 16:04:22,directory
/Users/steven/.fontconfig,directory,224.00B,2025-12-27 22:47:30,directory
/Users/steven/.env.d,directory,2.22K,2026-01-12 16:04:22,directory
/Users/steven/.cfg,directory,384.00B,2026-01-12 16:04:22,directory
/Users/steven/.nvm,directory,1.00K,2026-01-12 16:04:22,directory
/Users/steven/.bundle,directory,96.00B,2025-10-16 19:22:29,directory
/Users/steven/.zshrc_archive,directory,128.00B,2025-11-26 22:22:56,directory
/Users/steven/.secrets,directory,160.00B,2025-10-24 04:36:43,directory
/Users/steven/.quicklook_plugins_backup,directory,96.00B,2025-12-01 03:46:42,directory
/Users/steven/.nuget,directory,96.00B,2025-04-04 15:38:45,directory
/Users/steven/RightFont,directory,96.00B,2026-01-12 16:04:28,directory
/Users/steven/.claude,directory,768.00B,2026-01-12 16:21:00,directory
/Users/steven/.ipython,directory,96.00B,2025-12-01 04:21:13,directory
/Users/steven/Desktop,directory,96.00B,2026-01-01 08:59:36,directory
/Users/steven/Library,directory,3.72K,2026-01-12 16:04:34,directory
/Users/steven/.matplotlib,directory,128.00B,2025-08-09 22:35:19,directory
/Users/steven/pydocs,directory,416.00B,2026-01-12 16:04:42,directory
/Users/steven/__pycache__,directory,192.00B,2026-01-04 13:39:09,directory
/Users/steven/claude-Convos,directory,416.00B,2026-01-12 16:19:23,directory
/Users/steven/.oracle_jre_usage,directory,96.00B,2025-11-28 08:15:57,directory
/Users/steven/.history,directory,544.00B,2026-01-12 16:04:42,directory
/Users/steven/Zotero,directory,192.00B,2026-01-12 16:04:42,directory
/Users/steven/.dotfiles,directory,96.00B,2025-09-06 13:03:00,directory
/Users/steven/.spotdl,directory,128.00B,2025-10-24 06:22:06,directory
/Users/steven/.lpass,directory,64.00B,2026-01-03 17:42:34,directory
/Users/steven/.raycast,directory,96.00B,2025-12-01 04:21:28,directory
/Users/steven/.cups,directory,96.00B,2024-08-17 22:19:25,directory
