Path,Type,Size,Modified,Category
/Users/steven/ai-sites,directory,160.00B,2026-01-12 16:20:24,git-project
/Users/steven/cleanup_empty_folders.py,file,5.11K,2026-01-04 14:48:34,python-script
/Users/steven/.harbor,directory,14.09K,2026-01-12 16:04:18,directory
/Users/steven/.claude.json.backup,file,93.86K,2026-01-12 16:21:00,file
/Users/steven/.claude-worktrees,directory,96.00B,2026-01-12 16:04:18,directory
/Users/steven/.config,directory,1.03K,2026-01-12 16:04:18,directory
/Users/steven/Music,directory,832.00B,2026-01-12 16:04:19,media-content
/Users/steven/pnpm-lock.yaml,file,1.72K,2025-11-29 07:22:39,file
/Users/steven/DEEPINDEX_IMPROVEMENTS.md,file,33.18K,2026-01-12 15:38:00,documentation
/Users/steven/.claude-code-router,directory,160.00B,2026-01-12 16:04:19,directory
/Users/steven/.qwen,directory,352.00B,2026-01-12 16:04:19,directory
/Users/steven/zip-csv.txt,file,34.59K,2025-12-28 03:50:50,documentation
/Users/steven/.cursor,directory,448.00B,2026-01-12 16:15:40,directory
/Users/steven/maigret,directory,1.12K,2026-01-12 16:04:20,directory
/Users/steven/json_to_csv.py,file,1.90K,2026-01-04 14:17:38,python-script
/Users/steven/analyze_merge_candidates.py,file,9.42K,2026-01-04 14:28:50,python-script
/Users/steven/default.code-profile,file,163.27K,2026-01-12 16:17:33,file
/Users/steven/update-log-20260104-133544.log,file,3.53K,2026-01-04 13:37:52,file
/Users/steven/70_directories_analysis.json,file,17.81K,2026-01-04 14:34:13,file
/Users/steven/.gemini,directory,352.00B,2026-01-12 16:04:20,directory
/Users/steven/avatararts_index.md,file,817.25K,2026-01-12 14:56:10,documentation
/Users/steven/.claude-server-commander,directory,192.00B,2025-11-06 14:17:46,directory
/Users/steven/.grok,directory,224.00B,2025-12-01 04:21:02,directory
/Users/steven/.zshrce,file,2.87K,2025-11-26 10:59:18,file
/Users/steven/move_misplaced_items.py,file,10.37K,2026-01-04 14:44:38,python-script
