original_path,new_path,filename,method,size_mb
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.lh/environment.yml.json,ai-sites/heavenlyHands/cleanconnect-pro/.lh/environment.yml.json,environment.yml.json,name_size,0.001796722412109375
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.lh/package.json.json,ai-sites/heavenlyHands/cleanconnect-pro/.lh/package.json.json,package.json.json,name_size,0.004063606262207031
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/config,ai-sites/heavenlyHands/cleanconnect-pro/.git/config,config,name_size,0.000293731689453125
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/index,ai-sites/heavenlyHands/cleanconnect-pro/.git/index,index,name_size,0.0069179534912109375
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/COMMIT_EDITMSG,ai-sites/heavenlyHands/cleanconnect-pro/.git/COMMIT_EDITMSG,commit_editmsg,name_size,0.0001049041748046875
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.lh/backend/package.json.json,ai-sites/heavenlyHands/cleanconnect-pro/.lh/backend/package.json.json,package.json.json,name_size,0.0029859542846679688
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/logs/HEAD,ai-sites/heavenlyHands/cleanconnect-pro/.git/logs/HEAD,head,name_size,0.000606536865234375
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/66/10cd134f106ab4c904b2d4d4cc1a53b3e55695,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/66/10cd134f106ab4c904b2d4d4cc1a53b3e55695,10cd134f106ab4c904b2d4d4cc1a53b3e55695,name_size,0.00135040283203125
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/32/d3b89b5219371de3ab1d846e5ea5d235751d4c,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/32/d3b89b5219371de3ab1d846e5ea5d235751d4c,d3b89b5219371de3ab1d846e5ea5d235751d4c,name_size,0.003787994384765625
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/69/7a0e9071739cfe25cfda7cd69a938b832217b5,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/69/7a0e9071739cfe25cfda7cd69a938b832217b5,7a0e9071739cfe25cfda7cd69a938b832217b5,name_size,5.435943603515625e-05
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/56/15550d6f0bb19e43defd0706007e003f48c60a,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/56/15550d6f0bb19e43defd0706007e003f48c60a,15550d6f0bb19e43defd0706007e003f48c60a,name_size,0.001087188720703125
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/3d/2e2f4b12bf46938fd07814f08c7788759c22fb,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/3d/2e2f4b12bf46938fd07814f08c7788759c22fb,2e2f4b12bf46938fd07814f08c7788759c22fb,name_size,0.005406379699707031
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/67/0396f605c02155bc6d6f38753c8fce650d8d20,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/67/0396f605c02155bc6d6f38753c8fce650d8d20,0396f605c02155bc6d6f38753c8fce650d8d20,name_size,0.0008296966552734375
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/0e/92ae98811935dc24f5308c98029c0e567bbcae,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/0e/92ae98811935dc24f5308c98029c0e567bbcae,92ae98811935dc24f5308c98029c0e567bbcae,name_size,0.0036144256591796875
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/a3/a2553f99395fc6d9ab469655388236a63e9166,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/a3/a2553f99395fc6d9ab469655388236a63e9166,a2553f99395fc6d9ab469655388236a63e9166,name_size,0.0062084197998046875
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/b5/53061d0d1b1085acc8bb095dceb7edc8437d4b,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/b5/53061d0d1b1085acc8bb095dceb7edc8437d4b,53061d0d1b1085acc8bb095dceb7edc8437d4b,name_size,6.008148193359375e-05
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/d7/55920c27eb5c764d218256170f49d8869167a3,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/d7/55920c27eb5c764d218256170f49d8869167a3,55920c27eb5c764d218256170f49d8869167a3,name_size,0.0031642913818359375
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/d7/788719340087057ccdaf8a4da62e8d073f97be,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/d7/788719340087057ccdaf8a4da62e8d073f97be,788719340087057ccdaf8a4da62e8d073f97be,name_size,0.0048542022705078125
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/d0/342d5234b8f140f51f0a69b84e12a494ebdbcb,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/d0/342d5234b8f140f51f0a69b84e12a494ebdbcb,342d5234b8f140f51f0a69b84e12a494ebdbcb,name_size,0.0036191940307617188
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/df/6e118b2cced1b8a717aa567a3a0ee697a85a3a,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/df/6e118b2cced1b8a717aa567a3a0ee697a85a3a,6e118b2cced1b8a717aa567a3a0ee697a85a3a,name_size,0.003383636474609375
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/bd/020c714af4d93061eab642233be44b9de66046,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/bd/020c714af4d93061eab642233be44b9de66046,020c714af4d93061eab642233be44b9de66046,name_size,0.004456520080566406
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/cleanconnect-pro/.git/objects/d1/dd8d35792ed462368b8d3da91aa2c7eeb772f4,ai-sites/heavenlyHands/cleanconnect-pro/.git/objects/d1/dd8d35792ed462368b8d3da91aa2c7eeb772f4,dd8d35792ed462368b8d3da91aa2c7eeb772f4,name_size,0.0024471282958984375
