path,category,size_mb,reason
ADVANCED_DUPLICATES_MAPPING_20260101_140422.csv,large_csv_files,0.00,Old MAPPING file (keeping 3 most recent)
COMPLETE_DUPLICATES_MAPPING.csv,large_csv_files,51.83,Old MAPPING file (keeping 3 most recent)
COMPLETE_DUPLICATES_MAPPING.csv,large_csv_files,51.83,Old MAPPING file (keeping 3 most recent)
CONSOLIDATION_MAPPING_20260101_135942.csv,large_csv_files,51.33,Old MAPPING file (keeping 3 most recent)
CONSOLIDATION_MAPPING_20260101_135942.csv,large_csv_files,51.33,Old MAPPING file (keeping 3 most recent)
FOLDER_FLATTENING_MAPPING_20260101_135916.csv,large_csv_files,0.01,Old MAPPING file (keeping 3 most recent)
CONSOLIDATION_MAPPING_20260101_135104.csv,large_csv_files,85.11,Old MAPPING file (keeping 3 most recent)
CONSOLIDATION_MAPPING_20260101_135104.csv,large_csv_files,85.11,Old MAPPING file (keeping 3 most recent)
MULTIFOLDER_DEEPDIVE_20260101_134316_DUPLICATES.csv,large_csv_files,61.49,Old DUPLICATES file (keeping 3 most recent)
MULTIFOLDER_DEEPDIVE_20260101_134316_CONSOLIDATION.csv,large_csv_files,0.02,Old CONSOLIDATION file (keeping 3 most recent)
MULTIFOLDER_DEEPDIVE_20260101_134316_INVENTORY.csv,large_csv_files,0.17,Old DEEPDIVE file (keeping 3 most recent)
execute_consolidation_simple.py,duplicate_scripts,0.00,Redundant script (superseded by newer version)
generate_consolidation_mapping.py,duplicate_scripts,0.02,Redundant script (superseded by newer version)
consolidate_scattered_files.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
phase1_consolidation.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
execute_consolidation.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
final_duplicate_removal_report.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
run_deep_duplicate_analysis.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
advanced_content_aware_duplicate_finder.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
enhanced_duplicate_finder.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
find_all_duplicates_aggressive.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
verify_duplicates.py,duplicate_scripts,0.00,Redundant script (superseded by newer version)
find_duplicates.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
generate_duplicates_csv.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
find_duplicates_by_name_size.py,duplicate_scripts,0.00,Redundant script (superseded by newer version)
generate_folder_flattening_mapping.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
generate_consolidation_mapping.py,duplicate_scripts,0.02,Redundant script (superseded by newer version)
generate_folder_flattening_mapping.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
flatten_nested_folders.py,duplicate_scripts,0.01,Redundant script (superseded by newer version)
update-log-20251129-040523.log,temporary_files,0.01,Temporary file (*.log)
pictures_report_20251106_062120.log,temporary_files,0.00,Temporary file (*.log)
duplicates.log,temporary_files,1.21,Temporary file (*.log)
update-log-20251128-221445.log,temporary_files,0.02,Temporary file (*.log)
pythons_duplicates.log,temporary_files,2.76,Temporary file (*.log)
home_selective_duplicates.log,temporary_files,2.66,Temporary file (*.log)
volume_analysis_2T-Xx.log,temporary_files,0.00,Temporary file (*.log)
update-log-20251203-234548.log,temporary_files,0.00,Temporary file (*.log)
transcription_analysis_errors.log,temporary_files,0.77,Temporary file (*.log)
user_dirs_duplicates.log,temporary_files,2.78,Temporary file (*.log)
csv_generation_phase1.log,temporary_files,0.02,Temporary file (*.log)
update-log-20251202-213413.log,temporary_files,0.01,Temporary file (*.log)
update-log-20251202-014107.log,temporary_files,0.00,Temporary file (*.log)
home_analysis_20251106_061220.log,temporary_files,0.01,Temporary file (*.log)
csv_generation_phase2.log,temporary_files,0.02,Temporary file (*.log)
update-log-20251201-033648.log,temporary_files,0.00,Temporary file (*.log)
