original_path,new_path,filename,size_mb,waste_mb
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-italic.ttf,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-italic.ttf,lato-italic.ttf,0.61,0.61
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-bolditalic.ttf,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-bolditalic.ttf,lato-bolditalic.ttf,0.59,0.59
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/css/fonts/lato-bold.woff,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-bold.woff,lato-bold.woff,0.30,0.59
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-bold.woff,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-bold.woff,lato-bold.woff,0.30,0.59
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-regular.ttf,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-regular.ttf,lato-regular.ttf,0.58,0.58
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-bold.ttf,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-bold.ttf,lato-bold.ttf,0.57,0.57
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/css/fonts/fontawesome-webfont.svg,SEO Content Optimization Suite/_build/html/_static/css/fonts/fontawesome-webfont.svg,fontawesome-webfont.svg,0.42,0.42
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/css/fonts/lato-bold.woff2,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-bold.woff2,lato-bold.woff2,0.18,0.35
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-bold.woff2,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-bold.woff2,lato-bold.woff2,0.18,0.35
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-italic.woff,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-italic.woff,lato-italic.woff,0.31,0.31
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-bolditalic.woff,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-bolditalic.woff,lato-bolditalic.woff,0.31,0.31
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-regular.woff,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-regular.woff,lato-regular.woff,0.29,0.29
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/Lato/lato-italic.eot,SEO Content Optimization Suite/_build/html/_static/fonts/Lato/lato-italic.eot,lato-italic.eot,0.26,0.26
