Type,Path/Details,Recommendation
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_05_typography_with_ai,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_05_typography_with_ai (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_02_ai-powered_logo_design,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_02_ai-powered_logo_design (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_06_portfolio_enhancement,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_06_portfolio_enhancement (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_01_ai_design_tools_overview,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_01_ai_design_tools_overview (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_03_automated_layout_generation,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_03_automated_layout_generation (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_04_color_palette_ai_tools,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/creative_ai_tools_for_designers/module_04_color_palette_ai_tools (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_04_video_content_with_ai,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_04_video_content_with_ai (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_01_introduction_to_ai_content_creation,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_01_introduction_to_ai_content_creation (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_03_ai_image_generation_techniques,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_03_ai_image_generation_techniques (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_05_content_strategy_&_planning,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_05_content_strategy_&_planning (depth 39, only 0 files)"
