Filename,Location Path,Directory,Size (MB),Depth,Scatter Score,Recommended Location
index.html,organized_intelligent/Uncategorized/index.html,organized_intelligent/Uncategorized,0.00,2,15376,quantumforge-complete
index.html,html-assets/assets/sites-navigator/index.html,html-assets/assets/sites-navigator,0.82,3,15376,quantumforge-complete
index.html,archive/LIVE-DEPLOYMENT/index.html,archive/LIVE-DEPLOYMENT,0.02,2,15376,quantumforge-complete
index.html,marketplace/products/hookmark-pro/src/pages/Popup/index.html,marketplace/products/hookmark-pro/src/pages/Popup,0.00,6,15376,quantumforge-complete
index.html,marketplace/products/hookmark-pro/src/pages/Newtab/index.html,marketplace/products/hookmark-pro/src/pages/Newtab,0.00,6,15376,quantumforge-complete
index.html,HeavenlyHandfs/index.html,HeavenlyHandfs,0.02,1,15376,quantumforge-complete
index.html,avatararts/avatararts-site/index.html,avatararts/avatararts-site,0.00,2,15376,quantumforge-complete
index.html,avatararts/index.html,avatararts,0.01,1,15376,quantumforge-complete
index.html,josephrosadomd/5-tips-for-keeping-your-feet-healthy/index.html,josephrosadomd/5-tips-for-keeping-your-feet-healthy,0.45,2,15376,quantumforge-complete
index.html,josephrosadomd/essential-self-care-resources-for-african-american-women/index.html,josephrosadomd/essential-self-care-resources-for-african-american-women,0.42,2,15376,quantumforge-complete
index.html,josephrosadomd/medical-marijuana-certification-online/index.html,josephrosadomd/medical-marijuana-certification-online,0.42,2,15376,quantumforge-complete
index.html,josephrosadomd/conditions-ketamine-treat/index.html,josephrosadomd/conditions-ketamine-treat,0.43,2,15376,quantumforge-complete
index.html,josephrosadomd/foods-that-can-keep-your-heart-healthy/index.html,josephrosadomd/foods-that-can-keep-your-heart-healthy,0.44,2,15376,quantumforge-complete
index.html,josephrosadomd/meet-dr-joseph-rosado/index.html,josephrosadomd/meet-dr-joseph-rosado,0.51,2,15376,quantumforge-complete
index.html,josephrosadomd/how-does-prolotherapy-work/index.html,josephrosadomd/how-does-prolotherapy-work,0.44,2,15376,quantumforge-complete
index.html,josephrosadomd/hrt-and-depression/index.html,josephrosadomd/hrt-and-depression,0.43,2,15376,quantumforge-complete
index.html,josephrosadomd/potential-side-effects-of-ketamine/index.html,josephrosadomd/potential-side-effects-of-ketamine,0.44,2,15376,quantumforge-complete
index.html,josephrosadomd/medical-cannabis-uses-benefits/index.html,josephrosadomd/medical-cannabis-uses-benefits,0.45,2,15376,quantumforge-complete
index.html,josephrosadomd/prp-for-pain/index.html,josephrosadomd/prp-for-pain,0.42,2,15376,quantumforge-complete
index.html,josephrosadomd/psilocybin-therapy-newmexico/index.html,josephrosadomd/psilocybin-therapy-newmexico,0.43,2,15376,quantumforge-complete
index.html,josephrosadomd/florida-medical-marijuana-delivery-methods/index.html,josephrosadomd/florida-medical-marijuana-delivery-methods,0.44,2,15376,quantumforge-complete
index.html,josephrosadomd/seasonal-health-tips-to-stay-healthy/index.html,josephrosadomd/seasonal-health-tips-to-stay-healthy,0.47,2,15376,quantumforge-complete
index.html,josephrosadomd/resources-for-mental-illness/index.html,josephrosadomd/resources-for-mental-illness,0.41,2,15376,quantumforge-complete
index.html,josephrosadomd/books-by-dr-rosado/index.html,josephrosadomd/books-by-dr-rosado,0.46,2,15376,quantumforge-complete
index.html,josephrosadomd/index.html,josephrosadomd,0.71,1,15376,quantumforge-complete
index.html,josephrosadomd/depression-at-work/index.html,josephrosadomd/depression-at-work,0.42,2,15376,quantumforge-complete
index.html,josephrosadomd/testimonials/index.html,josephrosadomd/testimonials,0.37,2,15376,quantumforge-complete
index.html,josephrosadomd/does-platelet-rich-plasma-work-for-neuropathy/index.html,josephrosadomd/does-platelet-rich-plasma-work-for-neuropathy,0.41,2,15376,quantumforge-complete
index.html,josephrosadomd/what-is-the-difference-between-cbd-and-thc/index.html,josephrosadomd/what-is-the-difference-between-cbd-and-thc,0.48,2,15376,quantumforge-complete
index.html,josephrosadomd/category/support-resources/index.html,josephrosadomd/category/support-resources,0.38,3,15376,quantumforge-complete
index.html,josephrosadomd/category/health-tips/page/2/index.html,josephrosadomd/category/health-tips/page/2,0.38,5,15376,quantumforge-complete
index.html,josephrosadomd/category/health-tips/index.html,josephrosadomd/category/health-tips,0.39,3,15376,quantumforge-complete
index.html,josephrosadomd/category/medical-marijuana/page/2/index.html,josephrosadomd/category/medical-marijuana/page/2,0.38,5,15376,quantumforge-complete
index.html,josephrosadomd/category/medical-marijuana/index.html,josephrosadomd/category/medical-marijuana,0.39,3,15376,quantumforge-complete
index.html,josephrosadomd/category/prp/index.html,josephrosadomd/category/prp,0.38,3,15376,quantumforge-complete
