Category,Metric,Value
General,Total Files,11322
General,Total Directories,1952
General,Total Size (GB),6.02
General,Large Files (>100MB),6
General,Recent Files (<30 days),815
General,Old Files (>1 year),710
By Extension,.html,4849
By Extension,.md,2102
By Extension,.py,971
By Extension,.png,806
By Extension,.jpg,512
By Extension,.json,466
By Extension,.csv,294
By Extension,.webp,185
By Extension,.txt,181
By Extension,.js,163
By Extension,.xml,99
By Extension,.sh,94
By Extension,.css,92
By Extension,.zip,72
By Extension,.rss,56
By Extension,.ttf,41
By Extension,.svg,33
By Extension,.jpeg,30
By Extension,(no extension),29
By Extension,.seo_backup,28
By Extension,.log,24
By Extension,.jsx,15
By Extension,.woff,12
By Extension,.woff2,12
By Extension,.rst,10
By Extension,.db,10
By Extension,.map,9
By Extension,.yml,7
By Extension,.mp3,7
By Extension,.eot,7
By Extension,.mp4,5
By Extension,.example,5
By Extension,.plist,5
By Extension,.otf,5
By Extension,.vue,5
By Extension,.avif,5
By Extension,.yaml,4
By Extension,.seo_backup 3,4
By Extension,.pdf,3
By Extension,.unknown,3
By Extension,.py-bak,3
By Extension,.0,3
By Extension,.wordpress,3
By Extension,.react,3
By Extension,.sql,2
By Extension,.ipynb,2
By Extension,.srt,2
By Extension,.m4a,2
By Extension,.mjs,2
By Extension,.markdown,2
By Type,code_html,"4849 files, 2.00 GB"
By Type,document_markdown,"2102 files, 0.14 GB"
By Type,image,"1566 files, 0.34 GB"
By Type,code_python,"971 files, 0.02 GB"
By Type,code_json,"466 files, 0.10 GB"
By Type,data,"295 files, 0.66 GB"
By Type,other,"237 files, 0.05 GB"
By Type,document_text,"181 files, 0.03 GB"
By Type,code_javascript,"178 files, 0.00 GB"
By Type,code_xml,"99 files, 0.00 GB"
By Type,code_shell,"94 files, 0.00 GB"
By Type,code_css,"92 files, 0.00 GB"
By Type,font,"77 files, 0.01 GB"
By Type,archive,"74 files, 0.98 GB"
By Type,code_yaml,"11 files, 0.00 GB"
By Type,data_database,"10 files, 0.27 GB"
By Type,audio,"9 files, 0.09 GB"
By Type,video,"6 files, 1.32 GB"
By Type,document_pdf,"3 files, 0.01 GB"
By Type,document_excel,"2 files, 0.00 GB"
