path,name,extension,size_bytes,size_mb,modified,directory,is_hidden
/Users/steven/Documents/trashCaTs.pdf,trashCaTs.pdf,.pdf,315951891,301.32,2025-04-08 00:50:46,/Users/steven/Documents,False
/Users/steven/Documents/HTML/Automation-Sora-epic.html,Automation-Sora-epic.html,.html,109474502,104.4,2025-10-09 03:40:34,/Users/steven/Documents/HTML,False
/Users/steven/Documents/Title The Unmended.pdf,Title The Unmended.pdf,.pdf,90431376,86.24,2025-04-08 00:50:47,/Users/steven/Documents,False
/Users/steven/Documents/Best-Narrative-prompt-trashy 1.md,Best-Narrative-prompt-trashy 1.md,.md,77451269,73.86,2025-09-09 21:08:17,/Users/steven/Documents,False
/Users/steven/Documents/CsV/directory_listing.csv,directory_listing.csv,.csv,61415631,58.57,2025-11-25 23:44:07,/Users/steven/Documents/CsV,False
/Users/steven/Documents/20251229064436.snbackup,20251229064436.snbackup,.snbackup,53438093,50.96,2025-12-29 06:44:39,/Users/steven/Documents,False
/Users/steven/Documents/spirit seeker.pdf,spirit seeker.pdf,.pdf,50974896,48.61,2025-04-08 00:50:46,/Users/steven/Documents,False
/Users/steven/Documents/CsV/fine_food_reviews_with_embeddings_1k.csv,fine_food_reviews_with_embeddings_1k.csv,.csv,35046315,33.42,2025-09-13 05:01:16,/Users/steven/Documents/CsV,False
/Users/steven/Documents/json/_invalid/fragments.json,fragments.json,.json,33071596,31.54,2025-08-10 12:41:42,/Users/steven/Documents/json/_invalid,False
/Users/steven/Documents/WalterRussell/Walter_Russell_-_A_New_Concept_Of_The_Universe.pdf,Walter_Russell_-_A_New_Concept_Of_The_Universe.pdf,.pdf,23611991,22.52,2017-08-27 07:01:16,/Users/steven/Documents/WalterRussell,False
/Users/steven/Documents/CsV/Google_Drive_File_Listing.csv,Google_Drive_File_Listing.csv,.csv,22420593,21.38,2025-12-24 22:01:52,/Users/steven/Documents/CsV,False
/Users/steven/Documents/Title The Final Recipe.pdf,Title The Final Recipe.pdf,.pdf,17087580,16.3,2025-04-08 00:50:47,/Users/steven/Documents,False
/Users/steven/Documents/json/Web-Development/Reports/Medium-Files/batched_analysis_20251024_151538.json,batched_analysis_20251024_151538.json,.json,14578747,13.9,2025-10-24 15:15:42,/Users/steven/Documents/json/Web-Development/Reports/Medium-Files,False
/Users/steven/Documents/json/YouTube-Content/Reports/Medium-Files/python_cleanup_report_20251015_061241.json,python_cleanup_report_20251015_061241.json,.json,14164315,13.51,2025-10-15 06:12:41,/Users/steven/Documents/json/YouTube-Content/Reports/Medium-Files,False
/Users/steven/Documents/markD/.lh/PASTE/2.txt.json,2.txt.json,.json,13452006,12.83,2025-09-02 20:55:04,/Users/steven/Documents/markD/.lh/PASTE,False
/Users/steven/Documents/CsV/zip_contents_inventory.csv,zip_contents_inventory.csv,.csv,13208470,12.6,2025-05-06 05:09:54,/Users/steven/Documents/CsV,False
/Users/steven/Documents/WalterRussell/audio_output/home_study_course/unit_04/lesson_13.mp3,lesson_13.mp3,.mp3,12795524,12.2,2025-10-20 01:12:00,/Users/steven/Documents/WalterRussell/audio_output/home_study_course/unit_04,False
/Users/steven/Documents/CsV/library_transactions_with_embeddings_359.csv,library_transactions_with_embeddings_359.csv,.csv,12484936,11.91,2025-09-13 05:01:17,/Users/steven/Documents/CsV,False
/Users/steven/Documents/json/Web-Development/Reports/Medium-Files/content_analysis_20251024_152922.json,content_analysis_20251024_152922.json,.json,11923632,11.37,2025-10-24 15:29:23,/Users/steven/Documents/json/Web-Development/Reports/Medium-Files,False
/Users/steven/Documents/CsV/duplicate_files_to_remove.csv,duplicate_files_to_remove.csv,.csv,10850889,10.35,2025-12-24 22:30:15,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/other.csv,other.csv,.csv,9026032,8.61,2025-10-19 23:12:30,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/Downloads_MultiDepth_Analysis.csv,Downloads_MultiDepth_Analysis.csv,.csv,9025419,8.61,2025-12-25 00:50:59,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/steven-scan-docs-2025-12-25.csv,steven-scan-docs-2025-12-25.csv,.csv,8736397,8.33,2025-12-25 02:36:00,/Users/steven/Documents/CsV,False
/Users/steven/Documents/WalterRussell/audio_output/home_study_course/unit_01/lesson_01.mp3,lesson_01.mp3,.mp3,8547700,8.15,2025-10-20 00:50:14,/Users/steven/Documents/WalterRussell/audio_output/home_study_course/unit_01,False
/Users/steven/Documents/Auto-YouTube-Shorts-Maker-master.zip,Auto-YouTube-Shorts-Maker-master.zip,.zip,8267475,7.88,2025-10-19 23:27:21,/Users/steven/Documents,False
/Users/steven/Documents/CsV/duplicate_files_report.csv,duplicate_files_report.csv,.csv,8232187,7.85,2025-12-24 22:30:14,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/steven-scan-docs-2025-12-04.csv,steven-scan-docs-2025-12-04.csv,.csv,7852483,7.49,2025-12-04 04:45:21,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/image_data-12-04-04-44.csv,image_data-12-04-04-44.csv,.csv,7492871,7.15,2025-12-04 04:44:55,/Users/steven/Documents/CsV,False
/Users/steven/Documents/HTML/1001.html,1001.html,.html,6992282,6.67,2025-12-02 23:37:06,/Users/steven/Documents/HTML,False
/Users/steven/Documents/CsV/cookbook_recipes_nlg_10k.csv,cookbook_recipes_nlg_10k.csv,.csv,6742055,6.43,2025-09-13 05:01:16,/Users/steven/Documents/CsV,False
/Users/steven/Documents/WhisperTranscribe Content Optimization.txt,WhisperTranscribe Content Optimization.txt,.txt,6500403,6.2,2025-12-04 12:22:53,/Users/steven/Documents,False
/Users/steven/Documents/WalterRussell/walter-russell-s-home-study-course-unit-12-lessons-45-46-47-48.pdf,walter-russell-s-home-study-course-unit-12-lessons-45-46-47-48.pdf,.pdf,6459330,6.16,2017-08-27 06:55:16,/Users/steven/Documents/WalterRussell,False
/Users/steven/Documents/CsV/flexible_analyzed.csv,flexible_analyzed.csv,.csv,6037299,5.76,2025-10-19 23:24:38,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/combined_output_04-08-25.csv,combined_output_04-08-25.csv,.csv,6009540,5.73,2025-04-08 08:40:44,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/combined_output_04-07-25.csv,combined_output_04-07-25.csv,.csv,5980005,5.7,2025-04-07 12:27:08,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/leonardo.csv,leonardo.csv,.csv,5683924,5.42,2025-01-02 15:22:35,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/fragments_summary.csv,fragments_summary.csv,.csv,5679686,5.42,2025-08-10 12:41:41,/Users/steven/Documents/CsV,False
/Users/steven/Documents/CsV/DEEP_SCAN_DETAILED_20251204_062832.csv,DEEP_SCAN_DETAILED_20251204_062832.csv,.csv,5598498,5.34,2025-12-04 06:28:33,/Users/steven/Documents/CsV,False
/Users/steven/Documents/json/_invalid/all.json,all.json,.json,5477896,5.22,2025-03-09 20:45:55,/Users/steven/Documents/json/_invalid,False
/Users/steven/Documents/json/_invalid/all204521.json,all204521.json,.json,5477895,5.22,2025-03-09 20:45:21,/Users/steven/Documents/json/_invalid,False
