"Original Path","New Category","New Location","Content Type","Description"
"/Users/steven/Documents/organized","Organized Content","/Users/steven/Documents/organized","System","Main organization system with strategies, guides, reports, configs, templates, audio-analysis, and temp-files"
"/Users/steven/Documents/knowledge-base","Knowledge Base","/Users/steven/Documents/knowledge-base","Chronological Notes","Time-stamped knowledge entries from 2024-2025"
"/Users/steven/Documents/Obsidian Vault","Knowledge Management","/Users/steven/Documents/Obsidian Vault","Knowledge Base","Obsidian knowledge management system with AI chats"
"/Users/steven/Documents/workspace","Active Projects","/Users/steven/Documents/workspace","Active Development","Active development projects and workspaces"
"/Users/steven/Documents/Web-Archives","Web Archives","/Users/steven/Documents/Web-Archives","Archives","Web-archived content and projects"
"/Users/steven/Documents/CSV_Explorer","Data Tools","/Users/steven/Documents/CSV_Explorer","Data Analysis","CSV analysis and exploration tools"
"/Users/steven/Documents/paste_export","Data Export","/Users/steven/Documents/paste_export","Data","Exported paste data"
"/Users/steven/Documents/paste-clipboard-export","Clipboard Export","/Users/steven/Documents/paste-clipboard-export","Data","Clipboard data export"
"/Users/steven/Documents/paste-clipboard-FULL-export","Full Clipboard Export","/Users/steven/Documents/paste-clipboard-FULL-export","Data","Complete clipboard data export"
"/Users/steven/Documents/As-a-Man-Thinketh","Literature Project","/Users/steven/Documents/As-a-Man-Thinketh","Literature","As a Man Thinketh project files with multiple format exports"
"/Users/steven/Documents/As-a-Man-Thinketh/as_a_man_thinketh_package.zip","Package Archive","/Users/steven/Documents/As-a-Man-Thinketh/as_a_man_thinketh_package.zip","Archive","As a Man Thinketh package archive"
"/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.txt","Text Content","/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.txt","Documentation","As a Man Thinketh text content"
"/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.md","Markdown Content","/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.md","Documentation","As a Man Thinketh markdown content"
