MD5,Size (bytes),File Path,Filename,Source,Mod Time,Total Copies,Wasted Space (bytes),Keep/Delete?
00aa1f449f0c368ab0a83fcffc8478d6,170,/Users/steven/GitHub/n8n/packages/@n8n/stylelint-config/jest.config.cjs,jest.config.cjs,source1,2025-11-29T05:22:50.297813,4,510,KEEP
00aa1f449f0c368ab0a83fcffc8478d6,170,/Users/steven/GitHub/n8n/packages/@n8n/di/jest.config.js,jest.config.js,source1,2025-11-29T05:22:50.088704,,,DELETE
00aa1f449f0c368ab0a83fcffc8478d6,170,/Users/steven/GitHub/n8n/packages/@n8n/db/jest.config.js,jest.config.js,source1,2025-11-29T05:22:50.033349,,,DELETE
00aa1f449f0c368ab0a83fcffc8478d6,170,/Users/steven/GitHub/n8n/packages/@n8n/backend-common/jest.config.js,jest.config.js,source1,2025-11-29T05:22:49.977417,,,DELETE
031176faa63bcb390228ec20cf81406f,1015,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Microsoft/Storage/azureStorage.svg,azureStorage.svg,source1,2025-11-29T05:22:52.623763,2,1015,KEEP
031176faa63bcb390228ec20cf81406f,1015,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Microsoft/Storage/azureStorage.dark.svg,azureStorage.dark.svg,source1,2025-11-29T05:22:52.623535,,,DELETE
0352474ba2918efe13895edbc3780d94,38,/Users/steven/GitHub/n8n/packages/frontend/@n8n/rest-api-client/src/shims.d.ts,shims.d.ts,source1,2025-11-29T05:22:50.829976,5,152,KEEP
0352474ba2918efe13895edbc3780d94,38,/Users/steven/GitHub/n8n/packages/frontend/@n8n/composables/src/shims.d.ts,shims.d.ts,source1,2025-11-29T05:22:50.627032,,,DELETE
0352474ba2918efe13895edbc3780d94,38,/Users/steven/GitHub/n8n/packages/extensions/insights/src/shims.d.ts,shims.d.ts,source1,2025-11-29T05:22:50.605365,,,DELETE
0352474ba2918efe13895edbc3780d94,38,/Users/steven/GitHub/n8n/packages/@n8n/utils/src/shims.d.ts,shims.d.ts,source1,2025-11-29T05:22:50.324543,,,DELETE
0352474ba2918efe13895edbc3780d94,38,/Users/steven/GitHub/n8n/packages/@n8n/extension-sdk/src/shims.d.ts,shims.d.ts,source1,2025-11-29T05:22:50.103958,,,DELETE
03a2e8a75f064238a706e938e793a552,365,/Users/steven/GitHub/n8n/packages/@n8n/db/src/utils/test-utils/mock-instance.ts,mock-instance.ts,source1,2025-11-29T05:22:50.077713,2,365,KEEP
03a2e8a75f064238a706e938e793a552,365,/Users/steven/GitHub/n8n/packages/@n8n/backend-test-utils/src/mocking.ts,mocking.ts,source1,2025-11-29T05:22:49.982490,,,DELETE
04b4a7a620e4bd9cbb34c7e0fb9e9e1b,1290,/Users/steven/GitHub/aider/aider/queries/tree-sitter-languages/ruby-tags.scm,ruby-tags.scm,source1,2025-11-27T06:13:46.674036,2,1290,KEEP
04b4a7a620e4bd9cbb34c7e0fb9e9e1b,1290,/Users/steven/GitHub/aider/aider/queries/tree-sitter-language-pack/ruby-tags.scm,ruby-tags.scm,source1,2025-11-27T06:13:46.669393,,,DELETE
052795e2187177ff15de248082126c98,240,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v2.2.0/page/search.json,search.json,source1,2025-11-29T05:22:52.716680,7,1440,KEEP
052795e2187177ff15de248082126c98,240,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v2.2.0/page/create.json,create.json,source1,2025-11-29T05:22:52.716572,,,DELETE
052795e2187177ff15de248082126c98,240,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v2.2.0/page/archive.json,archive.json,source1,2025-11-29T05:22:52.716456,,,DELETE
052795e2187177ff15de248082126c98,240,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v2.2.0/databasePage/update.json,update.json,source1,2025-11-29T05:22:52.716274,,,DELETE
052795e2187177ff15de248082126c98,240,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v2.2.0/databasePage/get.json,get.json,source1,2025-11-29T05:22:52.715991,,,DELETE
052795e2187177ff15de248082126c98,240,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v2.2.0/database/search.json,search.json,source1,2025-11-29T05:22:52.715650,,,DELETE
052795e2187177ff15de248082126c98,240,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v2.2.0/database/getAll.json,getAll.json,source1,2025-11-29T05:22:52.715543,,,DELETE
06e104b8bfee75431bb92fe7c2cdfe51,18587,/Users/steven/GitHub/AvaTarArTs-Suite/media/image/youtube_dl_echo.py,youtube_dl_echo.py,source1,2025-11-01T03:06:49.102942,3,37174,KEEP
06e104b8bfee75431bb92fe7c2cdfe51,18587,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/youtube_dl_echo 3.py,youtube_dl_echo 3.py,source1,2025-11-01T03:06:49.102186,,,DELETE
06e104b8bfee75431bb92fe7c2cdfe51,18587,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/youtube_dl_echo 2.py,youtube_dl_echo 2.py,source1,2025-11-01T03:06:49.101406,,,DELETE
0761c12732a7f6ae3387800cfe5b5a2c,4698,/Users/steven/GitHub/mkdocs-material/src/plugins/blog/config.py,config.py,source1,2025-11-29T07:58:55.955539,2,4698,KEEP
0761c12732a7f6ae3387800cfe5b5a2c,4698,/Users/steven/GitHub/mkdocs-material/material/plugins/blog/config.py,config.py,source1,2025-11-29T07:58:53.685285,,,DELETE
079e9e6f53dc270d4c8f1fa80892eedb,8677,/Users/steven/GitHub/02_media_processing/video_tools/ytdlconfiguration.py.backup,ytdlconfiguration.py.backup,source1,2025-11-01T03:04:34.301153,2,8677,KEEP
079e9e6f53dc270d4c8f1fa80892eedb,8677,/Users/steven/GitHub/02_media_processing/video_tools/ytdlconfiguration 2.py.backup,ytdlconfiguration 2.py.backup,source1,2025-11-01T03:04:34.300442,,,DELETE
081c04cb6d399f508162b0fd5f6621db,233,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Hubspot/V2/DealInterface.ts,DealInterface.ts,source1,2025-11-29T05:22:52.379126,2,233,KEEP
081c04cb6d399f508162b0fd5f6621db,233,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Hubspot/V1/DealInterface.ts,DealInterface.ts,source1,2025-11-29T05:22:52.375567,,,DELETE
09294b4a42453b3026d4ef156cf3bfee,1477,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Zendesk/__schema__/v1.0.0/user/search.json,search.json,source1,2025-11-29T05:22:53.268897,2,1477,KEEP
09294b4a42453b3026d4ef156cf3bfee,1477,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Zendesk/__schema__/v1.0.0/user/getAll.json,getAll.json,source1,2025-11-29T05:22:53.268384,,,DELETE
0b4c45a4c9334c617f38133f615bce25,10645,/Users/steven/GitHub/mkdocs-material/src/plugins/projects/structure/__init__.py,__init__.py,source1,2025-11-29T07:58:55.964441,2,10645,KEEP
0b4c45a4c9334c617f38133f615bce25,10645,/Users/steven/GitHub/mkdocs-material/material/plugins/projects/structure/__init__.py,__init__.py,source1,2025-11-29T07:58:53.693198,,,DELETE
0bf76ffffc387526164f3bca9bf33a73,9778,/Users/steven/GitHub/AvaTarArTs-Suite/media/image/2leomotion.py,2leomotion.py,source1,2025-11-01T03:06:48.745795,3,19556,KEEP
0bf76ffffc387526164f3bca9bf33a73,9778,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/2leomotion 2.py,2leomotion 2.py,source1,2025-11-01T03:06:48.744242,,,DELETE
0bf76ffffc387526164f3bca9bf33a73,9778,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/2leomotion 1.py,2leomotion 1.py,source1,2025-11-01T03:06:48.742895,,,DELETE
0c775d2c32ffa972da38fbd4fe2618ae,10600,/Users/steven/GitHub/aider/aider/website/_posts/2023-05-25-ctags.md,2023-05-25-ctags.md,source1,2025-11-27T06:13:47.034001,2,10600,KEEP
0c775d2c32ffa972da38fbd4fe2618ae,10600,/Users/steven/GitHub/aider/aider/website/docs/ctags.md,ctags.md,source1,2025-11-27T06:13:47.034001,,,DELETE
0c85dd305b81693fc34c29bf8a0aa0b5,7253,/Users/steven/GitHub/AvaTarArTs-Suite/media/image/leodown_20250102111110.py,leodown_20250102111110.py,source1,2025-11-01T03:06:48.933841,4,21759,KEEP
0c85dd305b81693fc34c29bf8a0aa0b5,7253,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/leodown_20250102105151.py,leodown_20250102105151.py,source1,2025-11-01T03:06:48.931326,,,DELETE
