ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
1r0eyM7suUg,I BLEW UP a YouTube Channel in 7 Days with AI,"In this video, I build a YouTube channel from scratch and take it viral in 7 days. I show every step from validating the niche, brainstorming video topics, creating each upload and breaking down the results inside YouTube Studio. If you want my help starting your own profitable YouTube channel, you can apply here: https://jackcraigcoaching.com  Any questions about YouTube, comment below and I will reply.",31:06,public,11/21/2025,"YouTube monetization, how to create a viral youtube channel, viral youtube video creation, how to make youtube shorts, youtube partner program",78.26609945107785,792937,33K,2K,1,65,-,2
skWYZd85oFc,I COPIED a YouTube Channel for 30 Days and Went VIRAL,"In this video, I start a new YouTube channel from scratch and take it from 0 to viral in 30 days. You'll see how I beat the algorithm and turned a YouTube channel into a real source of income. If you want to start your own profitable shorts channel with my help: https://jackcraigcoaching.com.  Any questions about YouTube Shorts, comment below and I will reply.",29:38,public,6/6/2025,"youtube shorts, how to make money on youtube shorts, youtube shorts monetization, make money online, how to make viral shorts, opening a shorts channel, shorts partner program, youtube partner program, monetization youtube shorts, how to make money on youtube, youtube channel monetization, making money on youtube",84.7536069246072,1277966,39K,2K,1,64,-,2
jSQ6Mru88y4,I BLEW UP a YouTube Channel in 7 Days to Prove it's NOT Luck,"In this video I show you how to go viral on YouTube Shorts in 7 days. After watching this video, you will know how to beat the algorithm and make money from YouTube Shorts in the fastest way possible. For creators selling online, get a .store domain for your store URL here: https://go.store/jack.   If you want my coaching to make you go viral and earn an income from YouTube Shorts, check out: https://jackcraigcoaching.com/. On my website, you can view all the results I have achieved for all my members.   Any questions about YouTube Shorts or anything in the video, comment below and I will reply.",13:22,public,12/12/2024,"youtube shorts, how to make money on youtube shorts, youtube shorts monetization, make money online, how to make viral shorts, shorts channel, opening a shorts channel, shorts partner program, youtube partner program, you tube shorts",90.23216597042727,1770175,63K,4K,2,105,-,2
ZxZUK6j-NQs,How to Get Views on YouTube Shorts,"I explain a new method to get views with YouTube Shorts. If you have struggled to get views on your shorts, I give you strategies so you can get views. If you open a merch store get a branded .store domain for your store URL for $0.99 (code: JACK99) https://creators.store/jackcraig  Any questions about anything in the video, comment below and I will reply.  If you want my help to make you get views and earn an income from YouTube Shorts, check out my coaching: https://jackcraigcoaching.com/  CHAPTERS: 0:00 Intro 0:12 Most Important  0:54 Arbitrage 1:14 Innovation 1:39 Search 2:24 Algorithm 4:31 Viral Content 9:13 Merch Store 10:01 AD Revenue 11:11 Long Form 11:43 YouTube Analytics 14:20 The Truth  #youtubeshorts #monetization #finance",16:25,public,8/21/2024,"YouTube shorts monetization, how to make viral YouTube shorts, YouTube monetization, How to make money from youtube shorts, youtube shorts partner program, youtube shorts, YouTube partner program, make money online, youtube money, make money from youtube shorts",77.42689016876739,367411,14K,935,2,120,-,2
6fydRj2ZT9s,I Went Viral on YouTube Shorts to Prove It's Not Luck,"I explain the process that I follow to make money from YouTube Shorts. I show how to start a YouTube Shorts Channel so you can get monetized and reach the Youtuber Partner Program. Stick around until the end because I show you the results of my new YouTube Shorts Channel. In my next video, I will go into detail about how to edit viral YouTube Shorts.  CHAPTERS: 0:00 INTRO 0:40 FIND YOUR NICHE 1:41 STARTING YOUR CHANNEL  2:33 CREATE YOUR CONTENT 3:12 KEEP YOUR MOTIVATION 4:06 GET YOUR RESULTS 6:48 MAXIMISE YOUR INCOME 7:27 UNDERSTAND THE RULES 7:48 CONTINUE YOUR LEARNING  #youtubeshorts #monetization #finance",08:00,public,3/9/2024,"YouTube shorts monetization, how to make viral YouTube shorts, YouTube monetization, How to make money from youtube shorts, youtube shorts partner program, youtube shorts, YouTube partner program, make money online",69.93171770085306,346785,9.9K,945,0,104,-,2
0naePc4Dfwo,The YouTube Shorts Algorithm Has Changed | No Views,I show a new method to go viral with YouTube Shorts that will allow you to get monetized. You need to understand this because if you follow my old videos you will get zero views. I explain how to create and edit viral shorts using the new method in the video so you can reach the partner program.   Comment with any questions and I will reply to you.    If you want to use CapCut for free:  Download CapCut for Desktop: https://rebrand.ly/jackcraignov23 Download CapCut for Mobile: https://capcut-yt.onelink.me/W3Oy/uphdgoys Capcut Website: https://www.capcut.com/  CHAPTERS: 0:00 Intro 0:14 No Views 1:05 New Method 1:45 Video Topic 2:40 Value Add Editing 3:24 Script 4:36 Voice Over 4:49 Edit 6:23 Go Viral 7:04 Outro  #youtubeshorts #youtubemoney #finance,07:25,public,11/28/2023,"finance, YouTube shorts monetization, how to make viral YouTube shorts, YouTube monetization, How to make money from youtube shorts, youtube shorts partner program, youtube shorts, YouTube partner program, make money online, youtube money",69.62202888674938,193703,6.5K,1.3K,3,120,-,2
YlxFcylzW-w,How to Make a Viral YouTube Shorts Channel | Results,"I explain the process of creating a viral YouTube Shorts channel. I show everything you need to know to reach the YouTube Partner Program and monetize your YouTube shorts. Stick around until the end because I show the results you can achieve from a Viral YouTube shorts channel.  I will start uploading every second week, so prepare for frequent value-packed videos. Comment with any questions, and I’ll do my best to reply.    CHAPTERS: 0:00 Intro 0:15 Search for a Niche 0:34 Select a Niche 1:24 Content Review 2:10 Create the Content 3:25 Upload the Content  3:44 Wait for the Views 4:31 Results 5:33 What’s Next 6:01 Outro   #finance #monetization #youtubemoney",06:19,public,10/2/2023,"youtube shorts partner program, youtube money, youtube monetization program, how to make a viral shorts channel, how to make a viral YouTube shorts channel, how to make money from Youtube shorts, how to make money from YouTube shorts",65.55501382907863,126150,3.7K,440,0,110,-,2
D_HnWLSStZc,I Tried YouTube Shorts For 24 Hours | Results,"I explain how I went viral in 24 hours on YouTube Shorts. I show everything I did each hour to go viral so you can quickly reach the YouTube Partner Program. I explain how to select a viral niche, edit your shorts, and other practical tips to help you monetize quickly. Stick around until the end because I show you the results of the YouTube Short Channels.  If you want to use CapCut for free: CapCut Online and Download for Windows: https://rebrand.ly/jackcraigvid1 Download CapCut for Apple: https://capcut.onelink.me/vNtd/install_61  CapCut Website: https://www.capcut.com/  CHAPTERS: 0:00 Intro 0:16 Hour One 2:10 Hour Two 2:50 Hour Three + Four 3:14 Hour Five + Six 3:37 Hour Eighteen 4:15 How To Edit Viral Shorts 5:58 Hour Nineteen – Twenty-Four 6:30 Results 7:46 Outro     #finance #youtubemoney #monteization",08:04,public,8/11/2023,"Youtube short monetization, youtube short money, make money from youtube shorts, how to go viral on youtube shorts, how to make viral shorts, i tried youtube shorts for 24 hours, how i went viral on youtube shorts, how to make money from shorts, youtube partner program",51.15814987739845,135950,4K,502,3,130,-,2
oEMnYNyiUxE,I Tried YouTube Shorts For 200 Days | Results,"Here are the principles that I used to go viral and make money using YouTube Shorts. I show everything you need to know so you can start your own profitable YouTube channel. Watch until the end because I show the results of the channel. In my next video, I will create new short channels in different niches to prove once again that the principles mentioned work.  CHAPTERS:  0:00 Intro  0:18 Principle One  0:59 Principle Two  1:54 Principle Three 2:36 Principle Four  3:05 Principle Five  3:40 Technique One 4:02 Technique Two  4:40 Results   #youtubemoney #montiezation #makemoneyonline",07:12,public,7/2/2023,"Make money using youtube, money online, monetization, youtube money, how to make a viral channel, how to make money using youtube, make money online, youtube shorts results, how to go viral using youtube shorts, youtube shorts money, youtube shorts",54.2946206913814,280610,8.2K,1K,0,95,-,2
F0Ag9JqPQQE,How to Make Viral YouTube Shorts | Results,"I explain how to make viral YouTube Shorts. This video will help you get monetized and reach the Youtuber Partner Program as fast as possible.  After watching this video, you will know how to edit and create a viral short. Stick around until the end because I show you the results of the short, we make together in the video.    CHAPTERS: 0:00 Intro 0:17 Step One 0:45 Step Two 1:42 Step Three 2:47 Step Four 3:08 Step Five 4:08 Step Six 5:49 Step Seven 6:15 Step Eight 7:01 Results 7:41 Outro   #finance #monteization #youtubemoney",08:00,public,5/27/2023,"finance, youtube shorts, how to make viral youtube shorts, youtube money, money youtube, how to make money on youtube, side hussle, viral youtube shorts, make money online",83.89615089985713,845391,27K,1.6K,0,94,-,2
