Filename,Duration,File Size,Creation Date,Original Path
Howling_Cat_Video_Generated.mp4,0:08,3.11 MB,10-28-25,/Users/steven/Downloads/04_Images/Howling_Cat_Video_Generated.mp4
8FF13162-0045-4E10-9528-99E73EAAC802.MP4,0:05,5.21 MB,10-28-25,/Users/steven/Downloads/04_Images/8FF13162-0045-4E10-9528-99E73EAAC802.MP4
Grok-Video-AF85B8CB-71AF-436C-ADD9-7B3789387DFE.MOV,0:00,2.38 MB,10-28-25,/Users/steven/Downloads/04_Images/Grok-Video-AF85B8CB-71AF-436C-ADD9-7B3789387DFE.MOV
B2F54D4C-FF13-418C-A6CE-D2CC329AAF06.MP4,0:05,6.72 MB,10-28-25,/Users/steven/Downloads/04_Images/B2F54D4C-FF13-418C-A6CE-D2CC329AAF06.MP4
d3359fb0-3e8c-45ee-af50-5fc81dca25df-video.MP4,0:05,5.46 MB,10-28-25,/Users/steven/Downloads/04_Images/d3359fb0-3e8c-45ee-af50-5fc81dca25df-video.MP4
copy_5C27ECBD-C8BB-407B-A3C4-5BE5CFE54A0B 2.MOV,0:32,43.77 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_5C27ECBD-C8BB-407B-A3C4-5BE5CFE54A0B 2.MOV
BF4A9927-142A-431B-B8FD-340D8F8F2021 2.MP4,0:05,4.65 MB,10-28-25,/Users/steven/Downloads/04_Images/BF4A9927-142A-431B-B8FD-340D8F8F2021 2.MP4
234B5F54-F923-4AF1-B428-B4EF3B0CB866.MP4,0:05,3.16 MB,10-28-25,/Users/steven/Downloads/04_Images/234B5F54-F923-4AF1-B428-B4EF3B0CB866.MP4
copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV,2:59,55.45 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV
copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV,3:00,67.21 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV
copy_8E38E418-BDFC-4A8C-A087-0ED640ED0A40.MOV,0:32,43.20 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_8E38E418-BDFC-4A8C-A087-0ED640ED0A40.MOV
