Filename,Duration,File Size,Creation Date,Original Path
grok-video-0cc792b1-e3bd-411f-8f9a-20a3a7aec998.mp4,0:05,2.67 MB,11-01-25,/Users/steven/Downloads/grok-video-0cc792b1-e3bd-411f-8f9a-20a3a7aec998.mp4
Grok-Video-1148F288-B784-4934-9F41-183D5592A8EF.MOV,0:00,2.30 MB,10-28-25,/Users/steven/Downloads/Grok-Video-1148F288-B784-4934-9F41-183D5592A8EF.MOV
grok-video-0cc792b1-e3bd-411f-8f9a-20a3a7aec998 (1).mp4,0:05,2.45 MB,11-01-25,/Users/steven/Downloads/grok-video-0cc792b1-e3bd-411f-8f9a-20a3a7aec998 (1).mp4
514459AF-FC5C-4A16-BED5-95A167201E2B.MP4,0:05,1.11 MB,10-28-25,/Users/steven/Downloads/514459AF-FC5C-4A16-BED5-95A167201E2B.MP4
Where A Poet Sings His Songs.webm,Unknown,Unknown,10-28-25,/Users/steven/Downloads/Video/Where A Poet Sings His Songs.webm
The One Big Beautiful Bill Act_ An Outline and Analysis - NotebookLM.mp4,5:59,17.91 MB,10-28-25,/Users/steven/Downloads/Video/The One Big Beautiful Bill Act_ An Outline and Analysis - NotebookLM.mp4
Grok(2).mp4,0:05,3.24 MB,10-28-25,/Users/steven/Downloads/Video/Grok(2).mp4
Koosie _ Join me on Suno.webm,Unknown,Unknown,10-28-25,/Users/steven/Downloads/Video/Koosie _ Join me on Suno.webm
MaxGrads.mp4,0:16,4.64 MB,10-28-25,/Users/steven/Downloads/Video/MaxGrads.mp4
Grok(1).mp4,0:05,3.74 MB,10-28-25,/Users/steven/Downloads/Video/Grok(1).mp4
Howling_Cat_Video_Generated.mp4,0:08,3.11 MB,10-28-25,/Users/steven/Downloads/04_Images/Howling_Cat_Video_Generated.mp4
8FF13162-0045-4E10-9528-99E73EAAC802.MP4,0:05,5.21 MB,10-28-25,/Users/steven/Downloads/04_Images/8FF13162-0045-4E10-9528-99E73EAAC802.MP4
Grok-Video-AF85B8CB-71AF-436C-ADD9-7B3789387DFE.MOV,0:00,2.38 MB,10-28-25,/Users/steven/Downloads/04_Images/Grok-Video-AF85B8CB-71AF-436C-ADD9-7B3789387DFE.MOV
B2F54D4C-FF13-418C-A6CE-D2CC329AAF06.MP4,0:05,6.72 MB,10-28-25,/Users/steven/Downloads/04_Images/B2F54D4C-FF13-418C-A6CE-D2CC329AAF06.MP4
d3359fb0-3e8c-45ee-af50-5fc81dca25df-video.MP4,0:05,5.46 MB,10-28-25,/Users/steven/Downloads/04_Images/d3359fb0-3e8c-45ee-af50-5fc81dca25df-video.MP4
copy_5C27ECBD-C8BB-407B-A3C4-5BE5CFE54A0B 2.MOV,0:32,43.77 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_5C27ECBD-C8BB-407B-A3C4-5BE5CFE54A0B 2.MOV
BF4A9927-142A-431B-B8FD-340D8F8F2021 2.MP4,0:05,4.65 MB,10-28-25,/Users/steven/Downloads/04_Images/BF4A9927-142A-431B-B8FD-340D8F8F2021 2.MP4
234B5F54-F923-4AF1-B428-B4EF3B0CB866.MP4,0:05,3.16 MB,10-28-25,/Users/steven/Downloads/04_Images/234B5F54-F923-4AF1-B428-B4EF3B0CB866.MP4
copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV,2:59,55.45 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_1E6F05CC-A2CA-4438-8F40-59724DF0A503 2.MOV
copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV,3:00,67.21 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_0DDE270A-D7D4-4E3A-AFA3-58CA3DDC6691 3.MOV
copy_8E38E418-BDFC-4A8C-A087-0ED640ED0A40.MOV,0:32,43.20 MB,10-28-25,/Users/steven/Downloads/04_Images/copy_8E38E418-BDFC-4A8C-A087-0ED640ED0A40.MOV
