filepath,filename,extension,size_kb,size_mb,album,artist,last_modified,type,format
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/Music2video - Imagenet Song.mp3,Music2video - Imagenet Song.mp3,.mp3,5310.9,5.19,Unknown,AvatarArts,2025-11-04,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/All_I_Wanna_Do.mp3,All_I_Wanna_Do.mp3,.mp3,4912.92,4.8,Unknown,AvatarArts,2025-11-05,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/Through_and_Through_Amulets_255.mp3,Through_and_Through_Amulets_255.mp3,.mp3,6860.52,6.7,Unknown,AvatarArts,2025-11-04,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/Kbong - In Session.mp3,Kbong - In Session.mp3,.mp3,4481.99,4.38,Unknown,AvatarArts,2025-11-04,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/Spine_of_Stars.mp3,Spine_of_Stars.mp3,.mp3,5663.48,5.53,Unknown,AvatarArts,2025-11-05,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/City_of_Heroes_Journey.mp3,City_of_Heroes_Journey.mp3,.mp3,2677.74,2.61,Unknown,AvatarArts,2025-11-04,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/No_Crown_No_Chains.mp3,No_Crown_No_Chains.mp3,.mp3,3163.83,3.09,Unknown,AvatarArts,2025-11-05,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/DescriptiveOrigins/DescriptiveOrigins_(Remix).mp3,DescriptiveOrigins_(Remix).mp3,.mp3,90.6,0.09,Unknown,AvatarArts,2025-11-04,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/DescriptiveOrigins/Descriptive Origins _ [Remix]_1.mp3,Descriptive Origins _ [Remix]_1.mp3,.mp3,90.64,0.09,Unknown,AvatarArts,2025-11-04,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/Witches_Road/Witches Road Song Lyrics_255.mp3,Witches Road Song Lyrics_255.mp3,.mp3,2748.8,2.68,Unknown,AvatarArts,2025-11-04,Audio,MP3
Library/Mobile Documents/com~apple~CloudDocs/nocTurneMeLoDieS/Witches_Road/Witches Road_(Remastered)_2.mp3,Witches Road_(Remastered)_2.mp3,.mp3,4131.5,4.03,Unknown,AvatarArts,2025-11-04,Audio,MP3
