Filename,Duration,File Size,Creation Date,Original Path
README.md,6.98 KB,11-01-25,/Users/steven/pydocs
Roboto-Slab-Bold.woff,85.57 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
Roboto-Slab-Bold.woff2,65.73 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
Roboto-Slab-Regular.woff,84.27 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
Roboto-Slab-Regular.woff2,64.89 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
_sphinx_javascript_frameworks_compat.js,4.19 KB,11-01-25,/Users/steven/pydocs/build/html/_static
api_reference.html,13.28 KB,11-01-25,/Users/steven/pydocs/build/html
api_reference.rst.txt,440.00 B,11-01-25,/Users/steven/pydocs/build/html/_sources
badge_only.css,3.25 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css
badge_only.js,934.00 B,11-01-25,/Users/steven/pydocs/build/html/_static/js
basic.css,14.34 KB,11-01-25,/Users/steven/pydocs/build/html/_static
build_docs.sh,443.00 B,11-01-25,/Users/steven/pydocs
carbon_gallery.html,14.90 KB,11-01-25,/Users/steven/pydocs/build/html
carbon_gallery.md,1.05 KB,11-01-25,/Users/steven/pydocs/source
carbon_gallery.md.txt,1.05 KB,11-01-25,/Users/steven/pydocs/build/html/_sources
clipboard.min.js,8.82 KB,11-01-25,/Users/steven/pydocs/build/html/_static
conf.py,2.31 KB,11-01-25,/Users/steven/pydocs/source
copybutton.css,2.01 KB,11-01-25,/Users/steven/pydocs/build/html/_static
copybutton.js,8.27 KB,11-01-25,/Users/steven/pydocs/build/html/_static
copybutton_funcs.js,2.63 KB,11-01-25,/Users/steven/pydocs/build/html/_static
custom.css,692.00 B,11-01-25,/Users/steven/pydocs/_static
custom.css,692.00 B,11-01-25,/Users/steven/pydocs/build/html/_static
doctools.js,4.22 KB,11-01-25,/Users/steven/pydocs/build/html/_static
documentation_options.js,328.00 B,11-01-25,/Users/steven/pydocs/build/html/_static
env_tools.html,46.68 KB,11-01-25,/Users/steven/pydocs/build/html
env_tools.md,8.58 KB,11-01-25,/Users/steven/pydocs/source
env_tools.md.txt,8.58 KB,11-01-25,/Users/steven/pydocs/build/html/_sources
examples.html,23.07 KB,11-01-25,/Users/steven/pydocs/build/html
examples.md,1.81 KB,11-01-25,/Users/steven/pydocs/source
examples.md.txt,1.81 KB,11-01-25,/Users/steven/pydocs/build/html/_sources
file.png,286.00 B,11-01-25,16,16,,,/Users/steven/pydocs/build/html/_static/file.png
fontawesome-webfont.eot,161.86 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
fontawesome-webfont.ttf,161.67 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
fontawesome-webfont.woff,95.73 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
fontawesome-webfont.woff2,75.35 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
genindex.html,13.41 KB,11-01-25,/Users/steven/pydocs/build/html
getting_started.html,21.53 KB,11-01-25,/Users/steven/pydocs/build/html
getting_started.md,2.24 KB,11-01-25,/Users/steven/pydocs/source
getting_started.md.txt,2.24 KB,11-01-25,/Users/steven/pydocs/build/html/_sources
index.html,14.54 KB,11-01-25,/Users/steven/pydocs/build/html/modules
index.html,20.15 KB,11-01-25,/Users/steven/pydocs/build/html
index.rst.txt,1.42 KB,11-01-25,/Users/steven/pydocs/build/html/_sources
index.rst.txt,828.00 B,11-01-25,/Users/steven/pydocs/build/html/_sources/modules
jquery.js,87.40 KB,11-01-25,/Users/steven/pydocs/build/html/_static
language_data.js,4.49 KB,11-01-25,/Users/steven/pydocs/build/html/_static
lato-bold-italic.woff,315.77 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
lato-bold-italic.woff2,188.78 KB,11-01-25,/Users/steven/pydocs/build/html/_static/css/fonts
lato-bold.eot,250.05 KB,11-01-25,/Users/steven/pydocs/build/html/_static/fonts/Lato
