Filename,Duration,File Size,Creation Date,Original Path
2Universal AI Conversation & GPT Exporter.options.json,980.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
2Universal AI Conversation & GPT Exporter.storage.json,130.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
2Universal AI Conversation & GPT Exporter.user.js,51.37 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT Conversation Exporter (HTML + MD + TXT).options.json,971.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT Conversation Exporter (HTML + MD + TXT).storage.json,30.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT Conversation Exporter (HTML + MD + TXT).user.js,4.32 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT Deep Research Markdown Exporter.options.json,977.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT Deep Research Markdown Exporter.storage.json,30.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT Deep Research Markdown Exporter.user.js,12.78 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT GPTs Exporter.options.json,939.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT GPTs Exporter.storage.json,30.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
ChatGPT GPTs Exporter.user.js,14.04 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
DeepSeek Chat Exporter (Reliable).options.json,847.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
DeepSeek Chat Exporter (Reliable).storage.json,30.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
DeepSeek Chat Exporter (Reliable).user.js,5.02 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
DeepSeek Chat Exporter.options.json,935.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
DeepSeek Chat Exporter.storage.json,30.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
DeepSeek Chat Exporter.user.js,12.47 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
Enhanced Grok Export v2.4.options.json,926.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
Enhanced Grok Export v2.4.storage.json,30.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
Enhanced Grok Export v2.4.user.js,43.23 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
Universal Chat Exporter to Obsidian.options.json,974.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
Universal Chat Exporter to Obsidian.storage.json,293.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
Universal Chat Exporter to Obsidian.user.js,23.70 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
medium-bypass.options.json,4.61 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
medium-bypass.storage.json,30.00 B,10-28-25,/Users/steven/Downloads/scripts-to-remove
medium-bypass.user.js,27.56 KB,10-28-25,/Users/steven/Downloads/scripts-to-remove
