Keyword,Sales per listing,3mo. change,Search volume,Competition,Score,Conversion rate,Trend status,Competition level,Google competition index,Google competition level,Search to competition ratio,Listing age
"make russia small again t-shirt","13","6400%","1300","64","78","6.63%","Trending","Very low","100","High","20.31","33 days",
"chill cubes","106","5500%","1600","341","79","2.59%","Stable","Very low","59","Medium","4.69","882 days",
"custom santa letter","101","4500%","2400","5250","67","5.00%","Shrinking","Low","97","High","0.46","882 days",
"happy thanksgiving signs","54","4500%","1900","6126","62","5.57%","Growing","Low","100","High","0.31","1153 days",
"merry sweatshirt","42","4500%","4400","278721","48","4.41%","Shrinking","High","100","High","0.02","544 days",
"thanksgiving turkey coloring page","60","4500%","1600","1560","79","8.00%","Shrinking","Very low","55","Medium","1.03","952 days",
"outdoor holiday decor","46","4500%","8100","65973","70","3.00%","Trending","Moderate","100","High","0.12","1038 days",
"wicked broadway ornament","6","4500%","1900","558","68","1.04%","Shrinking","Very low","100","High","3.40","167 days",
"wicked show tickets","484","4400%","110000","145","100","13.00%","Shrinking","Very low","24","Low","758.62","518 days",
"wicked broadway tickets","198","4400%","110000","192","100","17.00%","Shrinking","Very low","24","Low","572.92","570 days",
