KEYWORD,OCCURRENCES,OVERALL,COMPETITION,VOLUME
eso,18,66.36,58,82.59
elder scrolls online,16,73.02,46.2,85.84
the elder scrolls online,14,73.77,42.4,84.54
teso,12,72.62,31.7,75.5
digital art,6,62.46,59.3,76.97
the elder scrolls online high isle gameplay,6,39.39,68.47,44.63
elder scrolls,6,58.13,66,74.21
the elder scrolls online high isle,6,40.65,66.93,45.71
The Elder Scrolls Online,6,73.77,42.4,84.54
"[eso,6,NaN,NaN,0
eso firesong,4,55.6,28.05,44.69
eso blackreach arkthzand cavern treasure map,4,66.7,2.97,46.48
blackreach eso location,4,29.06,27.36,0
eso blackreach,4,51.55,38.88,45.18
sea serpents coil,4,55.92,31.07,47.25
digital painting,4,65.79,46,73.65
digital art speed painting,4,50.99,41.7,46.11
mandalorian season 3 trailer reaction mashup,4,51.89,44.04,49.17
star wars digital art preview,4,,,
mandalorian,4,60.91,66.5,79.19
star wars,4,76.1,52.2,94.96
starwars,4,60.07,60,73.45
star wars art,4,49.26,46.5,46.44
star wars digital,4,21.64,45.91,0
baby grogu digital art,4,NaN,NaN,0
star wars digital painting,4,NaN,NaN,0
star wars digital art,4,56.31,29.8,47.06
star wars digital art preview,4,34.57,13.57,0
eso opening crown crates,4,63,8.93,44.29
eso crown crates,4,64.31,9.39,46.77
crown crates,4,62.67,14.37,47.36
eso tips for beginners,4,48.53,45.62,44.63
eso high isle review,4,43.25,64.14,48.18
eso high isle gameplay,4,40.89,68.11,46.88
eso high isle,4,52.06,54.87,56.68
eso beginner guides,4,50.71,42.46,46.16
eso 2022,4,35.24,85,48.73
elder scrolls online 2022 gameplay,4,51.09,48.14,50.59
High isle eso,4,47.71,51.83,47.39
best way to level thieves guild eso,2,30.96,22.6,0
how to start thieves guild eso,2,NaN,NaN,0
Eso thieves guild assistant,2,NaN,NaN,0
eso pirharri the smuggler,2,37.93,5.17,0
the elder scrolls online: thieves guild,2,NaN,NaN,0
eso thieves guild,2,55.73,37.27,51.06
elder scrolls online thieves guild questline,2,NaN,NaN,0
the elder scrolls online thieves guild quests,2,32.6,18.5,0
elder scrolls online how to join the thieves guild,2,NaN,NaN,0
how to the elder scrolls online: thieves guild,2,NaN,NaN,0
thieves guild,2,49.79,45.7,46.79
the elder scrolls online: Deadlands - online game,2,NaN,NaN,0
Pirharri the Smuggler eso,2,64.06,10.53,47.12
the elder scrolls online high isle ps5,2,28.61,28.48,0
m'aiq the liar,2,61.81,32.7,58.15
maiq the liar,2,55.2,33.03,47.35
M'aiq the liar,2,61.81,32.7,58.15
eso maiq the liar locations,2,35.59,11.03,0
maiq the liar locations,2,28.32,29.21,0
eso m'aiq the liar location,2,32.8,18,0
eso maiq the liar location,2,35.57,11.08,0
eso m'aiq the liar,2,58.72,25.88,48.46
eso maiq the liar,2,30.77,23.07,0
eso m'aiq,2,58.35,24.69,47.05
m'aiq,2,68.56,33.41,69.87
M'aiq location eso,2,NaN,NaN,0
eso m'aiq location,2,36.13,9.68,0
m'aiq location,2,NaN,NaN,0
maiq eso,2,54.65,30.16,44.52
eso maiq location,2,34.55,13.61,0
location maiq,2,NaN,NaN,0
eso maiq location eso,2,NaN,NaN,0
maiq location eso,2,NaN,NaN,0
eso maiq locations,2,34.54,13.64,0
how eso maiq locations,2,34.05,14.88,0
maiq location,2,33.57,16.07,0
"[ESO,2,NaN,NaN,0
how to start firesong eso,2,37.64,5.89,0
firesong how eso,2,NaN,NaN,0
Firesong eso where,2,NaN,NaN,0
Eso dlc firesong,2,NaN,NaN,0
firesong eso dlc,2,37.04,7.41,0
eso firesong how,2,NaN,NaN,0
eso firesong dlc sets,2,37.11,7.23,0
dlc firesong,2,NaN,NaN,0
kvatch arena,2,62.94,12.85,46.81
kvatch,2,50.73,44.6,47.62
eso kvatch arena solo,2,NaN,NaN,0
eso kvatch arena rewards,2,NaN,NaN,0
eso kvatch arena quest location,2,NaN,NaN,0
eso kvatch arena not starting,2,NaN,NaN,0
eso kvatch arena drops,2,NaN,NaN,0
eso kvatch arena daily quest,2,NaN,NaN,0
eso kvatch arena,2,39.67,0.82,0
eso how to start kvatch arena,2,NaN,NaN,0
eso arena von kvatch,2,NaN,NaN,0
elder scrolls online kvatch,2,66.73,9.41,50.83
dark brotherhood,2,45.87,59,49.11
eso blackreach lets play,2,NaN,NaN,0
dark heart of skyrim celebration 2022 eso,2,NaN,NaN,0
dark heart of skyrim trailer,2,44.67,54.82,44.33
