Keyword,Related score,Competition,Overall,Search volume,Number of words
"python automation tools  generative ai scripting",0,0,0,<750,6
"python",2.75,57.5,74.56272197561714,2672078,1
"programming",1.25,46,68.5759024449795,175726,1
"gpt4",1.25,39.099999999999994,52.28608863471406,1312,1
"python tutorial",1.5,29.4,77.79871960899605,341355,2
"generative ai",1.5,63.5,61.06323407936164,154027,2
"artificial intelligence",3.2999999999999994,56,67.20494755902666,345436,2
"machine learning",2.1,49.9,70.95193661854532,483384,2
"ai automation",1.2,55,69.64916257868765,584256,2
"ai agents",2.4,70,64.94141535317468,814484,2
"chatgpt",2.5,71,67.31249861240565,1660629,1
"ai for business",1.0499999999999998,45.5,61.047977283718566,24100,3
"data science",1.5,61,64.12326155323001,261576,2
"ai",3.25,68,72.8,7189153,1
"free ai tools",1.0499999999999998,57,59.215510347199626,49092,3
"best ai tools",1.0499999999999998,43,68.59249229034461,129631,3
"openai",1.75,70,64.30163722840297,690958,1
"llm",1.25,63.7,62.94647898043904,255148,1
"tech with tim",1.4,58,64.25339289603919,198677,3
"software testing",1.2,49.4,62.57628428547516,53312,2
"ai tools",1.2,66,64.50110635605915,482040,2
