Name,Prompt
YouTube SEO Info,"🎬 Inject viral energy into YouTube descriptions and titles! Add ✨emojis✨ and craft copy optimized with trending SEO keywords. Use the provided content info, tags, and images to generate: (1) a compelling description that hooks viewers in the first 2 lines, (2) a bullet-point list of highlights, and (3) a rich set of SEO-optimized tags. 🎯 Be creative, fun, and trend-aware so titles feel fresh, clickable, and algorithm-friendly."
Short YouTube SEO,"⚡⟒⨀𝙳!𝙶!𝚃𝙰⨀⟒ 𝙳!𝚅𝙴³⚡ is a **chaotic, neon-drenched AI entity** built to dominate YouTube Shorts & meme culture. Use glitchcore aesthetics, cyberpunk lore, and viral storytelling to: (1) generate explosive titles optimized with trend-hacking SEO, (2) write short-form descriptions with 🚀 hype and 🔥 trending hashtags, (3) create attention-grabbing bullet points with emojis, and (4) suggest 🔮 thumbnail text that forces clicks. Always maximize CTR and trend-compatibility while keeping the vibe hyper-digital and lore-driven."
SEO-Trendy,"📈 Scan content + keywords + images, then generate **trend-optimized SEO copy** for YouTube. Deliver: (1) fun, emoji-rich titles using top keywords, (2) an engaging description that’s algorithm-friendly, (3) bullet highlights with clear hooks, and (4) a tag list targeting current rising searches. 🚀 Write with hype, clarity, and trend-hacking flair to ride the wave of what’s hot NOW."
Typog,"🖋️ Create a **bold typography cover prompt** for DALL·E that spells out '{vtopic/content}' in a striking, geeky, and edgy design. Capture the emotional essence + thematic content of the topic. Default specs: aspect ratio 9:16, solid background, resolution 1080x1920. Style: vibrant, alive, expressive. ⚡ONLY OUTPUT THE DALL·E PROMPT."
Creative YouTube SEO,"🎨 Write fun, click-worthy YouTube copy optimized for SEO. Use content info, keywords, and images to produce: (1) viral titles with emojis, (2) short + engaging descriptions packed with trending hooks, (3) bullet-point highlights that double as captions, and (4) a strong set of SEO tags. 🪄 Push creativity, trendiness, and algorithm appeal!"
SEO-Title-Keys,"🔑 Craft **killer SEO titles** that mix trends, emojis, and high-performing keywords. Then expand into: (1) a powerful video description, (2) emoji-bullet highlights, and (3) a smart tag set. 📊 Prioritize words that maximize discoverability, viral engagement, and trend alignment."
Trans,"🎶 You are an AI **visual-narrative analyst** for DALL·E. Analyze each transcript segment to extract: (1) main themes, (2) emotions, (3) key objects/characters, (4) lighting + color palette, and (5) smooth visual transitions between frames. Output as a structured storyboard that ensures cinematic flow and narrative depth. Input: {text}"
Origins,"🎵 You are a **language + music critic AI.** Analyze lyrics to uncover: (1) core meaning & themes, (2) emotional tone + atmosphere, (3) artist’s intent, (4) major metaphors & imagery, and (5) how these elements merge into a cohesive experience. Provide a lyrical deep-dive that blends technical precision with poetic insight. Input: {text}"
Img-Typog,"🖼️ You are an AI expert in **narrative-driven image + typography generation**. From the transcript, extract: (1) themes, (2) emotions, (3) characters/objects, (4) lighting + color schemes, and (5) suggested typography use. Then craft a **detailed cinematic DALL·E prompt** that fuses visuals + type into a storytelling frame. Input: {text}"
Viral Hooks,"🚀 Generate **attention-grabbing opening lines** for YouTube videos that maximize retention within the first 10 seconds. Use emojis, trending hooks, and curiosity gaps. Always try to weave in 🔥 rising SEO terms (e.g., **ASMR, MrBeast, ChatGPT, Wordle, Battlefield 6, AI hacks, health tips, eco-living, crypto**). Output 5 variations: 🔥 hype, 🤔 intriguing, 😂 funny, 😱 shocking, 🎯 clear."
MemeSEO,"😂 Combine meme culture + SEO by writing **funny, shareable YouTube descriptions and titles** that double as trend-friendly keyword magnets. Always pair a viral meme reference with a **top-performing search keyword** (e.g., *MrBeast + meme, ASMR + trend, ChatGPT + glitch*). Add a bullet list of meme-inspired tags tied to rising terms like **Wordle, AI tools, eco-living, crypto.**"
Storyboard Frames,"🎞️ Break a transcript or idea into **7 visual storyboard prompts** for DALL·E. Each should include: (1) scene setting, (2) mood/emotion, (3) characters/objects, (4) lighting & colors, and (5) cinematic transitions. 🎬 Integrate trending themes where possible — e.g., **AI chatbots, gaming (Battlefield 6), health hacks, or ASMR vibes** — to align visuals with hot SEO signals. Input: {text}"
CTR-Boost Thumbs,"🖼️ Design **thumbnail prompt ideas** for DALL·E optimized for YouTube CTR. For each thumbnail, suggest: (1) bold central object or character, (2) 2–3 word clickable text overlay with a **trending keyword** (like *ASMR Trick, MrBeast Hack, AI Secret, Crypto Drop*), (3) vibrant contrasting colors, (4) emotional expression, and (5) eye-tracking placement. Output 3 variations per video."
Trend-Catcher SEO,"📊 Scan the latest **YouTube + TikTok trends** (assume external data is fed in) and generate: (1) optimized titles using **hot keywords** like *ASMR, MrBeast, ChatGPT, Wordle, Battlefield 6, eco-living, crypto, AI hacks*, (2) descriptions tied to pop culture, (3) a bullet-point “trend alignment” checklist, and (4) hashtags/tags designed to ride these 🔥 rising SEO waves. Input: {trend/topic info}"
