Keyword,Related score,Competition,Overall,Search volume,Number of words
"tools art generative ai scripting  quantum automation",0,0,0,<750,7
"ai",3,68,72.8,7189153,1
"ai voice generators",1.0499999999999998,36.7,53.720021510091186,1482,3
"ai content generation",1.0499999999999998,39.8,52.27524779462711,1406,3
"ai trends",1.2,52,64.29879206000199,108457,2
"future of ai",2.45,58,58.96413180558319,51004,3
"ai privacy",1.2,41.099999999999994,51.6344280431692,1363,2
"artificial intelligence",3.899999999999999,56,67.20494755902666,345436,2
"ai for small businesses",1.4,38.7,52.452013696480506,1314,4
"machine learning",1.5,49.9,70.95193661854532,483384,2
"ai in marketing",1.0499999999999998,49,53.70364736520766,5228,3
"ai ethics",1.2,46.5,58.074107693770486,12435,2
"chat gpt",1.2,70,61.73323951844832,357019,2
"chatgpt",1.75,71,67.31249861240565,1660629,1
"ai in smart cities",1.0499999999999998,15.8,61.73726712284535,1357,4
"ai and blockchain integration",1.0499999999999998,23.497838079618308,57.090972517365486,907,4
"ai for productivity",1.0499999999999998,24.2,62.44463825903832,3861,3
"ai art tools",1.0499999999999998,40.4,50.44837360623748,935,3
"artificial intelligence explained",1.0499999999999998,54,52.87606204079053,7067,3
"ai tools",1.2,66,64.50110635605915,482040,2
"ai in business solutions",1.0499999999999998,46.5,21.400000000000002,<750,4
