KEYWORD,OCCURRENCES,OVERALL,COMPETITION,VOLUME
colorized photos,17,40.29,71.28,48.01
history channel,17,55.76,83.03,81.63
historical footage,17,32.7,90.67,48.29
rare photos,17,52.2,79.22,73.14
old photos,17,59.04,46.98,63.05
rare historical photos,17,49.59,66.35,60.21
rare images,17,37.13,80.48,48.86
rare history,17,46.33,73.74,59.72
historical pictures,17,43.46,75.55,56.13
historical photos,17,50.1,75.74,67.32
classic,17,46.94,96.96,76.21
old,17,44.77,100,74.62
rare,17,44.13,95.17,70.34
amazing,17,49.12,99.37,81.45
vintage,17,50.1,90.22,76.98
past,17,42.52,95.48,67.86
powerful,17,41.42,99.05,68.4
shocking,17,41.01,96.48,66
unbelievable,17,46.11,93.26,72.36
1990s,17,37.34,94.48,58.56
1980s,17,40.79,95.18,64.78
1970s,17,38.27,94.86,60.36
1960s,17,39.69,87.25,57.65
1950s,17,42.6,90.65,64.76
1940s,17,41.75,77.32,54.46
1930s,17,36.76,90.8,55.14
1920s,17,37.42,91.99,57.03
1910s,17,48.43,46.12,44.8
1900s,17,34.93,82.78,46.74
images,17,44.24,98.14,72.5
pictures,17,50.51,99.58,83.9
photos,17,39.35,97.14,63.68
history,17,58.1,96.72,94.64
historic,17,41.6,74.76,52.51
historical,17,41.7,90.11,62.9
50 photos,16,60.02,42.75,61.86
iran before islamic revolution,1,43.28,67.99,50.8
iran before 1979,1,39.73,68.27,45.07
iran before revolution,1,41.79,69.69,49.44
iran,1,65.12,66.97,86.52
historical images,1,39.78,79.45,52.61
