category,file_name,file_path,size_bytes,size_mb,date_archived
content-duplicates,ADVANCED_ORGANIZATION_MIGRATION_20260101_142517.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/ADVANCED_ORGANIZATION_MIGRATION_20260101_142517.csv,477125,0.46,2026-01-01 14:25:17
content-duplicates,AI_INTEGRATION_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/AI_INTEGRATION_GUIDE.md,17879,0.02,2026-01-12 17:22:39
content-duplicates,API_KEY_INVENTORY_COMPLETE_20251105_075949.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/API_KEY_INVENTORY_COMPLETE_20251105_075949.csv,21911,0.02,2025-11-05 07:59:49
content-duplicates,AUDIO_LATEST_1853.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/AUDIO_LATEST_1853.csv,233806,0.22,2025-12-03 03:00:41
content-duplicates,AVATARARTS_INTEGRATION_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/AVATARARTS_INTEGRATION_GUIDE.md,14675,0.01,2026-01-12 17:22:39
content-duplicates,DETAILED_HANDOFF_20260101.md,03_ARCHIVES/intelligent-declutter/content-duplicates/DETAILED_HANDOFF_20260101.md,16745,0.02,2026-01-01 14:29:09
content-duplicates,DOCUMENTS_INDEX_20260101_124027.md,03_ARCHIVES/intelligent-declutter/content-duplicates/DOCUMENTS_INDEX_20260101_124027.md,10176,0.01,2026-01-01 12:45:30
content-duplicates,DOCUMENTS_INVENTORY_20260101_124231.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/DOCUMENTS_INVENTORY_20260101_124231.csv,642905,0.61,2026-01-01 12:45:30
content-duplicates,HOME_DEEPDIVE_INVENTORY_20260101_113116.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/HOME_DEEPDIVE_INVENTORY_20260101_113116.csv,68284,0.07,2026-01-01 11:31:16
content-duplicates,IMAGES_LATEST_49499.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/IMAGES_LATEST_49499.csv,9676634,9.23,2025-12-03 03:00:41
content-duplicates,IMPLEMENTATION_GUIDE_$10K_20251125155416.md,03_ARCHIVES/intelligent-declutter/content-duplicates/IMPLEMENTATION_GUIDE_$10K_20251125155416.md,10204,0.01,2025-11-25 15:54:16
content-duplicates,JdZnK1a4Lrr7K7ZWhPymzvn9_1718220247_5971773.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/JdZnK1a4Lrr7K7ZWhPymzvn9_1718220247_5971773.jpg,227636,0.22,2025-11-03 19:17:45
content-duplicates,MULTIFOLDER_DEEPDIVE_20260101_134316_CONSOLIDATION.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/MULTIFOLDER_DEEPDIVE_20260101_134316_CONSOLIDATION.csv,25678,0.02,2026-01-01 13:48:14
content-duplicates,PYTHON_INVENTORY_20260101_093208.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/PYTHON_INVENTORY_20260101_093208.csv,1828463,1.74,2026-01-01 09:32:08
content-duplicates,Python Automation Repository.md,03_ARCHIVES/intelligent-declutter/content-duplicates/Python Automation Repository.md,18545,0.02,2025-11-27 20:53:56
content-duplicates,QUICK_START_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/QUICK_START_GUIDE.md,57884,0.06,2026-01-12 17:22:39
content-duplicates,REINDEX_20260101_141107_FILES.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/REINDEX_20260101_141107_FILES.csv,4994872,4.76,2026-01-01 14:11:23
content-duplicates,SCRIPTS_AND_ORGANIZATION_PREVIEW_20251125153947.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/SCRIPTS_AND_ORGANIZATION_PREVIEW_20251125153947.csv,18768,0.02,2025-11-25 15:39:47
content-duplicates,SERVICES_101_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/SERVICES_101_GUIDE.md,8473,0.01,2026-01-12 17:22:39
content-duplicates,STYLE_IMPROVEMENTS_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/STYLE_IMPROVEMENTS_GUIDE.md,1879,0.0,2026-01-12 17:22:39
content-duplicates,THE_DIGITAL_EMPIRE_NARRATIVE_20251125155411.md,03_ARCHIVES/intelligent-declutter/content-duplicates/THE_DIGITAL_EMPIRE_NARRATIVE_20251125155411.md,19354,0.02,2025-11-25 15:54:11
content-duplicates,THE_NOVICES_GUIDE_TO_REVENUE_GENERATION_FROM_ZERO_TO_MILLIONAIRE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/THE_NOVICES_GUIDE_TO_REVENUE_GENERATION_FROM_ZERO_TO_MILLIONAIRE.md,11241,0.01,2026-01-12 17:37:07
content-duplicates,ULTRA_DEEP_REINDEX_20260101_142317_FILES.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/ULTRA_DEEP_REINDEX_20260101_142317_FILES.csv,5000671,4.77,2026-01-01 14:23:33
content-duplicates,ULTRA_DEEP_REINDEX_20260101_142603_FILES.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/ULTRA_DEEP_REINDEX_20260101_142603_FILES.csv,5006053,4.77,2026-01-01 14:26:20
content-duplicates,WEBSITE_101_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/WEBSITE_101_GUIDE.md,6156,0.01,2026-01-12 17:22:39
content-duplicates,YOUTUBE_SEO_STRATEGY_20251125160016.md,03_ARCHIVES/intelligent-declutter/content-duplicates/YOUTUBE_SEO_STRATEGY_20251125160016.md,19920,0.02,2025-11-25 16:00:16
content-duplicates,ZbKvEl3HkVzilia9jLZ13W9D_1718223649_6106079.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/ZbKvEl3HkVzilia9jLZ13W9D_1718223649_6106079.jpg,193879,0.18,2025-11-03 19:17:48
content-duplicates,batch_quality_improver.py,03_ARCHIVES/intelligent-declutter/content-duplicates/batch_quality_improver.py,33902,0.03,2025-11-01 03:06:46
content-duplicates,code_interpreter.md,03_ARCHIVES/intelligent-declutter/content-duplicates/code_interpreter.md,10630,0.01,2025-10-15 17:32:10
content-duplicates,comprehensive_codebase_analyzer.py,03_ARCHIVES/intelligent-declutter/content-duplicates/comprehensive_codebase_analyzer.py,28570,0.03,2025-11-01 03:06:46
content-duplicates,comprehensive_fix_implementer.py,03_ARCHIVES/intelligent-declutter/content-duplicates/comprehensive_fix_implementer.py,25700,0.02,2025-11-01 03:06:46
content-duplicates,deepdive_analysis_20260105_014740.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/deepdive_analysis_20260105_014740.csv,3971509,3.79,2026-01-05 02:55:28
content-duplicates,deepdive_analysis_20260105_015827.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/deepdive_analysis_20260105_015827.csv,27666,0.03,2026-01-05 01:59:19
content-duplicates,editor_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/editor_base.md,19299,0.02,2025-10-15 17:32:09
content-duplicates,financial_projections.md,03_ARCHIVES/intelligent-declutter/content-duplicates/financial_projections.md,36072,0.03,2026-01-12 17:37:07
content-duplicates,fundamental_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/fundamental_base.md,18491,0.02,2025-10-15 17:32:10
content-duplicates,hipaa-compliance-guide.md,03_ARCHIVES/intelligent-declutter/content-duplicates/hipaa-compliance-guide.md,69968,0.07,2026-01-12 17:22:39
content-duplicates,image_data-09-05-12-37.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/image_data-09-05-12-37.csv,7172039,6.84,2025-11-01 03:06:52
content-duplicates,improved_common_utilities.py,03_ARCHIVES/intelligent-declutter/content-duplicates/improved_common_utilities.py,21713,0.02,2025-11-01 03:06:46
content-duplicates,intelligent_hh_index.html,03_ARCHIVES/intelligent-declutter/content-duplicates/intelligent_hh_index.html,59840,0.06,2025-11-03 19:16:11
content-duplicates,invoice-templates.md,03_ARCHIVES/intelligent-declutter/content-duplicates/invoice-templates.md,124081,0.12,2026-01-12 17:37:07
content-duplicates,invoice_template.md,03_ARCHIVES/intelligent-declutter/content-duplicates/invoice_template.md,31505,0.03,2026-01-12 17:36:32
content-duplicates,macro_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/macro_base.md,17878,0.02,2025-10-15 17:32:09
content-duplicates,nEUyyabJOWZBPvALpzvO7KLD_1718223648_7467039.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/nEUyyabJOWZBPvALpzvO7KLD_1718223648_7467039.jpg,194187,0.19,2025-11-03 19:17:46
content-duplicates,nYgTzx0COwtBoCFiY8StQgz5_1718221486_2981536.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/nYgTzx0COwtBoCFiY8StQgz5_1718221486_2981536.jpg,169437,0.16,2025-11-03 19:17:47
content-duplicates,new-index.html,03_ARCHIVES/intelligent-declutter/content-duplicates/new-index.html,71485,0.07,2025-11-03 19:16:11
content-duplicates,pricing-guide.md,03_ARCHIVES/intelligent-declutter/content-duplicates/pricing-guide.md,63253,0.06,2026-01-12 17:36:32
content-duplicates,pricing_summary.md,03_ARCHIVES/intelligent-declutter/content-duplicates/pricing_summary.md,32449,0.03,2026-01-12 17:37:07
content-duplicates,pythons_duplicates_report.md,03_ARCHIVES/intelligent-declutter/content-duplicates/pythons_duplicates_report.md,6348,0.01,2026-01-01 11:11:45
content-duplicates,quant_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/quant_base.md,21989,0.02,2025-10-15 17:32:10
content-duplicates,quantum-style-index.html,03_ARCHIVES/intelligent-declutter/content-duplicates/quantum-style-index.html,53367,0.05,2025-11-03 19:16:11
content-duplicates,quantumforgelabs-content-plan.md,03_ARCHIVES/intelligent-declutter/content-duplicates/quantumforgelabs-content-plan.md,64387,0.06,2025-10-19 23:34:16
content-duplicates,revenue_streams.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/revenue_streams.csv,992,0.0,2026-01-12 17:21:50
content-duplicates,tool_retry_prompt.md,03_ARCHIVES/intelligent-declutter/content-duplicates/tool_retry_prompt.md,11425,0.01,2025-10-15 17:32:10
content-duplicates,ultra_seo_hh_index.html,03_ARCHIVES/intelligent-declutter/content-duplicates/ultra_seo_hh_index.html,64453,0.06,2025-11-03 19:16:11
content-duplicates,upwork-strategy.md,03_ARCHIVES/intelligent-declutter/content-duplicates/upwork-strategy.md,54792,0.05,2026-01-12 17:22:39
content-duplicates,utility_functions.py,03_ARCHIVES/intelligent-declutter/content-duplicates/utility_functions.py,5615,0.01,2025-11-01 03:06:46
content-duplicates,waLL-art.md,03_ARCHIVES/intelligent-declutter/content-duplicates/waLL-art.md,18468,0.02,2025-10-15 17:31:44
duplicate-strategies,$10K_RETURN_CUSTOMER_STRATEGY_20251125155413.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/$10K_RETURN_CUSTOMER_STRATEGY_20251125155413.md,18469,0.02,2025-11-25 15:54:13
duplicate-strategies,"Integration_Strategy_Two_Sites,_One_Universe.md","03_ARCHIVES/intelligent-declutter/duplicate-strategies/Integration_Strategy_Two_Sites,_One_Universe.md",109871,0.1,2026-01-12 17:22:39
duplicate-strategies,QUANTUM_AI_AUTOMATION_BRAND_STRATEGY.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/QUANTUM_AI_AUTOMATION_BRAND_STRATEGY.md,16828,0.02,2026-01-12 17:22:39
duplicate-strategies,QUANTUM_AI_EMPIRE-_ADVANCED_IMPLEMENTATION_&_SCALING_STRATEGY.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/QUANTUM_AI_EMPIRE-_ADVANCED_IMPLEMENTATION_&_SCALING_STRATEGY.md,36259,0.03,2026-01-12 17:22:39
duplicate-strategies,automated-valentine-s-day-product-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/automated-valentine-s-day-product-strategy.md,1110997,1.06,2025-10-07 16:51:43
duplicate-strategies,behance-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/behance-strategy.md,59506,0.06,2026-01-12 17:22:39
duplicate-strategies,brand-integration-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/brand-integration-strategy.md,65296,0.06,2026-01-12 17:22:39
duplicate-strategies,brand-strategy-and-seo-optimization-guide.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/brand-strategy-and-seo-optimization-guide.md,185002,0.18,2025-10-07 16:51:42
duplicate-strategies,connection-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/connection-strategy.md,63766,0.06,2026-01-12 17:22:39
duplicate-strategies,content-strategy-overview.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/content-strategy-overview.md,58735,0.06,2026-01-12 17:22:39
duplicate-strategies,conversation-ai-alchemy-project-portfolio-strategy-guide.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/conversation-ai-alchemy-project-portfolio-strategy-guide.md,899287,0.86,2026-01-12 17:22:42
duplicate-strategies,conversation-ai-domain-strategy-and-seo-master-plan.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/conversation-ai-domain-strategy-and-seo-master-plan.md,417841,0.4,2026-01-12 17:22:42
duplicate-strategies,dual-domain-seo-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/dual-domain-seo-strategy.md,15663,0.01,2026-01-12 17:22:39
duplicate-strategies,gainesville-content-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/gainesville-content-strategy.md,70656,0.07,2026-01-12 17:22:39
duplicate-strategies,gainesville-fl-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/gainesville-fl-strategy.md,67466,0.06,2026-01-12 17:22:39
duplicate-strategies,linkedin-seo-and-brand-optimization-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/linkedin-seo-and-brand-optimization-strategy.md,399869,0.38,2025-10-07 16:51:42
duplicate-strategies,linkedin_strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/linkedin_strategy.md,29607,0.03,2026-01-12 17:22:39
duplicate-strategies,marketing_strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/marketing_strategy.md,38817,0.04,2026-01-12 17:22:39
duplicate-strategies,traptalk-s-hip-hop-celebrity-scandal-strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/traptalk-s-hip-hop-celebrity-scandal-strategy.md,17206,0.02,2025-10-07 16:51:42
duplicate-strategies,youtube_strategy.md,03_ARCHIVES/intelligent-declutter/duplicate-strategies/youtube_strategy.md,10268,0.01,2026-01-12 17:22:39
intelligent-declutter,.DS_Store,03_ARCHIVES/intelligent-declutter/.DS_Store,8196,0.01,2026-01-12 18:56:50
intelligent-declutter,DOCUMENTATION.md,03_ARCHIVES/intelligent-declutter/DOCUMENTATION.md,747,0.0,2025-10-25 09:58:07
intelligent-declutter,LICENSE.txt,03_ARCHIVES/intelligent-declutter/LICENSE.txt,854,0.0,2025-10-25 09:58:07
intelligent-declutter,README.md,03_ARCHIVES/intelligent-declutter/README.md,478,0.0,2025-10-25 09:58:07
intelligent-declutter,advanced_content_pipeline.py,03_ARCHIVES/intelligent-declutter/advanced_content_pipeline.py,13706,0.01,2025-11-03 11:22:22
intelligent-declutter,batch processing (1).md,03_ARCHIVES/intelligent-declutter/batch processing (1).md,142264,0.14,2025-10-27 06:35:11
intelligent-declutter,category_analysis.html,03_ARCHIVES/intelligent-declutter/category_analysis.html,10027,0.01,2025-10-27 16:13:23
intelligent-declutter,codex_analysis.html,03_ARCHIVES/intelligent-declutter/codex_analysis.html,17329,0.02,2025-10-27 16:13:23
intelligent-declutter,dashboard.html,03_ARCHIVES/intelligent-declutter/dashboard.html,15954,0.02,2025-10-27 16:13:23
intelligent-declutter,dedupe_removal_plan.csv,03_ARCHIVES/intelligent-declutter/dedupe_removal_plan.csv,170200,0.16,2026-01-03 19:11:57
intelligent-declutter,depth_analysis.html,03_ARCHIVES/intelligent-declutter/depth_analysis.html,4274,0.0,2025-10-27 16:13:37
intelligent-declutter,docs_system_summarized.html,03_ARCHIVES/intelligent-declutter/docs_system_summarized.html,37256,0.04,2026-01-12 17:50:40
intelligent-declutter,duplicate_analysis.html,03_ARCHIVES/intelligent-declutter/duplicate_analysis.html,18496,0.02,2025-10-27 16:13:23
intelligent-declutter,improved_hh_index.html,03_ARCHIVES/intelligent-declutter/improved_hh_index.html,50703,0.05,2025-11-03 19:16:11
intelligent-declutter,index-bg-ai.html,03_ARCHIVES/intelligent-declutter/index-bg-ai.html,96500,0.09,2025-11-03 19:16:12
intelligent-declutter,index2.html,03_ARCHIVES/intelligent-declutter/index2.html,59878,0.06,2025-11-03 19:16:11
intelligent-declutter,interactive_tree.html,03_ARCHIVES/intelligent-declutter/interactive_tree.html,16215,0.02,2025-10-27 16:13:23
intelligent-declutter,master_revenue_dashboard.py,03_ARCHIVES/intelligent-declutter/master_revenue_dashboard.py,15584,0.01,2025-10-25 08:00:46
