category,subcategory,file_name,file_extension,size_bytes,size_kb,size_mb,date_archived,relative_path,full_path
content-duplicates,,ADVANCED_ORGANIZATION_MIGRATION_20260101_142517.csv,.csv,477125,465.94,0.455,2026-01-01,content-duplicates/ADVANCED_ORGANIZATION_MIGRATION_20260101_142517.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/ADVANCED_ORGANIZATION_MIGRATION_20260101_142517.csv
content-duplicates,,AI_INTEGRATION_GUIDE.md,.md,17879,17.46,0.0171,2026-01-12,content-duplicates/AI_INTEGRATION_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/AI_INTEGRATION_GUIDE.md
content-duplicates,,API_KEY_INVENTORY_COMPLETE_20251105_075949.csv,.csv,21911,21.4,0.0209,2025-11-05,content-duplicates/API_KEY_INVENTORY_COMPLETE_20251105_075949.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/API_KEY_INVENTORY_COMPLETE_20251105_075949.csv
content-duplicates,,AUDIO_LATEST_1853.csv,.csv,233806,228.33,0.223,2025-12-03,content-duplicates/AUDIO_LATEST_1853.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/AUDIO_LATEST_1853.csv
content-duplicates,,AVATARARTS_INTEGRATION_GUIDE.md,.md,14675,14.33,0.014,2026-01-12,content-duplicates/AVATARARTS_INTEGRATION_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/AVATARARTS_INTEGRATION_GUIDE.md
content-duplicates,,DETAILED_HANDOFF_20260101.md,.md,16745,16.35,0.016,2026-01-01,content-duplicates/DETAILED_HANDOFF_20260101.md,03_ARCHIVES/intelligent-declutter/content-duplicates/DETAILED_HANDOFF_20260101.md
content-duplicates,,DOCUMENTS_INDEX_20260101_124027.md,.md,10176,9.94,0.0097,2026-01-01,content-duplicates/DOCUMENTS_INDEX_20260101_124027.md,03_ARCHIVES/intelligent-declutter/content-duplicates/DOCUMENTS_INDEX_20260101_124027.md
content-duplicates,,DOCUMENTS_INVENTORY_20260101_124231.csv,.csv,642905,627.84,0.6131,2026-01-01,content-duplicates/DOCUMENTS_INVENTORY_20260101_124231.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/DOCUMENTS_INVENTORY_20260101_124231.csv
content-duplicates,,HOME_DEEPDIVE_INVENTORY_20260101_113116.csv,.csv,68284,66.68,0.0651,2026-01-01,content-duplicates/HOME_DEEPDIVE_INVENTORY_20260101_113116.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/HOME_DEEPDIVE_INVENTORY_20260101_113116.csv
content-duplicates,,IMAGES_LATEST_49499.csv,.csv,9676634,9449.84,9.2284,2025-12-03,content-duplicates/IMAGES_LATEST_49499.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/IMAGES_LATEST_49499.csv
content-duplicates,,IMPLEMENTATION_GUIDE_$10K_20251125155416.md,.md,10204,9.96,0.0097,2025-11-25,content-duplicates/IMPLEMENTATION_GUIDE_$10K_20251125155416.md,03_ARCHIVES/intelligent-declutter/content-duplicates/IMPLEMENTATION_GUIDE_$10K_20251125155416.md
content-duplicates,,JdZnK1a4Lrr7K7ZWhPymzvn9_1718220247_5971773.jpg,.jpg,227636,222.3,0.2171,2025-11-03,content-duplicates/JdZnK1a4Lrr7K7ZWhPymzvn9_1718220247_5971773.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/JdZnK1a4Lrr7K7ZWhPymzvn9_1718220247_5971773.jpg
content-duplicates,,MULTIFOLDER_DEEPDIVE_20260101_134316_CONSOLIDATION.csv,.csv,25678,25.08,0.0245,2026-01-01,content-duplicates/MULTIFOLDER_DEEPDIVE_20260101_134316_CONSOLIDATION.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/MULTIFOLDER_DEEPDIVE_20260101_134316_CONSOLIDATION.csv
content-duplicates,,PYTHON_INVENTORY_20260101_093208.csv,.csv,1828463,1785.61,1.7438,2026-01-01,content-duplicates/PYTHON_INVENTORY_20260101_093208.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/PYTHON_INVENTORY_20260101_093208.csv
content-duplicates,,Python Automation Repository.md,.md,18545,18.11,0.0177,2025-11-27,content-duplicates/Python Automation Repository.md,03_ARCHIVES/intelligent-declutter/content-duplicates/Python Automation Repository.md
content-duplicates,,QUICK_START_GUIDE.md,.md,57884,56.53,0.0552,2026-01-12,content-duplicates/QUICK_START_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/QUICK_START_GUIDE.md
content-duplicates,,REINDEX_20260101_141107_FILES.csv,.csv,4994872,4877.8,4.7635,2026-01-01,content-duplicates/REINDEX_20260101_141107_FILES.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/REINDEX_20260101_141107_FILES.csv
content-duplicates,,SCRIPTS_AND_ORGANIZATION_PREVIEW_20251125153947.csv,.csv,18768,18.33,0.0179,2025-11-25,content-duplicates/SCRIPTS_AND_ORGANIZATION_PREVIEW_20251125153947.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/SCRIPTS_AND_ORGANIZATION_PREVIEW_20251125153947.csv
content-duplicates,,SERVICES_101_GUIDE.md,.md,8473,8.27,0.0081,2026-01-12,content-duplicates/SERVICES_101_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/SERVICES_101_GUIDE.md
content-duplicates,,STYLE_IMPROVEMENTS_GUIDE.md,.md,1879,1.83,0.0018,2026-01-12,content-duplicates/STYLE_IMPROVEMENTS_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/STYLE_IMPROVEMENTS_GUIDE.md
content-duplicates,,THE_DIGITAL_EMPIRE_NARRATIVE_20251125155411.md,.md,19354,18.9,0.0185,2025-11-25,content-duplicates/THE_DIGITAL_EMPIRE_NARRATIVE_20251125155411.md,03_ARCHIVES/intelligent-declutter/content-duplicates/THE_DIGITAL_EMPIRE_NARRATIVE_20251125155411.md
content-duplicates,,THE_NOVICES_GUIDE_TO_REVENUE_GENERATION_FROM_ZERO_TO_MILLIONAIRE.md,.md,11241,10.98,0.0107,2026-01-12,content-duplicates/THE_NOVICES_GUIDE_TO_REVENUE_GENERATION_FROM_ZERO_TO_MILLIONAIRE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/THE_NOVICES_GUIDE_TO_REVENUE_GENERATION_FROM_ZERO_TO_MILLIONAIRE.md
content-duplicates,,ULTRA_DEEP_REINDEX_20260101_142317_FILES.csv,.csv,5000671,4883.47,4.769,2026-01-01,content-duplicates/ULTRA_DEEP_REINDEX_20260101_142317_FILES.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/ULTRA_DEEP_REINDEX_20260101_142317_FILES.csv
content-duplicates,,ULTRA_DEEP_REINDEX_20260101_142603_FILES.csv,.csv,5006053,4888.72,4.7741,2026-01-01,content-duplicates/ULTRA_DEEP_REINDEX_20260101_142603_FILES.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/ULTRA_DEEP_REINDEX_20260101_142603_FILES.csv
content-duplicates,,WEBSITE_101_GUIDE.md,.md,6156,6.01,0.0059,2026-01-12,content-duplicates/WEBSITE_101_GUIDE.md,03_ARCHIVES/intelligent-declutter/content-duplicates/WEBSITE_101_GUIDE.md
content-duplicates,,YOUTUBE_SEO_STRATEGY_20251125160016.md,.md,19920,19.45,0.019,2025-11-25,content-duplicates/YOUTUBE_SEO_STRATEGY_20251125160016.md,03_ARCHIVES/intelligent-declutter/content-duplicates/YOUTUBE_SEO_STRATEGY_20251125160016.md
content-duplicates,,ZbKvEl3HkVzilia9jLZ13W9D_1718223649_6106079.jpg,.jpg,193879,189.33,0.1849,2025-11-03,content-duplicates/ZbKvEl3HkVzilia9jLZ13W9D_1718223649_6106079.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/ZbKvEl3HkVzilia9jLZ13W9D_1718223649_6106079.jpg
content-duplicates,,batch_quality_improver.py,.py,33902,33.11,0.0323,2025-11-01,content-duplicates/batch_quality_improver.py,03_ARCHIVES/intelligent-declutter/content-duplicates/batch_quality_improver.py
content-duplicates,,code_interpreter.md,.md,10630,10.38,0.0101,2025-10-15,content-duplicates/code_interpreter.md,03_ARCHIVES/intelligent-declutter/content-duplicates/code_interpreter.md
content-duplicates,,comprehensive_codebase_analyzer.py,.py,28570,27.9,0.0272,2025-11-01,content-duplicates/comprehensive_codebase_analyzer.py,03_ARCHIVES/intelligent-declutter/content-duplicates/comprehensive_codebase_analyzer.py
content-duplicates,,comprehensive_fix_implementer.py,.py,25700,25.1,0.0245,2025-11-01,content-duplicates/comprehensive_fix_implementer.py,03_ARCHIVES/intelligent-declutter/content-duplicates/comprehensive_fix_implementer.py
content-duplicates,,deepdive_analysis_20260105_014740.csv,.csv,3971509,3878.43,3.7875,2026-01-05,content-duplicates/deepdive_analysis_20260105_014740.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/deepdive_analysis_20260105_014740.csv
content-duplicates,,deepdive_analysis_20260105_015827.csv,.csv,27666,27.02,0.0264,2026-01-05,content-duplicates/deepdive_analysis_20260105_015827.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/deepdive_analysis_20260105_015827.csv
content-duplicates,,editor_base.md,.md,19299,18.85,0.0184,2025-10-15,content-duplicates/editor_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/editor_base.md
content-duplicates,,financial_projections.md,.md,36072,35.23,0.0344,2026-01-12,content-duplicates/financial_projections.md,03_ARCHIVES/intelligent-declutter/content-duplicates/financial_projections.md
content-duplicates,,fundamental_base.md,.md,18491,18.06,0.0176,2025-10-15,content-duplicates/fundamental_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/fundamental_base.md
content-duplicates,,hipaa-compliance-guide.md,.md,69968,68.33,0.0667,2026-01-12,content-duplicates/hipaa-compliance-guide.md,03_ARCHIVES/intelligent-declutter/content-duplicates/hipaa-compliance-guide.md
content-duplicates,,image_data-09-05-12-37.csv,.csv,7172039,7003.94,6.8398,2025-11-01,content-duplicates/image_data-09-05-12-37.csv,03_ARCHIVES/intelligent-declutter/content-duplicates/image_data-09-05-12-37.csv
content-duplicates,,improved_common_utilities.py,.py,21713,21.2,0.0207,2025-11-01,content-duplicates/improved_common_utilities.py,03_ARCHIVES/intelligent-declutter/content-duplicates/improved_common_utilities.py
content-duplicates,,intelligent_hh_index.html,.html,59840,58.44,0.0571,2025-11-03,content-duplicates/intelligent_hh_index.html,03_ARCHIVES/intelligent-declutter/content-duplicates/intelligent_hh_index.html
content-duplicates,,invoice-templates.md,.md,124081,121.17,0.1183,2026-01-12,content-duplicates/invoice-templates.md,03_ARCHIVES/intelligent-declutter/content-duplicates/invoice-templates.md
content-duplicates,,invoice_template.md,.md,31505,30.77,0.03,2026-01-12,content-duplicates/invoice_template.md,03_ARCHIVES/intelligent-declutter/content-duplicates/invoice_template.md
content-duplicates,,macro_base.md,.md,17878,17.46,0.017,2025-10-15,content-duplicates/macro_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/macro_base.md
content-duplicates,,nEUyyabJOWZBPvALpzvO7KLD_1718223648_7467039.jpg,.jpg,194187,189.64,0.1852,2025-11-03,content-duplicates/nEUyyabJOWZBPvALpzvO7KLD_1718223648_7467039.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/nEUyyabJOWZBPvALpzvO7KLD_1718223648_7467039.jpg
content-duplicates,,nYgTzx0COwtBoCFiY8StQgz5_1718221486_2981536.jpg,.jpg,169437,165.47,0.1616,2025-11-03,content-duplicates/nYgTzx0COwtBoCFiY8StQgz5_1718221486_2981536.jpg,03_ARCHIVES/intelligent-declutter/content-duplicates/nYgTzx0COwtBoCFiY8StQgz5_1718221486_2981536.jpg
content-duplicates,,new-index.html,.html,71485,69.81,0.0682,2025-11-03,content-duplicates/new-index.html,03_ARCHIVES/intelligent-declutter/content-duplicates/new-index.html
content-duplicates,,pricing-guide.md,.md,63253,61.77,0.0603,2026-01-12,content-duplicates/pricing-guide.md,03_ARCHIVES/intelligent-declutter/content-duplicates/pricing-guide.md
content-duplicates,,pricing_summary.md,.md,32449,31.69,0.0309,2026-01-12,content-duplicates/pricing_summary.md,03_ARCHIVES/intelligent-declutter/content-duplicates/pricing_summary.md
content-duplicates,,pythons_duplicates_report.md,.md,6348,6.2,0.0061,2026-01-01,content-duplicates/pythons_duplicates_report.md,03_ARCHIVES/intelligent-declutter/content-duplicates/pythons_duplicates_report.md
content-duplicates,,quant_base.md,.md,21989,21.47,0.021,2025-10-15,content-duplicates/quant_base.md,03_ARCHIVES/intelligent-declutter/content-duplicates/quant_base.md
content-duplicates,,quantum-style-index.html,.html,53367,52.12,0.0509,2025-11-03,content-duplicates/quantum-style-index.html,03_ARCHIVES/intelligent-declutter/content-duplicates/quantum-style-index.html
