category,file_count,total_size_mb,total_size_gb
content-duplicates,58,39.23,0.0383
duplicate-strategies,20,3.52,0.0034
intelligent-declutter,27,0.71,0.0007
music-analysis,24,0.04,0.0
music-analysis/A New Dawn,1,0.0,0.0
music-analysis/A New Dawn (1),1,0.0,0.0
music-analysis/Beautiful_Mess_Indie_Folk_Acoustic,1,0.0,0.0
music-analysis/Beautiful_Mess_Indie_Folk_Acoustic/Beautiful_Mess_Indie_Folk_Acoustic,1,0.0,0.0
music-analysis/Beautiful_Mess_Whimsical_Story,2,0.0,0.0
music-analysis/Beautiful_Mess_Whimsical_Story/Beautiful_Mess_Whimsical_Story,1,0.0,0.0
music-analysis/Beautiful_Mess_v4,1,0.0,0.0
music-analysis/Bite-in-the-night-acapella,1,0.0,0.0
music-analysis/Down_the_Witchs_Road,1,0.0,0.0
music-analysis/Down_the_Witchs_Road/Down_the_Witchs_Road,1,0.0,0.0
music-analysis/Dusty_Rhymes_and_Grime,2,0.0,0.0
music-analysis/Dusty_Rhymes_and_Grime/Dusty_Rhymes_and_Grime,1,0.0,0.0
music-analysis/Echoes_in_the_Alley,2,0.01,0.0
music-analysis/Echoes_in_the_Alley/Echoes_in_the_Alley,1,0.0,0.0
music-analysis/Echoes_of_Moonlight-v4,2,0.0,0.0
music-analysis/Echoes_of_Moonlight-v4/Echoes_of_Moonlight-v4,1,0.0,0.0
music-analysis/Echoes_of_Yesterday-v4,1,0.0,0.0
music-analysis/Echoes_of_Yesterday-v4/Echoes_of_Yesterday-v4,1,0.0,0.0
music-analysis/Echoes_of_the_Alley_Blues,1,0.0,0.0
music-analysis/Echoes_of_the_Alley_Blues/Echoes_of_the_Alley_Blues,1,0.0,0.0
music-analysis/Echoes_of_the_Junkyard-v4,1,0.0,0.0
music-analysis/Echoes_of_the_Junkyard-v4/Echoes_of_the_Junkyard-v4,1,0.0,0.0
music-analysis/Echoes_of_the_Junkyard_v4_2,1,0.0,0.0
music-analysis/Echoes_of_the_Junkyard_v4_2/Echoes_of_the_Junkyard_v4_2,1,0.0,0.0
music-analysis/Enchanted_Woods_Song_Adventure,2,0.0,0.0
music-analysis/Enchanted_Woods_Song_Adventure/Enchanted_Woods_Song_Adventure,1,0.0,0.0
music-analysis/Folk Song of a Dark Traveler202,1,0.0,0.0
music-analysis/Folk Song of a Dark Traveler224,1,0.0,0.0
music-analysis/Folk Song of a Dark Traveler234,1,0.0,0.0
music-analysis/Folk Song of a Dark Traveler253,1,0.0,0.0
music-analysis/Folk Song of a Dark Traveler259,1,0.0,0.0
music-analysis/From_Ashes_I_Will_Rise,2,0.0,0.0
music-analysis/From_Ashes_I_Will_Rise/From_Ashes_I_Will_Rise,1,0.0,0.0
music-analysis/Heartbeats_in_the_Dark-v4,1,0.0,0.0
music-analysis/Heartbeats_in_the_Dark-v4/Heartbeats_in_the_Dark-v4,1,0.0,0.0
music-analysis/Heartbeats_in_the_Dark-v4_2,1,0.0,0.0
music-analysis/Heartbeats_in_the_Dark-v4_2/Heartbeats_in_the_Dark-v4_2,1,0.0,0.0
