Filename,Duration,File Size,Creation Date,Original Path
speech.mp3,0:03,68.44 KB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/DEVELOPMENT/UTILITIES_TOOLS/tools/archived/media_files/speech.mp3
Unifying_Authority_and_Hardening_AI_Systems.m4a,Unknown,Unknown,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/DEVELOPMENT/AI_TOOLS/Ai-Empire/Unifying_Authority_and_Hardening_AI_Systems.m4a
Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a,59:05,61.28 MB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/DEVELOPMENT/AI_TOOLS/Ai-Empire/Building_a_Multimillion_Dollar_AI_Empire_Blueprint.m4a
heavenlyhands-jingle44.mp3,0:45,1002.63 KB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/BUSINESS/heavenlyHands/assets/audio/jingles/heavenlyhands-jingle44.mp3
heavenlyhands-jingle44-2.mp3,0:44,959.58 KB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/BUSINESS/heavenlyHands/assets/audio/jingles/heavenlyhands-jingle44-2.mp3
heavenlyhands-jingle44-3.mp3,0:44,995.39 KB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/BUSINESS/heavenlyHands/assets/audio/jingles/heavenlyhands-jingle44-3.mp3
heavenlyhands-jingle52.mp3,0:54,1.15 MB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/BUSINESS/heavenlyHands/assets/audio/jingles/heavenlyhands-jingle52.mp3
heavenlyhands-jingle151.mp3,1:51,2.45 MB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/BUSINESS/heavenlyHands/assets/audio/jingles/heavenlyhands-jingle151.mp3
heavenlyhands-jingle125.mp3,1:25,1.68 MB,01-14-26,/Users/steven/AVATARARTS/00_ACTIVE/BUSINESS/heavenlyHands/assets/audio/jingles/heavenlyhands-jingle125.mp3
angry.mp3,0:56,1.29 MB,01-17-26,/Users/steven/AVATARARTS/Automations/Comicfy.ai-main/client/src/assets/songs/angry.mp3
scary.mp3,2:19,4.25 MB,01-17-26,/Users/steven/AVATARARTS/Automations/Comicfy.ai-main/client/src/assets/songs/scary.mp3
joyful.mp3,2:24,4.42 MB,01-17-26,/Users/steven/AVATARARTS/Automations/Comicfy.ai-main/client/src/assets/songs/joyful.mp3
sad.mp3,4:12,7.71 MB,01-17-26,/Users/steven/AVATARARTS/Automations/Comicfy.ai-main/client/src/assets/songs/sad.mp3
podcast.wav,Unknown,Unknown,01-17-26,/Users/steven/AVATARARTS/Automations/Local-NotebookLM-main/examples/podcast.wav
real NLM's output_for test.wav,Unknown,Unknown,01-17-26,/Users/steven/AVATARARTS/Automations/automated-notebooklm-main/src/__tests__/fixtures/real NLM's output_for test.wav
podcast_f1bc29aa1c1c42e98f83c6ea14b07add.mp3,19:30,22.33 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/usage/data/audio/podcast_f1bc29aa1c1c42e98f83c6ea14b07add.mp3
podcast_4917be8e74514dd0b3581d61e6719f38.mp3,1:59,2.29 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/usage/data/audio/podcast_4917be8e74514dd0b3581d61e6719f38.mp3
podcast_0ed7b94e89e149ab9732494e4b18b3d7.mp3,2:01,2.33 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/usage/data/audio/podcast_0ed7b94e89e149ab9732494e4b18b3d7.mp3
podcast_da40e428614945579ec1c9819cd4af5e.mp3,2:54,3.32 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/usage/data/audio/podcast_da40e428614945579ec1c9819cd4af5e.mp3
podcast_136cbe471d2c406395b13449b5bc44be.mp3,30:28,34.88 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/usage/data/audio/podcast_136cbe471d2c406395b13449b5bc44be.mp3
podcast_d3a3660df7d94a5991c905bff141322c.mp3,2:15,2.59 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/usage/data/audio/podcast_d3a3660df7d94a5991c905bff141322c.mp3
podcast_8f6bb568da98414cb3a066950e8123e0.mp3,1:41,1.93 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/usage/data/audio/podcast_8f6bb568da98414cb3a066950e8123e0.mp3
podcast_c06620d918d4419884f9c7558a4a2cf1.mp3,3:41,1.69 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/podcast_c06620d918d4419884f9c7558a4a2cf1.mp3
podcast_7b445bb2a1514503911a74a124d4a648.mp3,2:29,583.64 KB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/podcast_7b445bb2a1514503911a74a124d4a648.mp3
Tharsis_AI.mp3,3:54,1.79 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/Tharsis_AI.mp3
abstract_art.mp3,2:23,1.10 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/abstract_art.mp3
taylor_monalisa.mp3,1:54,896.75 KB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/taylor_monalisa.mp3
Tharsis.mp3,2:12,517.17 KB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/Tharsis.mp3
podcast_e1525fed48054896af5645c203138dca.mp3,2:41,632.11 KB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/podcast_e1525fed48054896af5645c203138dca.mp3
podcast_EN-AGRO.mp3,8:51,4.06 MB,01-17-26,/Users/steven/AVATARARTS/Automations/podcastfy-main/data/audio/podcast_EN-AGRO.mp3
