path,name,size,modified,directory
/Users/steven/AVATARARTS/STEVEN_CHAPLINSKI_BRAND_STRATEGY.md,STEVEN_CHAPLINSKI_BRAND_STRATEGY.md,10968,2026-01-16 15:05:32,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🗺️_VISUAL_ROADMAP.md,🗺️_VISUAL_ROADMAP.md,11731,2026-01-16 13:45:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/CONFIGURATION_DIRECTORIES_ANALYSIS.md,CONFIGURATION_DIRECTORIES_ANALYSIS.md,7318,2026-01-16 14:53:39,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/brand_guidelines.md,brand_guidelines.md,6844,2025-10-09 10:47:19,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/gemini_extensions_raw.html,gemini_extensions_raw.html,1949382,2026-01-17 04:26:24,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/WORKSPACE_CLEANUP_ACTION_PLAN.md,WORKSPACE_CLEANUP_ACTION_PLAN.md,15362,2026-01-14 07:34:16,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS_Ecosystem_Comprehensive_Guide.html,AVATARARTS_Ecosystem_Comprehensive_Guide.html,29456,2026-01-16 16:21:19,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/drive-download-20251226T125018Z-3-001.zip,drive-download-20251226T125018Z-3-001.zip,6089101,2025-12-26 07:50:46,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/INFRASTRUCTURE_OPTIMIZED_PLAN.csv,INFRASTRUCTURE_OPTIMIZED_PLAN.csv,41441,2026-01-17 17:01:37,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS_2026_STRATEGIC_KNOWLEDGE_BASE_ANALYSIS.md,AVATARARTS_2026_STRATEGIC_KNOWLEDGE_BASE_ANALYSIS.md,30380,2026-01-16 18:55:12,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/COMPLETE_EVOLUTION_SUMMARY.md,COMPLETE_EVOLUTION_SUMMARY.md,5158,2026-01-15 22:09:28,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/INFRASTRUCTURE_PARENT_AWARE_PLAN.csv,INFRASTRUCTURE_PARENT_AWARE_PLAN.csv,44142,2026-01-17 16:36:28,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/Dual_Monetization_Strategy_Directory_and_Tools_Path_to_10K_MRR.md.md,Dual_Monetization_Strategy_Directory_and_Tools_Path_to_10K_MRR.md.md,17364,2025-11-28 08:28:50,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/requirements.txt,requirements.txt,26,2026-01-17 13:12:43,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/00_MASTER_CONSOLIDATION_PLAN.md,00_MASTER_CONSOLIDATION_PLAN.md,7304,2026-01-13 20:16:15,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/fix_infrastructure_plan.py,fix_infrastructure_plan.py,2297,2026-01-17 16:33:03,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/THREE_PRODUCTS_ROADMAP.md,THREE_PRODUCTS_ROADMAP.md,7251,2026-01-15 22:07:41,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/profile_keywords.csv,profile_keywords.csv,655,2026-01-16 16:47:41,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/drive-download-20251228T182240Z-3-001.zip,drive-download-20251228T182240Z-3-001.zip,2667994,2025-12-28 13:22:47,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/📊_RESEARCH_ANALYSIS_AND_RECOMMENDATIONS.md,📊_RESEARCH_ANALYSIS_AND_RECOMMENDATIONS.md,27236,2026-01-16 13:45:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/drive-download-20251228T181817Z-3-001.zip,drive-download-20251228T181817Z-3-001.zip,3728227,2025-12-28 13:18:39,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/xEo-101.json,xEo-101.json,409562,2026-01-17 12:35:09,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/DIRECTORY_STRUCTURE_REPORT_POST_REORG.md,DIRECTORY_STRUCTURE_REPORT_POST_REORG.md,1059,2026-01-15 21:54:11,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/CONVERSATION_SUMMARY_UPWORK_AUTOMATION.md,CONVERSATION_SUMMARY_UPWORK_AUTOMATION.md,26020,2026-01-16 17:22:02,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🎯_READ_THIS_FIRST.md,🎯_READ_THIS_FIRST.md,4241,2026-01-14 08:55:32,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/etsy_niche_master-v1.tsx,etsy_niche_master-v1.tsx,26605,2026-01-16 19:03:21,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/gemini_xEo_2026-01-17.json,gemini_xEo_2026-01-17.json,260003,2026-01-17 04:06:54,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/COMPREHENSIVE_ASSESSMENT_ENHANCEMENT_RECOMMENDATIONS.md,COMPREHENSIVE_ASSESSMENT_ENHANCEMENT_RECOMMENDATIONS.md,9459,2026-01-16 14:58:26,/Users/steven/AVATARARTS
