Filename,Status,Category,Before_Path,After_Path,Ability_DNA
db_manager.py,KEEP (Master),Infrastructure,./GitHub/gorilla/goex/exec_engine/db_manager.py,~/Documents/CsV/Infrastructure/gorilla/Production/db_manager.py,a310570f5828
cli.py,KEEP (Master),Infrastructure,./GitHub/gorilla/goex/cli.py,~/Documents/CsV/Infrastructure/gorilla/Production/cli.py,adf3c6036d85
main.py,KEEP (Master),Infrastructure,./GitHub/gorilla/goex/main.py,~/Documents/CsV/Infrastructure/gorilla/Production/main.py,a12f067b1c36
demo_system.py,KEEP (Master),Infrastructure,./pythons/projects/BUSINESS_heavenlyHands_intelligent-organization-system/demo_system.py,~/Documents/CsV/Infrastructure/projects/Production/demo_system.py,d089700c3cbb
demo_enhanced_system.py,KEEP (Master),Infrastructure,./pythons/projects/BUSINESS_heavenlyHands_intelligent-organization-system/demo_enhanced_system.py,~/Documents/CsV/Infrastructure/projects/Production/demo_enhanced_system.py,9b43172a9e3b
createdb.py,ARCHIVE (Duplicate),Infrastructure,./pythons/projects/vibrant-chaplygin/pyt/createdb.py,~/Documents/CsV/Archive/Duplicates/24217751/createdb.py,2421775121ff
createdb.py,ARCHIVE (Duplicate),Infrastructure,./pythons/data_processing/createdb.py,~/Documents/CsV/Archive/Duplicates/24217751/createdb.py,2421775121ff
integrations.py,ARCHIVE (Duplicate),Infrastructure,./pythons/frameworks/axolotl-main/src/axolotl/utils/schemas/integrations.py,~/Documents/CsV/Archive/Duplicates/67837ebf/integrations.py,67837ebf2357
miscellaneous_quantize.py,KEEP (Master),Infrastructure,./pythons/final_sorted_scripts/miscellaneous/miscellaneous_quantize.py,~/Documents/CsV/Infrastructure/final_sorted_scripts/Production/miscellaneous_quantize.py,db50cf316bfb
miscellaneous_createdb.py,KEEP (Master),Infrastructure,./pythons/final_sorted_scripts/miscellaneous/miscellaneous_createdb.py,~/Documents/CsV/Infrastructure/final_sorted_scripts/Production/miscellaneous_createdb.py,2421775121ff
miscellaneous_model_shard_quant.py,KEEP (Master),Infrastructure,./pythons/final_sorted_scripts/miscellaneous/miscellaneous_model_shard_quant.py,~/Documents/CsV/Infrastructure/final_sorted_scripts/Production/miscellaneous_model_shard_quant.py,6eb2e5a52f19
miscellaneous_pickleshare.py,KEEP (Master),Infrastructure,./pythons/final_sorted_scripts/miscellaneous/miscellaneous_pickleshare.py,~/Documents/CsV/Infrastructure/final_sorted_scripts/Production/miscellaneous_pickleshare.py,a09d67a51b74
miscellaneous_integrations.py,KEEP (Master),Infrastructure,./pythons/final_sorted_scripts/miscellaneous/miscellaneous_integrations.py,~/Documents/CsV/Infrastructure/final_sorted_scripts/Production/miscellaneous_integrations.py,67837ebf2357
quantize.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/axolotl-main/src/axolotl/kernels/quantize.py,~/Documents/CsV/Archive/Duplicates/db50cf31/quantize.py,db50cf316bfb
lora.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/axolotl-main/src/axolotl/kernels/lora.py,~/Documents/CsV/Infrastructure/Automations/Production/lora.py,dd40346c3954
model_shard_quant.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/axolotl-main/src/axolotl/utils/model_shard_quant.py,~/Documents/CsV/Archive/Duplicates/6eb2e5a5/model_shard_quant.py,6eb2e5a52f19
callbacks.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/axolotl-main/src/axolotl/integrations/diffusion/callbacks.py,~/Documents/CsV/Infrastructure/Automations/Production/callbacks.py,5c0f28e20d91
pdf_downloader.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/auto-paper-digest-main/apd/pdf_downloader.py,~/Documents/CsV/Infrastructure/Automations/Production/pdf_downloader.py,3daefb593457
hf_fetcher.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/auto-paper-digest-main/apd/hf_fetcher.py,~/Documents/CsV/Infrastructure/Automations/Production/hf_fetcher.py,6cacb2a07d37
slack_history.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/slack_history.py,~/Documents/CsV/Infrastructure/Automations/Production/slack_history.py,77f78c57ead3
google_gmail_connector.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/google_gmail_connector.py,~/Documents/CsV/Infrastructure/Automations/Production/google_gmail_connector.py,ad4cc45b2008
notion_history.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/notion_history.py,~/Documents/CsV/Infrastructure/Automations/Production/notion_history.py,90d6cba92c69
confluence_history.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/confluence_history.py,~/Documents/CsV/Infrastructure/Automations/Production/confluence_history.py,5c4439e277be
linear_connector.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/linear_connector.py,~/Documents/CsV/Infrastructure/Automations/Production/linear_connector.py,dca543f9559c
teams_history.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/teams_history.py,~/Documents/CsV/Infrastructure/Automations/Production/teams_history.py,64decfca313b
google_calendar_connector.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/google_calendar_connector.py,~/Documents/CsV/Infrastructure/Automations/Production/google_calendar_connector.py,419ee93339a5
jira_history.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/jira_history.py,~/Documents/CsV/Infrastructure/Automations/Production/jira_history.py,51431e377b9b
teams_connector.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/teams_connector.py,~/Documents/CsV/Infrastructure/Automations/Production/teams_connector.py,194116fe98b9
discord_connector.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/discord_connector.py,~/Documents/CsV/Infrastructure/Automations/Production/discord_connector.py,30d4ba0b9ed4
airtable_history.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/airtable_history.py,~/Documents/CsV/Infrastructure/Automations/Production/airtable_history.py,6a1c88de9481
clickup_history.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/clickup_history.py,~/Documents/CsV/Infrastructure/Automations/Production/clickup_history.py,4f5711c48dfc
content_extractor.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/google_drive/content_extractor.py,~/Documents/CsV/Infrastructure/Automations/Production/content_extractor.py,b2556a10e378
client.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/connectors/google_drive/client.py,~/Documents/CsV/Infrastructure/Automations/Production/client.py,69ebf265323e
blocknote_migration_tasks.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/tasks/celery_tasks/blocknote_migration_tasks.py,~/Documents/CsV/Infrastructure/Automations/Production/blocknote_migration_tasks.py,e958fe2147d4
