name,path,size_mb,modified,has_transcript,has_analysis
in-this--aLLey-where-i-hiDe.MP3,in-this--aLLey-where-i-hiDe.MP3,3.14,2025-01-02T10:58:52,No,Yes
HangDrumInTense.wav,HangDrumInTense.wav,10.11,2025-12-02T19:45:16.001166,No,No
MyFirstMiX.m4a,MyFirstMiX.m4a,264.05,2025-12-24T22:50:57.730105,No,No
Willow_whispers-322.MP3,v4/mp3/Willow_whispers-322/Willow_whispers-322.MP3,3.08,2025-01-01T13:51:52,No,Yes
moonly_alley_howling_banjo2390239_1.mp3,MP3/moonly-alley--howling-banjo239/moonly_alley_howling_banjo2390239_1.mp3,3.91,2026-01-04T16:54:44.730661,No,No
moonly_alley_howling_banjo2390239.mp3,MP3/moonly-alley--howling-banjo239/moonly_alley_howling_banjo2390239.mp3,3.91,2025-12-02T01:24:50.421262,No,No
🇧🇷Lucília.mp3,MP3/🇧🇷Lucília/🇧🇷Lucília.mp3,5.35,2026-01-04T16:53:21.017442,No,No
Graves_Before_Throne.mp3,MP3/Graves_Before_Throne/Graves_Before_Throne.mp3,1.2,2025-12-02T01:24:45.482955,No,Yes
Graves_Before_Throne210.mp3,MP3/Graves_Before_Throne/Graves_Before_Throne210.mp3,2.88,2025-12-02T01:24:45.516537,Yes,Yes
Graves_Before_Throne0000.mp3,MP3/Graves_Before_Throne/Graves_Before_Throne0000.mp3,3.75,2025-12-02T01:24:45.519889,No,Yes
sammy_Midnight_Reckoning_by_DarkSoundEffect3495_Suno_Remix0248.mp3,MP3/sammy_Midnight_Reckoning_by_DarkSoundEffect3495_Suno_Remix/sammy_Midnight_Reckoning_by_DarkSoundEffect3495_Suno_Remix0248.mp3,3.96,2025-12-02T01:24:47.986775,No,No
sammy_Midnight_Reckoning_by_DarkSoundEffect3495___Suno_Remix0248.mp3,MP3/sammy_Midnight_Reckoning_by_DarkSoundEffect3495_Suno_Remix/sammy_Midnight_Reckoning_by_DarkSoundEffect3495___Suno_Remix0248.mp3,3.96,2025-12-02T01:24:48.006505,No,No
Moonly_Alley_Serenade_1.mp3,MP3/Moonly_Alley_Serenade_1/Moonly_Alley_Serenade_1.mp3,4.48,2024-12-31T12:55:10,Yes,Yes
Moonlit_Whispers_Valley.mp3,MP3/Moonlit_Whispers_Valley/Moonlit_Whispers_Valley.mp3,5.46,2025-01-02T10:49:20,Yes,No
Abducted by the Stars.mp3,MP3/Abducted by the Stars/Abducted by the Stars.mp3,5.64,2026-01-04T16:52:47.650386,No,No
Heroes_Rise_-_Villains_Overthrow_Remastered_Remix229227.mp3,MP3/Heroes_Rise__-_Villains_Overthrow_(Remastered)2/Heroes_Rise_-_Villains_Overthrow_Remastered_Remix229227.mp3,3.28,2025-12-02T01:24:47.295380,No,No
Heroes_Rise_Villains_Overthrow_Remastered_Remix1580158.mp3,MP3/Heroes_Rise__-_Villains_Overthrow_(Remastered)2/Heroes_Rise_Villains_Overthrow_Remastered_Remix1580158.mp3,2.68,2025-12-02T01:24:47.317524,No,No
Heroes_Rise_Villains_Overthrow_Remastered20159.mp3,MP3/Heroes_Rise__-_Villains_Overthrow_(Remastered)2/Heroes_Rise_Villains_Overthrow_Remastered20159.mp3,2.73,2025-12-02T01:24:47.344030,No,No
Heroes_Rise_Villains_Overthrow_Remastered0159.mp3,MP3/Heroes_Rise__-_Villains_Overthrow_(Remastered)2/Heroes_Rise_Villains_Overthrow_Remastered0159.mp3,2.73,2025-12-02T01:24:47.360748,No,No
