File Name,Category,Original Path,New Path,Original Relative Path,Status,Category File Count (Before),Category File Count (After)
printify-organize.py,csv,/Users/steven/pythons/printify-organize.py,pythons_reorganized/csv/printify-organize.py,printify-organize.py,Moved,2,2
printify-organize_1.py,csv,/Users/steven/pythons/printify-organize_1.py,pythons_reorganized/csv/printify-organize_1.py,printify-organize_1.py,Moved,2,2
aggressive-python-cleanup.py,os,/Users/steven/pythons/aggressive-python-cleanup.py,pythons_reorganized/os/aggressive-python-cleanup.py,aggressive-python-cleanup.py,Moved,9,9
analyzerr.py,os,/Users/steven/pythons/analyzerr.py,pythons_reorganized/os/analyzerr.py,analyzerr.py,Moved,9,9
convert_text_from_file-organizer.py,os,/Users/steven/pythons/convert_text_from_file-organizer.py,pythons_reorganized/os/convert_text_from_file-organizer.py,convert_text_from_file-organizer.py,Moved,9,9
entrypoints_from_file-organizer.py,os,/Users/steven/pythons/entrypoints_from_file-organizer.py,pythons_reorganized/os/entrypoints_from_file-organizer.py,entrypoints_from_file-organizer.py,Moved,9,9
get_vid_from_file-organizer.py,os,/Users/steven/pythons/get_vid_from_file-organizer.py,pythons_reorganized/os/get_vid_from_file-organizer.py,get_vid_from_file-organizer.py,Moved,9,9
hash_subtitle_from_file-organizer.py,os,/Users/steven/pythons/hash_subtitle_from_file-organizer.py,pythons_reorganized/os/hash_subtitle_from_file-organizer.py,hash_subtitle_from_file-organizer.py,Moved,9,9
proc_vid_from_file-organizer.py,os,/Users/steven/pythons/proc_vid_from_file-organizer.py,pythons_reorganized/os/proc_vid_from_file-organizer.py,proc_vid_from_file-organizer.py,Moved,9,9
test_setup_from_file-organizer.py,os,/Users/steven/pythons/test_setup_from_file-organizer.py,pythons_reorganized/os/test_setup_from_file-organizer.py,test_setup_from_file-organizer.py,Moved,9,9
test_transcribe_5_files.py,os,/Users/steven/pythons/test_transcribe_5_files.py,pythons_reorganized/os/test_transcribe_5_files.py,test_transcribe_5_files.py,Moved,9,9
check_vid_from_file-organizer.py,pandas,/Users/steven/pythons/check_vid_from_file-organizer.py,pythons_reorganized/pandas/check_vid_from_file-organizer.py,check_vid_from_file-organizer.py,Moved,4,4
cleanup2_from_03_utilities.py,pandas,/Users/steven/pythons/cleanup2_from_03_utilities.py,pythons_reorganized/pandas/cleanup2_from_03_utilities.py,cleanup2_from_03_utilities.py,Moved,4,4
cleanup_from_03_utilities.py,pandas,/Users/steven/pythons/cleanup_from_03_utilities.py,pythons_reorganized/pandas/cleanup_from_03_utilities.py,cleanup_from_03_utilities.py,Moved,4,4
organize_csv.py,pandas,/Users/steven/pythons/organize_csv.py,pythons_reorganized/pandas/organize_csv.py,organize_csv.py,Moved,4,4
check_empty.py,pathlib,/Users/steven/pythons/check_empty.py,pythons_reorganized/pathlib/check_empty.py,check_empty.py,Moved,6,6
merge_and_remove.py,pathlib,/Users/steven/pythons/merge_and_remove.py,pythons_reorganized/pathlib/merge_and_remove.py,merge_and_remove.py,Moved,6,6
merge_dirs.py,pathlib,/Users/steven/pythons/merge_dirs.py,pythons_reorganized/pathlib/merge_dirs.py,merge_dirs.py,Moved,6,6
merge_zips.py,pathlib,/Users/steven/pythons/merge_zips.py,pythons_reorganized/pathlib/merge_zips.py,merge_zips.py,Moved,6,6
organizer_from_video-downloader.py,pathlib,/Users/steven/pythons/organizer_from_video-downloader.py,pythons_reorganized/pathlib/organizer_from_video-downloader.py,organizer_from_video-downloader.py,Moved,6,6
remove_merge_diff.py,pathlib,/Users/steven/pythons/remove_merge_diff.py,pythons_reorganized/pathlib/remove_merge_diff.py,remove_merge_diff.py,Moved,6,6

SUMMARY
Metric,Before,After,Change
Total Files,21,21,0
Categories,4,4,0
Dry Run,No,,

CATEGORY SUMMARY
Category,File Count (Before),File Count (After),Change
csv,2,2,0
os,9,9,0
pandas,4,4,0
pathlib,6,6,0
