File,Category,Category_ID,Complexity,Functions,Classes,Top_Imports
batch_dupe_content_analyzer.py,ast,9,52,10,1,"os, sys, csv, hashlib, ast"
cleanups.py,pathlib_analysis,4,7,2,0,"os, subprocess"
test_transcribe_5.py,os,0,0,0,0,"sys, pathlib, create_missing_transcripts"
ecosystem_analyzer.py,pathlib,6,38,9,1,"os, sys, json, hashlib, pathlib"
auto_cleanup.py,pathlib,3,10,3,0,"json, os, shutil"
organize_project2025_subdirs.py,os,0,18,4,0,"argparse, os, shutil"
merge_zips.py,sys,1,27,1,0,"sys, zipfile, pathlib, collections, os"
content_based_duplicate_analyzer.py,ast,9,40,9,1,"os, sys, csv, hashlib, ast"
extract_vid_from_file-organizer.py,os,0,19,4,0,"os, subprocess, zipfile, requests"
organize (1).py,csv,8,3,1,0,"csv, os, shutil"
CONTENT_SIMILARITY_SCANNER.py,ast,9,43,8,1,"ast, hashlib, pathlib, collections, difflib"
Complete_Cleanup_Orchestrator.py,pathlib,6,19,7,1,"subprocess, sys, argparse, datetime, pathlib"
INTELLIGENT_VERSION_ANALYZER.py,ast,9,55,14,1,"ast, os, re, pathlib, datetime"
python-env-cleanup.py,pathlib_analysis,4,52,7,0,"os, shutil, subprocess, pathlib, collections"
get_vid_from_file-organizer.py,os,5,7,5,0,"os, openai, hashlib, re, shutil"
download_file_from_file-organizer.py,shutil,2,9,3,0,"__future__, json, os, shutil, time"
SMART_DEDUPLICATE.py,pathlib,3,32,7,1,"csv, shutil, pathlib, datetime, ast"
entrypoints_from_file-organizer.py,pathlib,6,4,3,0,"itertools, os, shutil, sys, typing"
analyzerr.py,json,7,89,30,3,"json, os, posixpath, gyp.common"
smart_cleanup.py,pathlib_analysis,4,35,9,1,"json, shutil, datetime, pathlib, typing"
generate_inventory.py,pathlib,6,25,6,0,"argparse, ast, json, csv, pathlib"
organize_csv.py,pathlib,3,0,2,0,pandas
organize_4.py,csv,8,3,1,0,"csv, os, shutil"
pyorganize.py,os,5,5,3,0,"openai, os, re"
simple_organize.py,shutil,2,33,11,1,"re, shutil, pathlib"
fetch_file_from_file-organizer.py,os,5,0,0,0,"json, requests"
proc_vid_from_file-organizer.py,pathlib,6,0,0,0,error
DEEP ENV & VOLUMES CONTENT-AWARE ANALYZER.py,pathlib,6,81,13,4,"os, json, sys, pathlib, typing"
hash_subtitle_from_file-organizer.py,pathlib,6,8,12,0,"argparse, os, sys, threading, time"
etsy_organizer.py,shutil,2,54,11,1,"hashlib, json, os, shutil, zipfile"
REMOVE_CONTENT_DUPLICATES.py,pathlib,3,25,6,1,"csv, shutil, ast, pathlib, datetime"
complete_final_cleanup.py,pathlib_analysis,4,28,4,1,"shutil, collections, pathlib, sys, datetime"
FUNCTIONAL_DUPLICATE_SCANNER.py,ast,9,32,7,1,"ast, re, pathlib, collections, shutil"
analyze_for_miniforge_mamba.py,pathlib,6,25,4,0,"os, re, json, pathlib, collections"
compare_zips.py,pathlib,3,36,2,0,"sys, zipfile, pathlib, collections, datetime"
intelligent_script_reorganizer.py,pathlib,6,25,5,1,"asyncio, json, sys, collections, datetime"
ULTRA_AGGRESSIVE_SIMILARITY.py,ast,9,45,9,1,"ast, difflib, pathlib, collections, shutil"
pyrepo_doc_organizer_from_file-utilities.py,ast,9,37,13,1,"__future__, argparse, ast, csv, html"
remove_merge_diff.py,sys,1,12,1,0,"sys, pathlib"
organize_music_library_merged.py,os,0,8,3,0,"os, re, shutil"
safe_duplicate_cleanup.py,pathlib,3,18,8,1,"json, re, datetime, pathlib"
check_vid_from_file-organizer.py,pathlib,3,14,4,0,"csv, os, re, pandas"
cleanup_duplicates copy.py,sys,1,56,8,0,"sys, hashlib, shutil, pathlib, collections"
FAST_SIMILARITY_SCANNER.py,ast,9,29,6,1,"ast, pathlib, collections, shutil, datetime"
deep-home-scan.py,pathlib_analysis,4,47,6,0,"os, subprocess, json, pathlib, collections"
compare_dirs.py,sys,1,32,4,0,"sys, pathlib, collections, hashlib"
merge_and_remove.py,sys,1,23,2,0,"sys, shutil, pathlib, collections"
etsy_focused_cleanup.py,pathlib,6,27,6,1,"json, os, re, shutil, collections"
RECURSIVE_DEEP_SCAN.py,ast,9,44,12,1,"os, ast, hashlib, pathlib, datetime"
compare_combine.py,pathlib,3,13,2,0,"sys, collections, pathlib"
